indicator,year,region,n,value
Total population (000),2017,Global,193,7505349
Under-5 population (000),2017,Global,183,675196
Urban population (%),2017,Global,193,55
>65 population (%),2017,Global,183,9
Under-5 mortality rate (deaths per 1000 live births),2015,Global,192,32
GDP per capita (PPP),2016,Global,174,14865
Poverty rates $1.90,2000-2013,Global,116,20
Poverty rates $3.10,2000-2013,Global,116,40
Stunting (millions),2016,Global,143,155
Wasting (millions),2016,Global,143,52
Overweight (millions),2016,Global,141,41
Stunting (%),2016,Global,143,23
Wasting (%),2016,Global,143,8
Overweight (%),2016,Global,141,6
Severe wasting (%),2016,Global,132,3
Low birth weight (%),2000-2012,Global,181,15
Adolescent overweight (%),2003-2014,Global,61,15
Adolescent obesity (%),2003-2014,Global,61,4
"Women of reproductive age, thinness (%)",1994-2015,Global,69,21
"Women of reproductive age, short stature (%)",1994-2015,Global,69,7
Women of reproductive age with anaemia (000),2016,Global,186,610973
Women of reproductive age with anaemia (%),2016,Global,186,33
Vitamin A deficiency in children 6-59 months (%),2013,Global,133,25
Population classification of iodine status,1996-2001,Global,125,Moderate iodine deficieny to optimal iodine nutrition
"Raised blood pressure, Male (%)",2015,Global,189,25
"Raised blood pressure, Female (%)",2015,Global,189,21
"Raised blood glucose, Male (%)",2014,Global,189,9
"Raised blood glucose, Female (%)",2014,Global,189,8
"Raised blood cholesterol, Male (%)",2008,Global,188,35
"Raised blood cholesterol, Female (%)",2008,Global,188,38
"Adult overweight and obesity, Male (%)",2014,Global,189,36
"Adult overweight and obesity, Female (%)",2014,Global,189,38
"Adult obesity, Male (%)",2014,Global,189,10
"Adult obesity, Female (%)",2014,Global,189,14
Stunting.No progress or worsening,2017,Global,9,
Stunting.On course,2017,Global,18,
Stunting.Some progress,2017,Global,24,
Stunting.Insufficient data to make assessment,2017,Global,142,
Wasting.No progress or worsening,2017,Global,21,
Wasting.On course,2017,Global,29,
Wasting.Some progress,2017,Global,7,
Wasting.Insufficient data to make assessment,2017,Global,136,
Overweight.Off course,2017,Global,16,
Overweight.On course,2017,Global,31,
Overweight.Insufficient data to make assessment,2017,Global,146,
Anaemia.No progress or worsening,2017,Global,137,
Anaemia.On course,2017,Global,,
Anaemia.Some progress,2017,Global,49,
Anaemia.Insufficient data to make assessment,2017,Global,7,
EBF.No progress or worsening,2017,Global,16,
EBF.On course,2017,Global,20,
EBF.Some progress,2017,Global,7,
EBF.Insufficient data to make assessment,2017,Global,150,
"Adult obesity, female.Insufficient data to make assessment",2017,Global,4,
"Adult obesity, female.Off course",2017,Global,189,
"Adult obesity, female.On course",2017,Global,,
"Adult obesity, male.Insufficient data to make assessment",2017,Global,4,
"Adult obesity, male.Off course",2017,Global,189,
"Adult obesity, male.On course",2017,Global,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Global,4,
"Adult diabetes, female.Off course",2017,Global,163,
"Adult diabetes, female.On course",2017,Global,26,
Adult diabetes male.Insufficient data to make assessment,2017,Global,4,
Adult diabetes male.Off course,2017,Global,181,
Adult diabetes male.On course,2017,Global,8,
Antenatal care (4+ visits),2003-2016,Global,144,65
Skilled attendant at birth,1998-2016,Global,180,85
Initiation of breastfeeding within 1 hour after birth,2003-2016,Global,129,45
Continued breastfeeding at 1 year,1995-2016,Global,130,67
Unmet need for family planning,1993-2016,Global,124,15
"Severe acute malnutrition, geographic coverage",2012,Global,47,21
"Vitamin A supplementation, full coverage",2014,Global,57,68
Children under 5 with diarrhoea receiving ORS,2000-2016,Global,117,42
Immunization coverage (DTP3),2016,Global,192,89
Iodized salt consumption,2000-2013,Global,97,72
Exclusive breastfeeding 0-5 months (%),1999-2015,Global,130,41
Minimum acceptable diet 6-23 months (%),2010-2016,Global,60,18
Minimum dietary diversity 6-23 months (%),2010-2016,Global,67,32
Undernourishment (%),1990,Global,102,25
Undernourishment (%),1999,Global,95,20
Undernourishment (%),2009,Global,85,16
Undernourishment (%),2014,Global,79,14
Fruit and veg (grams),1990,Global,141,342
Fruit and veg (grams),2000,Global,165,462
Fruit and veg (grams),2010,Global,167,557
Fruit and veg (grams),2013,Global,168,588
Non-staples (%),1990,Global,156,41
Non-staples (%),1999,Global,161,44
Non-staples (%),2008,Global,163,48
Non-staples (%),2011,Global,39,44
Early childbearing: births by age 18 (%),2001-2015,Global,113,18
Gender Inequality Index (score),2015,Global,159,0.363
Female secondary education enrolment rate,2006-2012,Global,144,75
Physicians,1998-2015,Global,191,1.369
Nurses and midwives,1994-2015,Global,191,3.14
Community health workers,1992-2013,Global,62,0.539
Drinking.Basic,2000,Global,182,59
Drinking.Limited,2000,Global,126,3
Drinking.Surface water,2000,Global,182,5
Drinking.Unimproved,2000,Global,182,14
Drinking.Safely managed,2000,Global,80,61
Drinking.Basic,2010,Global,192,61
Drinking.Limited,2010,Global,130,4
Drinking.Surface water,2010,Global,192,3
Drinking.Unimproved,2010,Global,192,8
Drinking.Safely managed,2010,Global,85,69
Drinking.Basic,2015,Global,191,64
Drinking.Limited,2015,Global,130,4
Drinking.Surface water,2015,Global,191,2
Drinking.Unimproved,2015,Global,191,6
Drinking.Safely managed,2015,Global,84,70
Sanitation.Basic,2000,Global,182,33
Sanitation.Limited,2000,Global,182,6
Sanitation.Safely managed,2000,Global,74,47
Sanitation.Unimproved,2000,Global,182,17
Sanitation.Open defecation,2000,Global,182,22
Sanitation.Basic,2010,Global,192,37
Sanitation.Limited,2010,Global,192,7
Sanitation.Safely managed,2010,Global,78,58
Sanitation.Unimproved,2010,Global,192,13
Sanitation.Open defecation,2010,Global,192,15
Sanitation.Basic,2015,Global,191,37
Sanitation.Limited,2015,Global,191,8
Sanitation.Safely managed,2015,Global,78,64
Sanitation.Unimproved,2015,Global,191,12
Sanitation.Open defecation,2015,Global,191,12
Agriculture,1990,Global,102,6
Education,1990,Global,96,10
Health,1990,Global,94,4
Social protection,1990,Global,90,8
Agriculture,2000,Global,129,5
Education,2000,Global,116,11
Health,2000,Global,115,5
Social protection,2000,Global,113,12
Agriculture,2010,Global,107,5
Education,2010,Global,104,10
Health,2010,Global,104,6
Social protection,2010,Global,102,20
Agriculture,2012,Global,87,5
Education,2012,Global,83,12
Health,2012,Global,83,7
Social protection,2012,Global,82,20
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Global,193,Few to many provisions in law
Extent of Constitutional Right to Food,2003,Global,136,Medium
Maternity protection (Convention 183),2011,Global,169,Partial protection
Wheat fortification legislation ,2015,Global,182,Mandatory/No fortification
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Global,192,Yes
Bringing people into a shared space for action (%),2017,Global,51,66
Ensuring a coherent policy and legal framework (%),2017,Global,51,66
Aligning actions around a common results framework (%),2017,Global,51,58
Financial tracking and resource mobilization (%),2017,Global,51,50
Total weighed score (%),2017,Global,51,60
Total population (000),2017,Australia and New Zealand,2,29156
Under-5 population (000),2017,Australia and New Zealand,2,1878
Urban population (%),2017,Australia and New Zealand,2,89
>65 population (%),2017,Australia and New Zealand,2,15
Under-5 mortality rate (deaths per 1000 live births),2015,Australia and New Zealand,2,4
GDP per capita (PPP),2016,Australia and New Zealand,2,42938
Poverty rates $1.90,2000-2013,Australia and New Zealand,0,
Poverty rates $3.10,2000-2013,Australia and New Zealand,0,
Stunting (millions),2016,Australia and New Zealand,,
Wasting (millions),2016,Australia and New Zealand,,
Overweight (millions),2016,Australia and New Zealand,,
Stunting (%),2016,Australia and New Zealand,,
Wasting (%),2016,Australia and New Zealand,,
Overweight (%),2016,Australia and New Zealand,,
Severe wasting (%),2016,Australia and New Zealand,,
Low birth weight (%),2000-2012,Australia and New Zealand,2,6
Adolescent overweight (%),2003-2014,Australia and New Zealand,0,
Adolescent obesity (%),2003-2014,Australia and New Zealand,0,
"Women of reproductive age, thinness (%)",1994-2015,Australia and New Zealand,0,
"Women of reproductive age, short stature (%)",1994-2015,Australia and New Zealand,0,
Women of reproductive age with anaemia (000),2016,Australia and New Zealand,2,646
Women of reproductive age with anaemia (%),2016,Australia and New Zealand,2,9
Vitamin A deficiency in children 6-59 months (%),2013,Australia and New Zealand,0,
Population classification of iodine status,1996-2001,Australia and New Zealand,2,Mild iodine deficiency
"Raised blood pressure, Male (%)",2015,Australia and New Zealand,2,18
"Raised blood pressure, Female (%)",2015,Australia and New Zealand,2,12
"Raised blood glucose, Male (%)",2014,Australia and New Zealand,2,7
"Raised blood glucose, Female (%)",2014,Australia and New Zealand,2,5
"Raised blood cholesterol, Male (%)",2008,Australia and New Zealand,2,55
"Raised blood cholesterold, Female (%)",2008,Australia and New Zealand,2,55
"Adult overweight and obesity, Male (%)",2014,Australia and New Zealand,2,69
"Adult overweight and obesity, Female (%)",2014,Australia and New Zealand,2,58
"Adult obesity, Male (%)",2014,Australia and New Zealand,2,28
"Adult obesity, Female (%)",2014,Australia and New Zealand,2,28
Stunting.No progress or worsening,2017,Australia and New Zealand,,0
Stunting.On course,2017,Australia and New Zealand,,0
Stunting.Some progress,2017,Australia and New Zealand,,0
Stunting.Insufficient data to make assessment,2017,Australia and New Zealand,,2
Wasting.No progress or worsening,2017,Australia and New Zealand,,0
Wasting.On course,2017,Australia and New Zealand,,0
Wasting.Some progress,2017,Australia and New Zealand,,0
Wasting.Insufficient data to make assessment,2017,Australia and New Zealand,,2
Overweight.Off course,2017,Australia and New Zealand,,0
Overweight.On course,2017,Australia and New Zealand,,0
Overweight.Insufficient data to make assessment,2017,Australia and New Zealand,,2
Anaemia.No progress or worsening,2017,Australia and New Zealand,,2
Anaemia.On course,2017,Australia and New Zealand,,
Anaemia.Some progress,2017,Australia and New Zealand,,0
Anaemia.Insufficient data to make assessment,2017,Australia and New Zealand,,0
EBF.No progress or worsening,2017,Australia and New Zealand,,0
EBF.On course,2017,Australia and New Zealand,,0
EBF.Some progress,2017,Australia and New Zealand,,0
EBF.Insufficient data to make assessment,2017,Australia and New Zealand,,2
"Adult obesity, female.Insufficient data to make assessment",2017,Australia and New Zealand,,0
"Adult obesity, female.Off course",2017,Australia and New Zealand,,2
"Adult obesity, female.On course",2017,Australia and New Zealand,,
"Adult obesity, male.Insufficient data to make assessment",2017,Australia and New Zealand,,0
"Adult obesity, male.Off course",2017,Australia and New Zealand,,2
"Adult obesity, male.On course",2017,Australia and New Zealand,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Australia and New Zealand,,0
"Adult diabetes, female.Off course",2017,Australia and New Zealand,,1
"Adult diabetes, female.On course",2017,Australia and New Zealand,,1
Adult diabetes male.Insufficient data to make assessment,2017,Australia and New Zealand,,0
Adult diabetes male.Off course,2017,Australia and New Zealand,,1
Adult diabetes male.On course,2017,Australia and New Zealand,,1
Antenatal care (4+ visits),2003-2016,Australia and New Zealand,1,92
Skilled attendant at birth,1998-2016,Australia and New Zealand,2,99
Initiation of breastfeeding within 1 hour after birth,2003-2016,Australia and New Zealand,0,
Continued breastfeeding at 1 year,1995-2016,Australia and New Zealand,0,
Unmet need for family planning,1993-2016,Australia and New Zealand,0,
"Severe acute malnutrition, geographic coverage",2012,Australia and New Zealand,0,
"Vitamin A supplementation, full coverage",2014,Australia and New Zealand,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Australia and New Zealand,0,
Immunization coverage (DTP3),2016,Australia and New Zealand,2,94
Iodized salt consumption,2000-2013,Australia and New Zealand,0,
Exclusive breastfeeding 0-5 months (%),1999-2015,Australia and New Zealand,0,
Minimum acceptable diet 6-23 months (%),2010-2016,Australia and New Zealand,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Australia and New Zealand,0,
Undernourishment (%),1990,Australia and New Zealand,0,
Undernourishment (%),1999,Australia and New Zealand,0,
Undernourishment (%),2009,Australia and New Zealand,0,
Undernourishment (%),2014,Australia and New Zealand,0,
Fruit and veg (grams),1990,Australia and New Zealand,2,498
Fruit and veg (grams),2000,Australia and New Zealand,2,549
Fruit and veg (grams),2010,Australia and New Zealand,2,557
Fruit and veg (grams),2013,Australia and New Zealand,2,540
Non-staples (%),1990,Australia and New Zealand,2,75
Non-staples (%),1999,Australia and New Zealand,2,74
Non-staples (%),2008,Australia and New Zealand,2,74
Non-staples (%),2011,Australia and New Zealand,0,
Early childbearing: births by age 18 (%),2001-2015,Australia and New Zealand,0,
Gender Inequality Index (score),2015,Australia and New Zealand,2,0.126
Female secondary education enrolment rate,2006-2012,Australia and New Zealand,2,129
Physicians,1998-2015,Australia and New Zealand,2,3.29
Nurses and midwives,1994-2015,Australia and New Zealand,2,12.082
Community health workers,1992-2013,Australia and New Zealand,1,0.049
Drinking.Basic,2000,Australia and New Zealand,2,87
Drinking.Limited,2000,Australia and New Zealand,0,
Drinking.Surface water,2000,Australia and New Zealand,2,0
Drinking.Unimproved,2000,Australia and New Zealand,2,0
Drinking.Safely managed,2000,Australia and New Zealand,0,
Drinking.Basic,2010,Australia and New Zealand,2,86
Drinking.Limited,2010,Australia and New Zealand,0,
Drinking.Surface water,2010,Australia and New Zealand,2,0
Drinking.Unimproved,2010,Australia and New Zealand,2,0
Drinking.Safely managed,2010,Australia and New Zealand,0,
Drinking.Basic,2015,Australia and New Zealand,2,84
Drinking.Limited,2015,Australia and New Zealand,0,
Drinking.Surface water,2015,Australia and New Zealand,2,0
Drinking.Unimproved,2015,Australia and New Zealand,2,0
Drinking.Safely managed,2015,Australia and New Zealand,0,
Sanitation.Basic,2000,Australia and New Zealand,2,33
Sanitation.Limited,2000,Australia and New Zealand,2,0
Sanitation.Safely managed,2000,Australia and New Zealand,2,67
Sanitation.Unimproved,2000,Australia and New Zealand,2,0
Sanitation.Open defecation,2000,Australia and New Zealand,2,0
Sanitation.Basic,2010,Australia and New Zealand,2,29
Sanitation.Limited,2010,Australia and New Zealand,2,0
Sanitation.Safely managed,2010,Australia and New Zealand,2,71
Sanitation.Unimproved,2010,Australia and New Zealand,2,0
Sanitation.Open defecation,2010,Australia and New Zealand,2,0
Sanitation.Basic,2015,Australia and New Zealand,2,26
Sanitation.Limited,2015,Australia and New Zealand,2,0
Sanitation.Safely managed,2015,Australia and New Zealand,2,74
Sanitation.Unimproved,2015,Australia and New Zealand,2,0
Sanitation.Open defecation,2015,Australia and New Zealand,2,0
Agriculture,1990,Australia and New Zealand,2,3
Education,1990,Australia and New Zealand,2,8
Health,1990,Australia and New Zealand,2,12
Social protection,1990,Australia and New Zealand,2,30
Agriculture,2000,Australia and New Zealand,2,1
Education,2000,Australia and New Zealand,2,7
Health,2000,Australia and New Zealand,2,14
Social protection,2000,Australia and New Zealand,2,37
Agriculture,2010,Australia and New Zealand,2,1
Education,2010,Australia and New Zealand,2,10
Health,2010,Australia and New Zealand,2,16
Social protection,2010,Australia and New Zealand,2,32
Agriculture,2012,Australia and New Zealand,2,1
Education,2012,Australia and New Zealand,2,9
Health,2012,Australia and New Zealand,2,15
Social protection,2012,Australia and New Zealand,2,33
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Australia and New Zealand,2,No legal measures
Extent of Constitutional Right to Food,2003,Australia and New Zealand,,
Maternity protection (Convention 183),2011,Australia and New Zealand,2,Yes
Wheat fortification legislation ,2015,Australia and New Zealand,2,Mandatory
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Australia and New Zealand,2,No
Bringing people into a shared space for action (%),2017,Australia and New Zealand,,
Ensuring a coherent policy and legal framework (%),2017,Australia and New Zealand,,
Aligning actions around a common results framework (%),2017,Australia and New Zealand,,
Financial tracking and resource mobilization (%),2017,Australia and New Zealand,,
Total weighed score (%),2017,Australia and New Zealand,,
Total population (000),2017,Caribbean,13,38801
Under-5 population (000),2017,Caribbean,11,3304
Urban population (%),2017,Caribbean,13,69
>65 population (%),2017,Caribbean,11,9
Under-5 mortality rate (deaths per 1000 live births),2015,Caribbean,13,32
GDP per capita (PPP),2016,Caribbean,12,9365
Poverty rates $1.90,2000-2013,Caribbean,4,25
Poverty rates $3.10,2000-2013,Caribbean,4,37
Stunting (millions),2016,Caribbean,6,0.2
Wasting (millions),2016,Caribbean,6,0.1
Overweight (millions),2016,Caribbean,6,0.2
Stunting (%),2016,Caribbean,6,5
Wasting (%),2016,Caribbean,6,3
Overweight (%),2016,Caribbean,,6.9
Severe wasting (%),2016,Caribbean,5,1
Low birth weight (%),2000-2012,Caribbean,13,13
Adolescent overweight (%),2003-2014,Caribbean,0,
Adolescent obesity (%),2003-2014,Caribbean,0,
"Women of reproductive age, thinness (%)",1994-2015,Caribbean,2,10
"Women of reproductive age, short stature (%)",1994-2015,Caribbean,2,1
Women of reproductive age with anaemia (000),2016,Caribbean,12,3170
Women of reproductive age with anaemia (%),2016,Caribbean,12,32
Vitamin A deficiency in children 6-59 months (%),2013,Caribbean,12,11
Population classification of iodine status,1996-2001,Caribbean,3,Mild iodine deficiency
"Raised blood pressure, Male (%)",2015,Caribbean,13,24
"Raised blood pressure, Female (%)",2015,Caribbean,13,20
"Raised blood glucose, Male (%)",2014,Caribbean,13,8
"Raised blood glucose, Female (%)",2014,Caribbean,13,10
"Raised blood cholesterol, Male (%)",2008,Caribbean,13,26
"Raised blood cholesterold, Female (%)",2008,Caribbean,13,33
"Adult overweight and obesity, Male (%)",2014,Caribbean,13,45
"Adult overweight and obesity, Female (%)",2014,Caribbean,13,56
"Adult obesity, Male (%)",2014,Caribbean,13,14
"Adult obesity, Female (%)",2014,Caribbean,13,26
Stunting.No progress or worsening,2017,Caribbean,,0
Stunting.On course,2017,Caribbean,,0
Stunting.Some progress,2017,Caribbean,,0
Stunting.Insufficient data to make assessment,2017,Caribbean,,13
Wasting.No progress or worsening,2017,Caribbean,,0
Wasting.On course,2017,Caribbean,,1
Wasting.Some progress,2017,Caribbean,,0
Wasting.Insufficient data to make assessment,2017,Caribbean,,12
Overweight.Off course,2017,Caribbean,,0
Overweight.On course,2017,Caribbean,,0
Overweight.Insufficient data to make assessment,2017,Caribbean,,13
Anaemia.No progress or worsening,2017,Caribbean,,5
Anaemia.On course,2017,Caribbean,,
Anaemia.Some progress,2017,Caribbean,,7
Anaemia.Insufficient data to make assessment,2017,Caribbean,,1
EBF.No progress or worsening,2017,Caribbean,,2
EBF.On course,2017,Caribbean,,0
EBF.Some progress,2017,Caribbean,,0
EBF.Insufficient data to make assessment,2017,Caribbean,,11
"Adult obesity, female.Insufficient data to make assessment",2017,Caribbean,,0
"Adult obesity, female.Off course",2017,Caribbean,,13
"Adult obesity, female.On course",2017,Caribbean,,
"Adult obesity, male.Insufficient data to make assessment",2017,Caribbean,,0
"Adult obesity, male.Off course",2017,Caribbean,,13
"Adult obesity, male.On course",2017,Caribbean,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Caribbean,,0
"Adult diabetes, female.Off course",2017,Caribbean,,13
"Adult diabetes, female.On course",2017,Caribbean,,0
Adult diabetes male.Insufficient data to make assessment,2017,Caribbean,,0
Adult diabetes male.Off course,2017,Caribbean,,13
Adult diabetes male.On course,2017,Caribbean,,0
Antenatal care (4+ visits),2003-2016,Caribbean,10,87
Skilled attendant at birth,1998-2016,Caribbean,13,85
Initiation of breastfeeding within 1 hour after birth,2003-2016,Caribbean,7,46
Continued breastfeeding at 1 year,1995-2016,Caribbean,6,50
Unmet need for family planning,1993-2016,Caribbean,7,18
"Severe acute malnutrition, geographic coverage",2012,Caribbean,0,
"Vitamin A supplementation, full coverage",2014,Caribbean,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Caribbean,4,55
Immunization coverage (DTP3),2016,Caribbean,13,84
Iodized salt consumption,2000-2013,Caribbean,5,45
Exclusive breastfeeding 0-5 months (%),1999-2015,Caribbean,6,25
Minimum acceptable diet 6-23 months (%),2010-2016,Caribbean,3,38
Minimum dietary diversity 6-23 months (%),2010-2016,Caribbean,3,60
Undernourishment (%),1990,Caribbean,6,31
Undernourishment (%),1999,Caribbean,6,28
Undernourishment (%),2009,Caribbean,5,30
Undernourishment (%),2014,Caribbean,5,29
Fruit and veg (grams),1990,Caribbean,13,389
Fruit and veg (grams),2000,Caribbean,13,519
Fruit and veg (grams),2010,Caribbean,13,561
Fruit and veg (grams),2013,Caribbean,13,612
Non-staples (%),1990,Caribbean,9,58
Non-staples (%),1999,Caribbean,9,58
Non-staples (%),2008,Caribbean,9,57
Non-staples (%),2011,Caribbean,3,58
Early childbearing: births by age 18 (%),2001-2015,Caribbean,5,13
Gender Inequality Index (score),2015,Caribbean,8,0.444
Female secondary education enrolment rate,2006-2012,Caribbean,11,89
Physicians,1998-2015,Caribbean,13,2.829
Nurses and midwives,1994-2015,Caribbean,13,3.103
Community health workers,1992-2013,Caribbean,0,
Drinking.Basic,2000,Caribbean,13,82
Drinking.Limited,2000,Caribbean,8,4
Drinking.Surface water,2000,Caribbean,13,6
