country,yearpov125_1,poverty125_1,yearpov125_2,poverty125_2,yearpov125_3,poverty125_3,yearpov125_4,poverty125_4,yearpov2_1,poverty2_1,yearpov2_2,poverty2_2,yearpov2_3,poverty2_3,yearpov2_4,poverty2_4,yearGDP_1,GDP_1,yearGDP_2,GDP_2,yearGDP_3,GDP_3,yearGDP_4,GDP_4,yearGDP_5,GDP_5
Afghanistan,,,,,,,,,,,,,,,,,2014,1877,2013,1884,2012,1893,2011,1695,2010,1637
Albania,2012,0.5,2008,0.2,2005,0.4,2004,0.5,2012,3.0,2008,1.5,2005,5.0,2004,5.6,2014,10160,2013,9961,2012,9811,2011,9640,2010,9374
Algeria,,,,,1995,6.4,1988,7.1,,,,,1995,22.8,1988,23.7,2014,13179,2013,12893,2012,12779,2011,12606,2010,12494
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,2008,43.4,2000,54.3,,,,,2008,67.4,2000,70.2,2014,7546,2013,7488,2012,7230,2011,7094,2010,7047
Antigua and Barbuda,,,,,,,,,,,,,,,,,2014,20797,2013,20353,2012,20577,2011,19988,2010,20567
Argentina,2011,1.4,2010,1.7,2009,2.7,2008,2.7,2011,2.9,2010,4.0,2009,5.4,2008,5.7,,,,,,,,,,
Armenia,2012,1.8,2011,2.5,2010,2.5,2009,1.6,2012,15.5,2011,17.6,2010,19.6,2009,14.7,2014,7763,2013,7527,2012,7291,2011,6812,2010,6508
Australia,,,,,,,,,,,,,,,,,2014,43219,2013,42840,2012,42522,2011,41706,2010,41330
Austria,,,,,,,,,,,,,,,,,2014,43906,2013,44059,2012,44216,2011,44029,2010,42861
Azerbaijan,2008,0.3,2005,0.0,2004,0.0,2003,0.0,2008,2.4,2005,0.1,2004,0.2,2003,1.3,2014,16710,2013,16593,2012,15888,2011,15754,2010,15950
Bahamas,,,,,,,,,,,,,,,,,2014,22439,2013,22518,2012,22841,2011,22689,2010,22915
Bahrain,,,,,,,,,,,,,,,,,2014,43963,2013,42444,2012,40732,2011,40083,2010,40553
Bangladesh,2010,43.3,2005,50.5,2000,58.6,1995,60.9,2010,76.5,2005,80.3,2000,84.4,1995,85.5,2014,2991,2013,2853,2012,2725,2011,2589,2010,2459
Barbados,,,,,,,,,,,,,,,,,2014,12829,2013,12867,2012,15261,2011,15336,2010,15297
Belarus,2011,0.0,2010,0.0,2009,0.0,2008,0.0,2011,0.0,2010,0.0,2009,0.0,2008,0.0,2014,17349,2013,17085,2012,16907,2011,16603,2010,15703
Belgium,,,,,,,,,,,,,,,,,2014,40885,2013,40607,2012,40687,2011,40946,2010,40764
Belize,1999,12.2,1998,11.3,1997,12.5,1996,9.7,1999,22.0,1998,26.4,1997,28.0,1996,23.8,2013,8215,2012,8287,2011,8178,2010,8209,2009,8145
Benin,,,,,2011,51.6,2003,47.3,,,,,2011,74.3,2003,75.3,2014,1779,2013,1733,2012,1685,2011,1643,2010,1637
Bhutan,,,2012,2.4,2007,10.2,2003,24.0,,,2012,15.2,2007,29.8,2003,46.9,2014,7500,2013,7167,2012,7138,2011,6909,2010,6516
