"region.l","p20","np20","npl","age","female","head.female","urban","man.bmi","woman.bmi","child.height.age","no.caste","other.caste","obc","scheduled.cast","scheduled.tribe","hindu","muslim","christian","sikh","buddhist","jain","jewish","zoroastrian","athiest","donyi.polo","other.religion","higher.educ","secondary.educ","primary.educ","no.educ","no.cert.no.reg","certificate","registered","unknown.certificate","region","pop.2001","males.2001","females.2001"
"andhra pradesh",0.213387538330395,0.108651062816454,0.214798112859029,28.4116870165431,0.508616090317759,0.104839587909725,0.327862487621563,20.8044532582361,20.8886254838916,-1.49252930926492,0.000432209575227561,0.260364283591568,0.492599223272236,0.179610979655337,0.0669933039056314,0.843051608445103,0.104502400192341,0.0515765105387561,0.000237744050420574,6.79268715487354e-06,0.000590222874923013,0,0,0,0,3.47212113022625e-05,0.0514484095300628,0.0307276185651878,0.335373659351324,0.582450312553425,0.485579245100484,0.234802502736097,0.168069888239864,0.111548363923556,"Andhra Pradesh",76566159,38720385,37845774
"arunachal pradesh",0.383941112504647,0.206309207576966,0.391215661680796,23.8494598604067,0.478290704065925,0.0836153820568405,0.256740028807264,21.0040571151142,21.1567012904572,-1.50225464104974,0.0240356665193953,0.213424201538416,0.0521061077040649,0.0546771767106888,0.655756847527435,0.301804782689743,0.0243593331108761,0.294734966673309,0.00137005414967555,0.0824327213733898,0,0,0,0.0095443579415727,0.236376862600896,0.0493769214605376,0.0430505532824454,0.0297482534132498,0.273637774542526,0.653563418761779,0.616460666191099,0.279454433751192,0.0560748116544689,0.0480100884032397,"Arunachal Pradesh",1097968,579941,518027
"assam",0.408893156660732,0.196771901520181,0.41587238867209,25.8812380415605,0.499289892421928,0.108089542458793,0.177939938110257,19.8253012479338,19.9825146244969,-1.63037090696729,0.199605097261728,0.336067737340077,0.219930840862551,0.137495629687356,0.106900694848288,0.668369588347535,0.279636931606206,0.0473952138181084,0.000456710161076122,0.0038315525759669,7.50123501013257e-05,0,0,0,0,0.000234991141006229,0.0487321693569538,0.0319000530917474,0.36658461785581,0.552783159695489,0.538360688778671,0.388691012032743,0.0595816619405377,0.0133666372480482,"Assam",26655528,13777037,12878491
"bihar",0.487161859918214,0.280314369146851,0.491010189537436,23.3668201280532,0.522838310530969,0.207725740911568,0.15863415291569,19.8855740842303,19.4389360641192,-1.94441433511397,4.67947353733599e-05,0.216417481509293,0.601914626295264,0.17744899074584,0.00417210671422934,0.821226133342615,0.177255708108032,7.01921030600398e-05,9.35894707467197e-05,0,0.000678523662913718,0,0,0.000675853312632657,0,0,0.0283638571204627,0.0239591335906251,0.222985350713013,0.724691658575899,0.915090757245046,0.0330311305015812,0.0290103982631629,0.0228677139902104,"Bihar",82998509,43243795,39754714
"chhattisgarh",0.603026556367564,0.39613206255367,0.604694105661438,25.8009552125516,0.503856481138193,0.0723199369108521,0.213620215587126,19.6099489087576,19.490930133627,-1.82683069863957,0.000342065997737591,0.104115664708451,0.469210936565968,0.137306800327558,0.289024532400284,0.952954293668617,0.0292797321317286,0.0100671674110854,0.00106895624292997,0.00409762444855263,0.00253222609708656,0,0,0,0,0,0.0415924955603192,0.0248878683019892,0.294538268612414,0.638981367525277,0.212880870221602,0.135418138167432,0.594323678949707,0.0573773126612587,"Chhattisgarh",20833803,10474218,10359585
"delhi",0.0148610876508056,0.00180723854178064,0.0159591683370702,27.0670107697558,0.450093929438381,0.0884059532366653,0.918517837937109,22.09387713821,22.8013409886751,-1.43372198328336,0.00410311247803704,0.657574570606693,0.145822559315508,0.180252053843954,0.0122477037558085,0.851960173056632,0.0981800059423086,0.0108992491493244,0.033322238672811,0,0.00547215574681454,0,0,0.00016617743211001,0,0,0.18553574795683,0.0806798763267252,0.370572719242303,0.363211656474142,0.346712860205662,0.549010193779394,0.0707288856781885,0.0335480603367552,"Delhi",13850507,7607234,6243273
"goa",0.0516543680163019,0.0213841787668018,0.0519011317875989,30.6393410385895,0.508421259202736,0.228097379703647,0.552203963091247,21.343583551274,21.5143004329468,-0.9700260344837,0.190160859186025,0.51862195603583,0.186441764329375,0.0515721140161007,0.0532033064326696,0.659800409916547,0.0963964470973414,0.240428665712027,0.000611320446566037,0,0,0,0,0.00184210455167907,0,0.000921052275839536,0.121129735157617,0.0659391688766766,0.439458052588601,0.373473043377105,0.0265754779123142,0.811121248607779,0.147158846969464,0.0151444265104425,"Goa",1347668,687248,660420
"gujarat",0.167898620125731,0.0715531952839662,0.169789746461454,26.9339265680932,0.483390212721083,0.0615646371908938,0.413612321894699,20.4075847253715,20.8466576424211,-1.78889197337094,0.0096122792601517,0.340234836149409,0.402258889813122,0.143369978866337,0.104524015910981,0.891958330523699,0.101881367950356,0.00342162276452617,0.00171279105419875,0,0.00102588770722035,0,0,0,0,0,0.0585076105758373,0.035063584749662,0.388747091788565,0.517681712885935,0.0909695328732657,0.646274993764976,0.235996092731776,0.0267593806299823,"Gujarat",50829221,26478089,24351132
"haryana",0.108752000165857,0.0407100928890004,0.109507289458789,25.8858703644993,0.478669655479575,0.0920389512324406,0.283943487974355,20.6083062256952,21.0519599925821,-1.58654789143422,0.000302356808624784,0.519319751790153,0.235800548363188,0.24239064825717,0.00218669478086516,0.868495038017297,0.0788515405109685,0.000448143131272656,0.0504353925819033,0.000302356808624784,0.00116517214130891,0,0,0,0,0.000302356808624784,0.05567732475616,0.0478972591901028,0.389507913051729,0.506917503002008,0.208130539756172,0.489214107477501,0.237182390572096,0.0654729621942314,"Haryana",21144564,11363953,9780611
"himachal pradesh",0.0611719145875577,0.0114338432113925,0.062679852169862,29.3099108548906,0.512569679702571,0.162158551668329,0.105974123038178,20.539852701386,20.7591287281793,-1.34448623352431,0,0.606847908293532,0.138621850351006,0.207004825176456,0.0475254161790058,0.969730482882577,0.00834108535927815,0.00056737685828158,0.00989285452587329,0.00919310620320904,0,0,0,0.000403048605896301,0,0.00187204556488429,0.0723988088822644,0.0733750850004239,0.462432539859713,0.391793566257599,0.0657045561076341,0.488787024925129,0.411906484233975,0.0336019347332615,"Himachal Pradesh",6077900,3087940,2989960
