iso2,year
AF,2011
AO,2011
AL,2008
AM,2010
AZ,2006
BI,2010
BJ,2012
BF,2014
BD,2014
BA,2011
BY,2012
BZ,2011
BO,2008
BR,2006
BB,2012
BT,2010
CF,2010
CN,2012
CI,2012
CM,2011
CD,2013
CG,2011
CO,2010
KM,2012
CR,2011
DO,2013
DZ,2012
EG,2014
ET,2011
GA,2012
GE,2005
GH,2014
GN,2012
GM,2013
GW,2006
GY,2009
HN,2012
HT,2012
ID,2012
IN,2006
IQ,2011
JM,2011
JO,2012
KZ,2010
KE,2015
KG,2014
KH,2014
XK,2014
LA,2011
LR,2013
LC,2012
LS,2014
MD,2012
MG,2013
MV,2009
MK,2011
ML,2012
ME,2013
MN,2013
MZ,2011
MR,2011
MW,2014
NA,2013
NE,2012
NG,2013
NP,2014
PK,2012
PE,2012
PH,2013
PS,2014
RW,2015
SD,2014
SN,2014
SL,2013
SO,2006
RS,2014
SS,2010
ST,2008
SR,2010
SZ,2010
SY,2006
TD,2014
TG,2014
TH,2012
TJ,2012
TM,2006
TL,2009
TT,2006
TN,2012
TZ,2012
UG,2014
UA,2012
UY,2013
UZ,2006
VN,2014
VU,2007
YE,2013
ZM,2013
ZW,2014
AT,
AU,
BE,
BG,2012
BW,2009
CA,
CH,
CL,2013
CV,2007
CY,
CZ,2012
DE,
DJ,2013
DK,
EC,2013
EE,2012
ES,
FI,
FJ,2008
FM,2013
FR,
GB,
GR,
GT,
HR,2012
HU,2012
IE,
IL,
IR,2013
IS,
IT,
KI,2006
LK,2012
LT,2012
LU,
LV,2012
MA,2006
MU,2012
MX,
MY,2009
NI,
NL,
NO,
PA,2013
PG,2009
PL,2013
PT,
PY,2013
RO,2013
RU,2012
SB,2005
SC,2013
SE,
SI,2012
SK,2012
SV,2013
TO,2009
TR,2013
TV,2010
US,2013
VE,2006
WS,2008
ZA,2011
