"iso2","indicators"
"AF","'stunted'"
"AO","'higher','no.birth.reg','no.educ','primary','secondary','stunted'"
"BF","'higher','no.birth.reg','no.educ','no.skilled.attendant','primary','secondary','stunted'"
"BA","'no.birth.reg'"
"BY","'no.birth.reg','stunted'"
"BR","'no.birth.reg','no.skilled.attendant'"
"CN","'no.skilled.attendant'"
"CO","'no.birth.reg'"
"CR","'stunted'"
"ET","'no.birth.reg'"
"GE","'higher','no.educ','no.skilled.attendant','primary','secondary','stunted'"
"GW","'stunted'"
"ID","'stunted'"
"JM","'no.birth.reg','stunted'"
"KE","'higher','no.birth.reg','no.educ','no.skilled.attendant','primary','secondary','stunted'"
"MG","'higher','no.birth.reg','no.educ','no.skilled.attendant','primary','secondary','stunted'"
"MW","'higher','no.birth.reg','no.educ','no.skilled.attendant','primary','secondary','stunted'"
"PE","'no.birth.reg'"
"PH","'no.birth.reg','stunted'"
"SO","'higher','no.educ','primary','secondary','stunted'"
"SY","'stunted'"
"TG","'no.birth.reg'"
"TM","'higher','no.educ','primary','secondary','stunted'"
"TT","'higher','no.educ','primary','rural','secondary','stunted','urban'"
"TZ","'no.skilled.attendant','stunted'"
"UG","'higher','no.birth.reg','no.educ','no.skilled.attendant','primary','secondary','stunted'"
"UA","'stunted'"
"UY","'stunted'"
"UZ","'higher','no.educ','primary','secondary','stunted'"
"VN","'stunted'"
"VU","'stunted'"
"YE","'higher','no.educ','primary','secondary'"
"AT","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"AU","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"BE","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"BG","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"BW","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"CA","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"CH","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"CL","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"CV","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"CY","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"CZ","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"DE","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"DJ","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"DK","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"EC","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"EE","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"ES","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"FI","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"FJ","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"FM","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"FR","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"GB","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"GR","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"GT","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"HR","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
