"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"alhr50dt","blank1","blank2","ext",100,100,1,100,1,1,1,2914000
"alhr50dt","blank1","blank2","female",100,100,52,100,52,52,52,2914000
"alhr50dt","blank1","blank2","fifteento49",100,100,47,100,47,47,47,2914000
"alhr50dt","blank1","blank2","fiveto14",100,100,18,100,18,18,18,2914000
"alhr50dt","blank1","blank2","gt49",100,100,30,100,30,30,30,2914000
"alhr50dt","blank1","blank2","higher",100,100,11,100,11,11,11,1846000
"alhr50dt","blank1","blank2","male",100,100,48,100,48,48,48,2914000
"alhr50dt","blank1","blank2","no.birth.reg",100,100,1,100,1,1,1,170000
"alhr50dt","blank1","blank2","no.educ",100,100,24,100,24,24,24,1846000
"alhr50dt","blank1","blank2","no.skilled.attendant",100,100,0,100,0,0,0,728000
"alhr50dt","blank1","blank2","non.p20",100,100,97,100,97,97,97,2914000
"alhr50dt","blank1","blank2","p20",100,100,3,100,3,3,3,2914000
"alhr50dt","blank1","blank2","primary",100,100,76,100,76,76,76,1846000
"alhr50dt","blank1","blank2","rural",100,100,55,100,55,55,55,2914000
"alhr50dt","blank1","blank2","secondary",100,100,29,100,29,29,29,1846000
"alhr50dt","blank1","blank2","stunted",100,100,19,100,19,19,19,170000
"alhr50dt","blank1","blank2","under5",100,100,5,100,5,5,5,2914000
"alhr50dt","blank1","blank2","urban",100,100,45,100,45,45,45,2914000
"alhr50dt","blank1","ext","female",100,1,52,1,1,52,1,2914000
"alhr50dt","blank1","ext","fifteento49",100,1,47,1,0,47,0,2914000
"alhr50dt","blank1","ext","fiveto14",100,1,18,1,0,18,0,2914000
"alhr50dt","blank1","ext","gt49",100,1,30,1,0,30,0,2914000
"alhr50dt","blank1","ext","higher",100,1,11,1,0,11,0,1846000
"alhr50dt","blank1","ext","male",100,1,48,1,0,48,0,2914000
"alhr50dt","blank1","ext","no.birth.reg",100,1,1,1,0,1,0,170000
"alhr50dt","blank1","ext","no.educ",100,1,24,1,0,24,0,1846000
"alhr50dt","blank1","ext","no.skilled.attendant",100,1,0,1,0,0,0,728000
"alhr50dt","blank1","ext","non.p20",100,1,97,1,0,97,0,2914000
"alhr50dt","blank1","ext","p20",100,1,3,1,1,3,1,2914000
"alhr50dt","blank1","ext","primary",100,1,76,1,1,76,1,1846000
"alhr50dt","blank1","ext","rural",100,1,55,1,1,55,1,2914000
"alhr50dt","blank1","ext","secondary",100,1,29,1,0,29,0,1846000
"alhr50dt","blank1","ext","stunted",100,1,19,1,0,19,0,170000
"alhr50dt","blank1","ext","under5",100,1,5,1,0,5,0,2914000
"alhr50dt","blank1","ext","urban",100,1,45,1,0,45,0,2914000
"alhr50dt","blank1","female","fifteento49",100,52,47,52,25,47,25,2914000
"alhr50dt","blank1","female","fiveto14",100,52,18,52,9,18,9,2914000
"alhr50dt","blank1","female","gt49",100,52,30,52,15,30,15,2914000
"alhr50dt","blank1","female","higher",100,53,11,53,5,11,5,1846000
"alhr50dt","blank1","female","male",100,52,48,52,0,48,0,2914000
"alhr50dt","blank1","female","no.birth.reg",100,50,1,50,1,1,1,170000
"alhr50dt","blank1","female","no.educ",100,53,24,53,15,24,15,1846000
"alhr50dt","blank1","female","no.skilled.attendant",100,100,0,100,0,0,0,728000
"alhr50dt","blank1","female","non.p20",100,52,97,52,50,97,50,2914000
"alhr50dt","blank1","female","p20",100,52,3,52,2,3,2,2914000
"alhr50dt","blank1","female","primary",100,53,76,53,39,76,39,1846000
"alhr50dt","blank1","female","rural",100,52,55,52,29,55,29,2914000
"alhr50dt","blank1","female","secondary",100,53,29,53,14,29,14,1846000
"alhr50dt","blank1","female","stunted",100,50,19,50,9,19,9,170000
"alhr50dt","blank1","female","under5",100,52,5,52,3,5,3,2914000
"alhr50dt","blank1","female","urban",100,52,45,52,23,45,23,2914000
"alhr50dt","blank1","fifteento49","fiveto14",100,47,18,47,0,18,0,2914000
"alhr50dt","blank1","fifteento49","gt49",100,47,30,47,0,30,0,2914000
"alhr50dt","blank1","fifteento49","higher",100,51,11,51,6,11,6,1846000
"alhr50dt","blank1","fifteento49","male",100,47,48,47,21,48,21,2914000
"alhr50dt","blank1","fifteento49","no.birth.reg",100,0,1,0,0,1,0,170000
"alhr50dt","blank1","fifteento49","no.educ",100,51,24,51,2,24,2,1846000
"alhr50dt","blank1","fifteento49","no.skilled.attendant",100,100,0,100,0,0,0,728000
