"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"aohr71dt","blank1","blank2","ext",100,100,27,100,27,27,27,25998000
"aohr71dt","blank1","blank2","female",100,100,52,100,52,52,52,25998000
"aohr71dt","blank1","blank2","fifteento49",100,100,40,100,40,40,40,25998000
"aohr71dt","blank1","blank2","fiveto14",100,100,30,100,30,30,30,25998000
"aohr71dt","blank1","blank2","gt49",100,100,10,100,10,10,10,25998000
"aohr71dt","blank1","blank2","higher",100,100,7,100,7,7,7,8724000
"aohr71dt","blank1","blank2","male",100,100,48,100,48,48,48,25998000
"aohr71dt","blank1","blank2","no.birth.reg",100,100,75,100,75,75,75,4920000
"aohr71dt","blank1","blank2","no.educ",100,100,56,100,56,56,56,8724000
"aohr71dt","blank1","blank2","no.skilled.attendant",100,100,42,100,42,42,42,5908000
"aohr71dt","blank1","blank2","non.p20",100,100,59,100,59,59,59,25998000
"aohr71dt","blank1","blank2","p20",100,100,41,100,41,41,41,25998000
"aohr71dt","blank1","blank2","primary",100,100,44,100,44,44,44,8724000
"aohr71dt","blank1","blank2","rural",100,100,36,100,36,36,36,25998000
"aohr71dt","blank1","blank2","secondary",100,100,17,100,17,17,17,8724000
"aohr71dt","blank1","blank2","stunted",100,100,38,100,38,38,38,4920000
"aohr71dt","blank1","blank2","under5",100,100,20,100,20,20,20,25998000
"aohr71dt","blank1","blank2","urban",100,100,64,100,64,64,64,25998000
"aohr71dt","blank1","ext","female",100,27,52,27,15,52,15,25998000
"aohr71dt","blank1","ext","fifteento49",100,27,40,27,9,40,9,25998000
"aohr71dt","blank1","ext","fiveto14",100,27,30,27,8,30,8,25998000
"aohr71dt","blank1","ext","gt49",100,27,10,27,4,10,4,25998000
"aohr71dt","blank1","ext","higher",100,28,7,28,0,7,0,8724000
"aohr71dt","blank1","ext","male",100,27,48,27,13,48,13,25998000
"aohr71dt","blank1","ext","no.birth.reg",100,32,75,32,29,75,29,4920000
"aohr71dt","blank1","ext","no.educ",100,28,56,28,25,56,25,8724000
"aohr71dt","blank1","ext","no.skilled.attendant",100,29,42,29,22,42,22,5908000
"aohr71dt","blank1","ext","non.p20",100,27,59,27,0,59,0,25998000
"aohr71dt","blank1","ext","p20",100,27,41,27,27,41,27,25998000
"aohr71dt","blank1","ext","primary",100,28,44,28,3,44,3,8724000
"aohr71dt","blank1","ext","rural",100,27,36,27,25,36,25,25998000
"aohr71dt","blank1","ext","secondary",100,28,17,28,0,17,0,8724000
"aohr71dt","blank1","ext","stunted",100,32,38,32,9,38,9,4920000
"aohr71dt","blank1","ext","under5",100,27,20,27,6,20,6,25998000
"aohr71dt","blank1","ext","urban",100,27,64,27,2,64,2,25998000
"aohr71dt","blank1","female","fifteento49",100,52,40,52,21,40,21,25998000
"aohr71dt","blank1","female","fiveto14",100,52,30,52,15,30,15,25998000
"aohr71dt","blank1","female","gt49",100,52,10,52,6,10,6,25998000
"aohr71dt","blank1","female","higher",100,54,7,54,3,7,3,8724000
"aohr71dt","blank1","female","male",100,52,48,52,0,48,0,25998000
"aohr71dt","blank1","female","no.birth.reg",100,51,75,51,38,75,38,4920000
"aohr71dt","blank1","female","no.educ",100,54,56,54,36,56,36,8724000
"aohr71dt","blank1","female","no.skilled.attendant",100,100,42,100,42,42,42,5908000
"aohr71dt","blank1","female","non.p20",100,52,59,52,30,59,30,25998000
"aohr71dt","blank1","female","p20",100,52,41,52,22,41,22,25998000
"aohr71dt","blank1","female","primary",100,54,44,54,17,44,17,8724000
"aohr71dt","blank1","female","rural",100,52,36,52,19,36,19,25998000
"aohr71dt","blank1","female","secondary",100,54,17,54,6,17,6,8724000
"aohr71dt","blank1","female","stunted",100,51,38,51,11,38,11,4920000
"aohr71dt","blank1","female","under5",100,52,20,52,10,20,10,25998000
"aohr71dt","blank1","female","urban",100,52,64,52,34,64,34,25998000
"aohr71dt","blank1","fifteento49","fiveto14",100,40,30,40,0,30,0,25998000
"aohr71dt","blank1","fifteento49","gt49",100,40,10,40,0,10,0,25998000
"aohr71dt","blank1","fifteento49","higher",100,68,7,68,6,7,6,8724000
"aohr71dt","blank1","fifteento49","male",100,40,48,40,18,48,18,25998000
"aohr71dt","blank1","fifteento49","no.birth.reg",100,0,75,0,0,75,0,4920000
"aohr71dt","blank1","fifteento49","no.educ",100,68,56,68,32,56,32,8724000
"aohr71dt","blank1","fifteento49","no.skilled.attendant",100,100,42,100,42,42,42,5908000
"aohr71dt","blank1","fifteento49","non.p20",100,40,59,40,26,59,26,25998000
"aohr71dt","blank1","fifteento49","p20",100,40,41,40,14,41,14,25998000
"aohr71dt","blank1","fifteento49","primary",100,68,44,68,36,44,36,8724000
"aohr71dt","blank1","fifteento49","rural",100,40,36,40,12,36,12,25998000
"aohr71dt","blank1","fifteento49","secondary",100,68,17,68,14,17,14,8724000
"aohr71dt","blank1","fifteento49","stunted",100,0,38,0,0,38,0,4920000
"aohr71dt","blank1","fifteento49","under5",100,40,20,40,0,20,0,25998000
"aohr71dt","blank1","fifteento49","urban",100,40,64,40,28,64,28,25998000
"aohr71dt","blank1","fiveto14","gt49",100,30,10,30,0,10,0,25998000
"aohr71dt","blank1","fiveto14","higher",100,0,7,0,0,7,0,8724000
"aohr71dt","blank1","fiveto14","male",100,30,48,30,15,48,15,25998000
"aohr71dt","blank1","fiveto14","no.birth.reg",100,0,75,0,0,75,0,4920000
"aohr71dt","blank1","fiveto14","no.educ",100,0,56,0,0,56,0,8724000
"aohr71dt","blank1","fiveto14","no.skilled.attendant",100,0,42,0,0,42,0,5908000
"aohr71dt","blank1","fiveto14","non.p20",100,30,59,30,18,59,18,25998000
"aohr71dt","blank1","fiveto14","p20",100,30,41,30,13,41,13,25998000
"aohr71dt","blank1","fiveto14","primary",100,0,44,0,0,44,0,8724000
"aohr71dt","blank1","fiveto14","rural",100,30,36,30,11,36,11,25998000
"aohr71dt","blank1","fiveto14","secondary",100,0,17,0,0,17,0,8724000
"aohr71dt","blank1","fiveto14","stunted",100,0,38,0,0,38,0,4920000
"aohr71dt","blank1","fiveto14","under5",100,30,20,30,0,20,0,25998000
"aohr71dt","blank1","fiveto14","urban",100,30,64,30,19,64,19,25998000
"aohr71dt","blank1","gt49","higher",100,32,7,32,1,7,1,8724000
"aohr71dt","blank1","gt49","male",100,10,48,10,5,48,5,25998000
"aohr71dt","blank1","gt49","no.birth.reg",100,0,75,0,0,75,0,4920000
"aohr71dt","blank1","gt49","no.educ",100,32,56,32,23,56,23,8724000
"aohr71dt","blank1","gt49","no.skilled.attendant",100,0,42,0,0,42,0,5908000
"aohr71dt","blank1","gt49","non.p20",100,10,59,10,5,59,5,25998000
"aohr71dt","blank1","gt49","p20",100,10,41,10,6,41,6,25998000
"aohr71dt","blank1","gt49","primary",100,32,44,32,7,44,7,8724000
"aohr71dt","blank1","gt49","rural",100,10,36,10,5,36,5,25998000
"aohr71dt","blank1","gt49","secondary",100,32,17,32,3,17,3,8724000
"aohr71dt","blank1","gt49","stunted",100,0,38,0,0,38,0,4920000
