"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"bfhr62dt","blank1","blank2","ext",100,100,45,100,45,45,45,17073000
"bfhr62dt","blank1","blank2","female",100,100,51,100,51,51,51,17073000
"bfhr62dt","blank1","blank2","fifteento49",100,100,40,100,40,40,40,17073000
"bfhr62dt","blank1","blank2","fiveto14",100,100,31,100,31,31,31,17073000
"bfhr62dt","blank1","blank2","gt49",100,100,11,100,11,11,11,17073000
"bfhr62dt","blank1","blank2","higher",100,100,2,100,2,2,2,5840000
"bfhr62dt","blank1","blank2","male",100,100,49,100,49,49,49,17073000
"bfhr62dt","blank1","blank2","no.birth.reg",100,100,23,100,23,23,23,3044000
"bfhr62dt","blank1","blank2","no.educ",100,100,89,100,89,89,89,5840000
"bfhr62dt","blank1","blank2","no.skilled.attendant",100,100,26,100,26,26,26,3924000
"bfhr62dt","blank1","blank2","non.p20",100,100,35,100,35,35,35,17073000
"bfhr62dt","blank1","blank2","p20",100,100,65,100,65,65,65,17073000
"bfhr62dt","blank1","blank2","primary",100,100,11,100,11,11,11,5840000
"bfhr62dt","blank1","blank2","rural",100,100,78,100,78,78,78,17073000
"bfhr62dt","blank1","blank2","secondary",100,100,2,100,2,2,2,5840000
"bfhr62dt","blank1","blank2","stunted",100,100,35,100,35,35,35,3044000
"bfhr62dt","blank1","blank2","under5",100,100,18,100,18,18,18,17073000
"bfhr62dt","blank1","blank2","urban",100,100,22,100,22,22,22,17073000
"bfhr62dt","blank1","ext","female",100,45,51,45,23,51,23,17073000
"bfhr62dt","blank1","ext","fifteento49",100,45,40,45,16,40,16,17073000
"bfhr62dt","blank1","ext","fiveto14",100,45,31,45,15,31,15,17073000
"bfhr62dt","blank1","ext","gt49",100,45,11,45,6,11,6,17073000
"bfhr62dt","blank1","ext","higher",100,44,2,44,0,2,0,5840000
"bfhr62dt","blank1","ext","male",100,45,49,45,22,49,22,17073000
"bfhr62dt","blank1","ext","no.birth.reg",100,48,23,48,16,23,16,3044000
"bfhr62dt","blank1","ext","no.educ",100,44,89,44,44,89,44,5840000
"bfhr62dt","blank1","ext","no.skilled.attendant",100,46,26,46,18,26,18,3924000
"bfhr62dt","blank1","ext","non.p20",100,45,35,45,0,35,0,17073000
"bfhr62dt","blank1","ext","p20",100,45,65,45,45,65,45,17073000
"bfhr62dt","blank1","ext","primary",100,44,11,44,1,11,1,5840000
"bfhr62dt","blank1","ext","rural",100,45,78,45,44,78,44,17073000
"bfhr62dt","blank1","ext","secondary",100,44,2,44,0,2,0,5840000
"bfhr62dt","blank1","ext","stunted",100,48,35,48,12,35,12,3044000
"bfhr62dt","blank1","ext","under5",100,45,18,45,9,18,9,17073000
"bfhr62dt","blank1","ext","urban",100,45,22,45,1,22,1,17073000
"bfhr62dt","blank1","female","fifteento49",100,51,40,51,22,40,22,17073000
"bfhr62dt","blank1","female","fiveto14",100,51,31,51,15,31,15,17073000
"bfhr62dt","blank1","female","gt49",100,51,11,51,6,11,6,17073000
"bfhr62dt","blank1","female","higher",100,54,2,54,0,2,0,5840000
"bfhr62dt","blank1","female","male",100,51,49,51,0,49,0,17073000
"bfhr62dt","blank1","female","no.birth.reg",100,49,23,49,11,23,11,3044000
"bfhr62dt","blank1","female","no.educ",100,54,89,54,50,89,50,5840000
"bfhr62dt","blank1","female","no.skilled.attendant",100,100,26,100,26,26,26,3924000
"bfhr62dt","blank1","female","non.p20",100,51,35,51,18,35,18,17073000
"bfhr62dt","blank1","female","p20",100,51,65,51,34,65,34,17073000
"bfhr62dt","blank1","female","primary",100,54,11,54,4,11,4,5840000
"bfhr62dt","blank1","female","rural",100,51,78,51,40,78,40,17073000
"bfhr62dt","blank1","female","secondary",100,54,2,54,1,2,1,5840000
"bfhr62dt","blank1","female","stunted",100,49,35,49,10,35,10,3044000
"bfhr62dt","blank1","female","under5",100,51,18,51,9,18,9,17073000
"bfhr62dt","blank1","female","urban",100,51,22,51,11,22,11,17073000
"bfhr62dt","blank1","fifteento49","fiveto14",100,40,31,40,0,31,0,17073000
"bfhr62dt","blank1","fifteento49","gt49",100,40,11,40,0,11,0,17073000
"bfhr62dt","blank1","fifteento49","higher",100,68,2,68,1,2,1,5840000
"bfhr62dt","blank1","fifteento49","male",100,40,49,40,18,49,18,17073000
"bfhr62dt","blank1","fifteento49","no.birth.reg",100,0,23,0,0,23,0,3044000
"bfhr62dt","blank1","fifteento49","no.educ",100,68,89,68,58,89,58,5840000
"bfhr62dt","blank1","fifteento49","no.skilled.attendant",100,100,26,100,26,26,26,3924000
"bfhr62dt","blank1","fifteento49","non.p20",100,40,35,40,16,35,16,17073000
"bfhr62dt","blank1","fifteento49","p20",100,40,65,40,24,65,24,17073000
"bfhr62dt","blank1","fifteento49","primary",100,68,11,68,10,11,10,5840000
"bfhr62dt","blank1","fifteento49","rural",100,40,78,40,28,78,28,17073000
"bfhr62dt","blank1","fifteento49","secondary",100,68,2,68,2,2,2,5840000
"bfhr62dt","blank1","fifteento49","stunted",100,0,35,0,0,35,0,3044000
"bfhr62dt","blank1","fifteento49","under5",100,40,18,40,0,18,0,17073000
"bfhr62dt","blank1","fifteento49","urban",100,40,22,40,11,22,11,17073000
"bfhr62dt","blank1","fiveto14","gt49",100,31,11,31,0,11,0,17073000
"bfhr62dt","blank1","fiveto14","higher",100,0,2,0,0,2,0,5840000
"bfhr62dt","blank1","fiveto14","male",100,31,49,31,16,49,16,17073000
"bfhr62dt","blank1","fiveto14","no.birth.reg",100,0,23,0,0,23,0,3044000
"bfhr62dt","blank1","fiveto14","no.educ",100,0,89,0,0,89,0,5840000
"bfhr62dt","blank1","fiveto14","no.skilled.attendant",100,0,26,0,0,26,0,3924000
"bfhr62dt","blank1","fiveto14","non.p20",100,31,35,31,10,35,10,17073000
"bfhr62dt","blank1","fiveto14","p20",100,31,65,31,21,65,21,17073000
"bfhr62dt","blank1","fiveto14","primary",100,0,11,0,0,11,0,5840000
"bfhr62dt","blank1","fiveto14","rural",100,31,78,31,25,78,25,17073000
"bfhr62dt","blank1","fiveto14","secondary",100,0,2,0,0,2,0,5840000
"bfhr62dt","blank1","fiveto14","stunted",100,0,35,0,0,35,0,3044000
"bfhr62dt","blank1","fiveto14","under5",100,31,18,31,0,18,0,17073000
"bfhr62dt","blank1","fiveto14","urban",100,31,22,31,6,22,6,17073000
"bfhr62dt","blank1","gt49","higher",100,32,2,32,0,2,0,5840000
"bfhr62dt","blank1","gt49","male",100,11,49,11,6,49,6,17073000
"bfhr62dt","blank1","gt49","no.birth.reg",100,0,23,0,0,23,0,3044000
"bfhr62dt","blank1","gt49","no.educ",100,32,89,32,31,89,31,5840000
"bfhr62dt","blank1","gt49","no.skilled.attendant",100,0,26,0,0,26,0,3924000
"bfhr62dt","blank1","gt49","non.p20",100,11,35,11,3,35,3,17073000
"bfhr62dt","blank1","gt49","p20",100,11,65,11,8,65,8,17073000
