"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"buhr61dt","blank1","blank2","ext",100,100,75,100,75,75,75,9599000
"buhr61dt","blank1","blank2","female",100,100,53,100,53,53,53,9599000
"buhr61dt","blank1","blank2","fifteento49",100,100,43,100,43,43,43,9599000
"buhr61dt","blank1","blank2","fiveto14",100,100,28,100,28,28,28,9599000
"buhr61dt","blank1","blank2","gt49",100,100,10,100,10,10,10,9599000
"buhr61dt","blank1","blank2","higher",100,100,2,100,2,2,2,3355000
"buhr61dt","blank1","blank2","male",100,100,47,100,47,47,47,9599000
"buhr61dt","blank1","blank2","no.birth.reg",100,100,25,100,25,25,25,1757000
"buhr61dt","blank1","blank2","no.educ",100,100,78,100,78,78,78,3355000
"buhr61dt","blank1","blank2","no.skilled.attendant",,,,,,,,2282000
"buhr61dt","blank1","blank2","non.p20",100,100,13,100,13,13,13,9599000
"buhr61dt","blank1","blank2","p20",100,100,87,100,87,87,87,9599000
"buhr61dt","blank1","blank2","primary",100,100,22,100,22,22,22,3355000
"buhr61dt","blank1","blank2","rural",100,100,90,100,90,90,90,9599000
"buhr61dt","blank1","blank2","secondary",100,100,2,100,2,2,2,3355000
"buhr61dt","blank1","blank2","stunted",100,100,58,100,58,58,58,1757000
"buhr61dt","blank1","blank2","under5",100,100,18,100,18,18,18,9599000
"buhr61dt","blank1","blank2","urban",100,100,10,100,10,10,10,9599000
"buhr61dt","blank1","ext","female",100,75,53,75,40,53,40,9599000
"buhr61dt","blank1","ext","fifteento49",100,75,43,75,31,43,31,9599000
"buhr61dt","blank1","ext","fiveto14",100,75,28,75,22,28,22,9599000
"buhr61dt","blank1","ext","gt49",100,75,10,75,8,10,8,9599000
"buhr61dt","blank1","ext","higher",100,75,2,75,0,2,0,3355000
"buhr61dt","blank1","ext","male",100,75,47,75,35,47,35,9599000
"buhr61dt","blank1","ext","no.birth.reg",100,77,25,77,21,25,21,1757000
"buhr61dt","blank1","ext","no.educ",100,75,78,75,66,78,66,3355000
"buhr61dt","blank1","ext","no.skilled.attendant",,,,,,,,2282000
"buhr61dt","blank1","ext","non.p20",100,75,13,75,0,13,0,9599000
"buhr61dt","blank1","ext","p20",100,75,87,75,75,87,75,9599000
"buhr61dt","blank1","ext","primary",100,75,22,75,10,22,10,3355000
"buhr61dt","blank1","ext","rural",100,75,90,75,74,90,74,9599000
"buhr61dt","blank1","ext","secondary",100,75,2,75,0,2,0,3355000
"buhr61dt","blank1","ext","stunted",100,77,58,77,38,58,38,1757000
"buhr61dt","blank1","ext","under5",100,75,18,75,14,18,14,9599000
"buhr61dt","blank1","ext","urban",100,75,10,75,1,10,1,9599000
"buhr61dt","blank1","female","fifteento49",100,53,43,53,24,43,24,9599000
"buhr61dt","blank1","female","fiveto14",100,53,28,53,15,28,15,9599000
