"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"bjhr61dt","blank1","blank2","ext",100,100,50,100,50,50,50,10004000
"bjhr61dt","blank1","blank2","female",100,100,51,100,51,51,51,10004000
"bjhr61dt","blank1","blank2","fifteento49",100,100,40,100,40,40,40,10004000
"bjhr61dt","blank1","blank2","fiveto14",100,100,32,100,32,32,32,10004000
"bjhr61dt","blank1","blank2","gt49",100,100,12,100,12,12,12,10004000
"bjhr61dt","blank1","blank2","higher",100,100,4,100,4,4,4,3680000
"bjhr61dt","blank1","blank2","male",100,100,49,100,49,49,49,10004000
"bjhr61dt","blank1","blank2","no.birth.reg",100,100,20,100,20,20,20,1671000
"bjhr61dt","blank1","blank2","no.educ",100,100,77,100,77,77,77,3680000
"bjhr61dt","blank1","blank2","no.skilled.attendant",100,100,14,100,14,14,14,2340000
"bjhr61dt","blank1","blank2","non.p20",100,100,34,100,34,34,34,10004000
"bjhr61dt","blank1","blank2","p20",100,100,66,100,66,66,66,10004000
"bjhr61dt","blank1","blank2","primary",100,100,23,100,23,23,23,3680000
"bjhr61dt","blank1","blank2","rural",100,100,58,100,58,58,58,10004000
"bjhr61dt","blank1","blank2","secondary",100,100,6,100,6,6,6,3680000
"bjhr61dt","blank1","blank2","stunted",100,100,45,100,45,45,45,1671000
"bjhr61dt","blank1","blank2","under5",100,100,16,100,16,16,16,10004000
"bjhr61dt","blank1","blank2","urban",100,100,42,100,42,42,42,10004000
"bjhr61dt","blank1","ext","female",100,50,51,50,25,51,25,10004000
"bjhr61dt","blank1","ext","fifteento49",100,50,40,50,17,40,17,10004000
"bjhr61dt","blank1","ext","fiveto14",100,50,32,50,18,32,18,10004000
"bjhr61dt","blank1","ext","gt49",100,50,12,50,6,12,6,10004000
"bjhr61dt","blank1","ext","higher",100,48,4,48,0,4,0,3680000
"bjhr61dt","blank1","ext","male",100,50,49,50,25,49,25,10004000
"bjhr61dt","blank1","ext","no.birth.reg",100,53,20,53,16,20,16,1671000
"bjhr61dt","blank1","ext","no.educ",100,48,77,48,45,77,45,3680000
"bjhr61dt","blank1","ext","no.skilled.attendant",100,51,14,51,12,14,12,2340000
"bjhr61dt","blank1","ext","non.p20",100,50,34,50,0,34,0,10004000
"bjhr61dt","blank1","ext","p20",100,50,66,50,50,66,50,10004000
"bjhr61dt","blank1","ext","primary",100,48,23,48,3,23,3,3680000
"bjhr61dt","blank1","ext","rural",100,50,58,50,42,58,42,10004000
"bjhr61dt","blank1","ext","secondary",100,48,6,48,0,6,0,3680000
"bjhr61dt","blank1","ext","stunted",100,53,45,53,18,45,18,1671000
"bjhr61dt","blank1","ext","under5",100,50,16,50,9,16,9,10004000
"bjhr61dt","blank1","ext","urban",100,50,42,50,9,42,9,10004000
"bjhr61dt","blank1","female","fifteento49",100,51,40,51,21,40,21,10004000
"bjhr61dt","blank1","female","fiveto14",100,51,32,51,16,32,16,10004000
"bjhr61dt","blank1","female","gt49",100,51,12,51,6,12,6,10004000
"bjhr61dt","blank1","female","higher",100,54,4,54,1,4,1,3680000
"bjhr61dt","blank1","female","male",100,51,49,51,0,49,0,10004000
"bjhr61dt","blank1","female","no.birth.reg",100,49,20,49,10,20,10,1671000
"bjhr61dt","blank1","female","no.educ",100,54,77,54,46,77,46,3680000
"bjhr61dt","blank1","female","no.skilled.attendant",100,100,14,100,14,14,14,2340000
"bjhr61dt","blank1","female","non.p20",100,51,34,51,18,34,18,10004000
"bjhr61dt","blank1","female","p20",100,51,66,51,33,66,33,10004000
"bjhr61dt","blank1","female","primary",100,54,23,54,8,23,8,3680000
"bjhr61dt","blank1","female","rural",100,51,58,51,29,58,29,10004000
"bjhr61dt","blank1","female","secondary",100,54,6,54,2,6,2,3680000
"bjhr61dt","blank1","female","stunted",100,49,45,49,15,45,15,1671000
"bjhr61dt","blank1","female","under5",100,51,16,51,8,16,8,10004000
"bjhr61dt","blank1","female","urban",100,51,42,51,21,42,21,10004000
"bjhr61dt","blank1","fifteento49","fiveto14",100,40,32,40,0,32,0,10004000
"bjhr61dt","blank1","fifteento49","gt49",100,40,12,40,0,12,0,10004000
"bjhr61dt","blank1","fifteento49","higher",100,68,4,68,3,4,3,3680000
"bjhr61dt","blank1","fifteento49","male",100,40,49,40,19,49,19,10004000
"bjhr61dt","blank1","fifteento49","no.birth.reg",100,0,20,0,0,20,0,1671000
"bjhr61dt","blank1","fifteento49","no.educ",100,68,77,68,49,77,49,3680000
