"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"bohr51dt","blank1","blank2","ext",100,100,8,100,8,8,8,10400000
"bohr51dt","blank1","blank2","female",100,100,51,100,51,51,51,10400000
"bohr51dt","blank1","blank2","fifteento49",100,100,46,100,46,46,46,10400000
"bohr51dt","blank1","blank2","fiveto14",100,100,26,100,26,26,26,10400000
"bohr51dt","blank1","blank2","gt49",100,100,16,100,16,16,16,10400000
"bohr51dt","blank1","blank2","higher",100,100,18,100,18,18,18,4918000
"bohr51dt","blank1","blank2","male",100,100,49,100,49,49,49,10400000
"bohr51dt","blank1","blank2","no.birth.reg",100,100,24,100,24,24,24,1186000
"bohr51dt","blank1","blank2","no.educ",100,100,55,100,55,55,55,4918000
"bohr51dt","blank1","blank2","no.skilled.attendant",100,100,23,100,23,23,23,2643000
"bohr51dt","blank1","blank2","non.p20",100,100,89,100,89,89,89,10400000
"bohr51dt","blank1","blank2","p20",100,100,11,100,11,11,11,10400000
"bohr51dt","blank1","blank2","primary",100,100,45,100,45,45,45,4918000
"bohr51dt","blank1","blank2","rural",100,100,41,100,41,41,41,10400000
"bohr51dt","blank1","blank2","secondary",100,100,32,100,32,32,32,4918000
"bohr51dt","blank1","blank2","stunted",100,100,27,100,27,27,27,1186000
"bohr51dt","blank1","blank2","under5",100,100,12,100,12,12,12,10400000
"bohr51dt","blank1","blank2","urban",100,100,59,100,59,59,59,10400000
"bohr51dt","blank1","ext","female",100,8,51,8,4,51,4,10400000
"bohr51dt","blank1","ext","fifteento49",100,8,46,8,3,46,3,10400000
"bohr51dt","blank1","ext","fiveto14",100,8,26,8,2,26,2,10400000
"bohr51dt","blank1","ext","gt49",100,8,16,8,1,16,1,10400000
"bohr51dt","blank1","ext","higher",100,7,18,7,0,18,0,4918000
"bohr51dt","blank1","ext","male",100,8,49,8,4,49,4,10400000
"bohr51dt","blank1","ext","no.birth.reg",100,11,24,11,4,24,4,1186000
"bohr51dt","blank1","ext","no.educ",100,7,55,7,6,55,6,4918000
"bohr51dt","blank1","ext","no.skilled.attendant",100,10,23,10,6,23,6,2643000
"bohr51dt","blank1","ext","non.p20",100,8,89,8,0,89,0,10400000
"bohr51dt","blank1","ext","p20",100,8,11,8,8,11,8,10400000
"bohr51dt","blank1","ext","primary",100,7,45,7,1,45,1,4918000
"bohr51dt","blank1","ext","rural",100,8,41,8,8,41,8,10400000
"bohr51dt","blank1","ext","secondary",100,7,32,7,0,32,0,4918000
"bohr51dt","blank1","ext","stunted",100,11,27,11,5,27,5,1186000
"bohr51dt","blank1","ext","under5",100,8,12,8,1,12,1,10400000
"bohr51dt","blank1","ext","urban",100,8,59,8,0,59,0,10400000
"bohr51dt","blank1","female","fifteento49",100,51,46,51,23,46,23,10400000
"bohr51dt","blank1","female","fiveto14",100,51,26,51,13,26,13,10400000
"bohr51dt","blank1","female","gt49",100,51,16,51,9,16,9,10400000
"bohr51dt","blank1","female","higher",100,52,18,52,8,18,8,4918000
"bohr51dt","blank1","female","male",100,51,49,51,0,49,0,10400000
"bohr51dt","blank1","female","no.birth.reg",100,49,24,49,12,24,12,1186000
"bohr51dt","blank1","female","no.educ",100,52,55,52,32,55,32,4918000
"bohr51dt","blank1","female","no.skilled.attendant",100,100,23,100,23,23,23,2643000
"bohr51dt","blank1","female","non.p20",100,51,89,51,45,89,45,10400000
"bohr51dt","blank1","female","p20",100,51,11,51,5,11,5,10400000
"bohr51dt","blank1","female","primary",100,52,45,52,20,45,20,4918000
"bohr51dt","blank1","female","rural",100,51,41,51,20,41,20,10400000
"bohr51dt","blank1","female","secondary",100,52,32,52,14,32,14,4918000
"bohr51dt","blank1","female","stunted",100,49,27,49,12,27,12,1186000
"bohr51dt","blank1","female","under5",100,51,12,51,6,12,6,10400000
"bohr51dt","blank1","female","urban",100,51,59,51,30,59,30,10400000
"bohr51dt","blank1","fifteento49","fiveto14",100,46,26,46,0,26,0,10400000
"bohr51dt","blank1","fifteento49","gt49",100,46,16,46,0,16,0,10400000
"bohr51dt","blank1","fifteento49","higher",100,64,18,64,14,18,14,4918000
"bohr51dt","blank1","fifteento49","male",100,46,49,46,22,49,22,10400000
"bohr51dt","blank1","fifteento49","no.birth.reg",100,0,24,0,0,24,0,1186000
"bohr51dt","blank1","fifteento49","no.educ",100,64,55,64,28,55,28,4918000
"bohr51dt","blank1","fifteento49","no.skilled.attendant",100,100,23,100,23,23,23,2643000
"bohr51dt","blank1","fifteento49","non.p20",100,46,89,46,42,89,42,10400000
"bohr51dt","blank1","fifteento49","p20",100,46,11,46,4,11,4,10400000
"bohr51dt","blank1","fifteento49","primary",100,64,45,64,36,45,36,4918000
"bohr51dt","blank1","fifteento49","rural",100,46,41,46,16,41,16,10400000
"bohr51dt","blank1","fifteento49","secondary",100,64,32,64,26,32,26,4918000
"bohr51dt","blank1","fifteento49","stunted",100,0,27,0,0,27,0,1186000
"bohr51dt","blank1","fifteento49","under5",100,46,12,46,0,12,0,10400000
"bohr51dt","blank1","fifteento49","urban",100,46,59,46,30,59,30,10400000
"bohr51dt","blank1","fiveto14","gt49",100,26,16,26,0,16,0,10400000
