"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Cameroon_MICS5_Datasets","blank1","blank2","ext",100,100,30,100,30,30,30,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","female",100,100,51,100,51,51,51,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","fifteento49",100,100,44,100,44,44,44,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","fiveto14",100,100,28,100,28,28,28,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","gt49",100,100,12,100,12,12,12,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","higher",100,100,0,100,0,0,0,7943000
"Cameroon_MICS5_Datasets","blank1","blank2","male",100,100,49,100,49,49,49,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","no.birth.reg",100,100,34,100,34,34,34,3617000
"Cameroon_MICS5_Datasets","blank1","blank2","no.educ",100,100,100,100,100,100,100,7943000
"Cameroon_MICS5_Datasets","blank1","blank2","no.skilled.attendant",100,100,37,100,37,37,37,5114000
"Cameroon_MICS5_Datasets","blank1","blank2","non.p20",100,100,57,100,57,57,57,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","p20",100,100,43,100,43,43,43,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","primary",100,100,0,100,0,0,0,7943000
"Cameroon_MICS5_Datasets","blank1","blank2","rural",100,100,52,100,52,52,52,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","secondary",100,100,0,100,0,0,0,7943000
"Cameroon_MICS5_Datasets","blank1","blank2","stunted",100,100,32,100,32,32,32,3617000
"Cameroon_MICS5_Datasets","blank1","blank2","under5",100,100,16,100,16,16,16,21655000
"Cameroon_MICS5_Datasets","blank1","blank2","urban",100,100,48,100,48,48,48,21655000
"Cameroon_MICS5_Datasets","blank1","ext","female",100,30,51,30,16,51,16,21655000
"Cameroon_MICS5_Datasets","blank1","ext","fifteento49",100,30,44,30,11,44,11,21655000
"Cameroon_MICS5_Datasets","blank1","ext","fiveto14",100,30,28,30,10,28,10,21655000
"Cameroon_MICS5_Datasets","blank1","ext","gt49",100,30,12,30,4,12,4,21655000
"Cameroon_MICS5_Datasets","blank1","ext","higher",100,27,0,27,0,0,0,7943000
"Cameroon_MICS5_Datasets","blank1","ext","male",100,30,49,30,15,49,15,21655000
"Cameroon_MICS5_Datasets","blank1","ext","no.birth.reg",100,35,34,35,20,34,20,3617000
"Cameroon_MICS5_Datasets","blank1","ext","no.educ",100,27,100,27,13,100,13,7943000
"Cameroon_MICS5_Datasets","blank1","ext","no.skilled.attendant",100,36,37,36,26,37,26,5114000
