"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"cohr71dt","blank1","blank2","ext",100,100,6,100,6,6,6,47343000
"cohr71dt","blank1","blank2","female",100,100,52,100,52,52,52,47343000
"cohr71dt","blank1","blank2","fifteento49",100,100,51,100,51,51,51,47343000
"cohr71dt","blank1","blank2","fiveto14",100,100,17,100,17,17,17,47343000
"cohr71dt","blank1","blank2","gt49",100,100,24,100,24,24,24,47343000
"cohr71dt","blank1","blank2","higher",100,100,25,100,25,25,25,27112000
"cohr71dt","blank1","blank2","male",100,100,48,100,48,48,48,47343000
"cohr71dt","blank1","blank2","no.birth.reg",100,100,3,100,3,3,3,3796000
"cohr71dt","blank1","blank2","no.educ",100,100,24,100,24,24,24,27112000
"cohr71dt","blank1","blank2","no.skilled.attendant",100,100,3,100,3,3,3,13085000
"cohr71dt","blank1","blank2","non.p20",100,100,90,100,90,90,90,47343000
"cohr71dt","blank1","blank2","p20",100,100,10,100,10,10,10,47343000
"cohr71dt","blank1","blank2","primary",100,100,76,100,76,76,76,27112000
"cohr71dt","blank1","blank2","rural",100,100,23,100,23,23,23,47343000
"cohr71dt","blank1","blank2","secondary",100,100,46,100,46,46,46,27112000
"cohr71dt","blank1","blank2","stunted",100,100,,100,,,,3796000
"cohr71dt","blank1","blank2","under5",100,100,7,100,7,7,7,47343000
"cohr71dt","blank1","blank2","urban",100,100,77,100,77,77,77,47343000
"cohr71dt","blank1","ext","female",100,6,52,6,3,52,3,47343000
"cohr71dt","blank1","ext","fifteento49",100,6,51,6,3,51,3,47343000
"cohr71dt","blank1","ext","fiveto14",100,6,17,6,2,17,2,47343000
"cohr71dt","blank1","ext","gt49",100,6,24,6,1,24,1,47343000
"cohr71dt","blank1","ext","higher",100,5,25,5,0,25,0,27112000
"cohr71dt","blank1","ext","male",100,6,48,6,3,48,3,47343000
"cohr71dt","blank1","ext","no.birth.reg",100,10,3,10,1,3,1,3796000
"cohr71dt","blank1","ext","no.educ",100,5,24,5,3,24,3,27112000
"cohr71dt","blank1","ext","no.skilled.attendant",100,9,3,9,2,3,2,13085000
"cohr71dt","blank1","ext","non.p20",100,6,90,6,0,90,0,47343000
"cohr71dt","blank1","ext","p20",100,6,10,6,6,10,6,47343000
"cohr71dt","blank1","ext","primary",100,5,76,5,2,76,2,27112000
"cohr71dt","blank1","ext","rural",100,6,23,6,6,23,6,47343000
"cohr71dt","blank1","ext","secondary",100,5,46,5,0,46,0,27112000
"cohr71dt","blank1","ext","stunted",100,10,,10,0,,0,3796000
"cohr71dt","blank1","ext","under5",100,6,7,6,1,7,1,47343000
"cohr71dt","blank1","ext","urban",100,6,77,6,0,77,0,47343000
"cohr71dt","blank1","female","fifteento49",100,52,51,52,27,51,27,47343000
"cohr71dt","blank1","female","fiveto14",100,52,17,52,8,17,8,47343000
"cohr71dt","blank1","female","gt49",100,52,24,52,13,24,13,47343000
"cohr71dt","blank1","female","higher",100,54,25,54,14,25,14,27112000
"cohr71dt","blank1","female","male",100,52,48,52,0,48,0,47343000
"cohr71dt","blank1","female","no.birth.reg",100,50,3,50,1,3,1,3796000
"cohr71dt","blank1","female","no.educ",100,54,24,54,13,24,13,27112000
"cohr71dt","blank1","female","no.skilled.attendant",100,100,3,100,3,3,3,13085000
"cohr71dt","blank1","female","non.p20",100,52,90,52,48,90,48,47343000
"cohr71dt","blank1","female","p20",100,52,10,52,5,10,5,47343000
"cohr71dt","blank1","female","primary",100,54,76,54,41,76,41,27112000
"cohr71dt","blank1","female","rural",100,52,23,52,11,23,11,47343000
"cohr71dt","blank1","female","secondary",100,54,46,54,25,46,25,27112000
"cohr71dt","blank1","female","stunted",100,50,,50,0,,0,3796000
"cohr71dt","blank1","female","under5",100,52,7,52,4,7,4,47343000
"cohr71dt","blank1","female","urban",100,52,77,52,41,77,41,47343000
"cohr71dt","blank1","fifteento49","fiveto14",100,51,17,51,0,17,0,47343000
"cohr71dt","blank1","fifteento49","gt49",100,51,24,51,0,24,0,47343000
"cohr71dt","blank1","fifteento49","higher",100,58,25,58,19,25,19,27112000
"cohr71dt","blank1","fifteento49","male",100,51,48,51,24,48,24,47343000
"cohr71dt","blank1","fifteento49","no.birth.reg",100,0,3,0,0,3,0,3796000
"cohr71dt","blank1","fifteento49","no.educ",100,58,24,58,8,24,8,27112000
"cohr71dt","blank1","fifteento49","no.skilled.attendant",100,100,3,100,3,3,3,13085000
"cohr71dt","blank1","fifteento49","non.p20",100,51,90,51,47,90,47,47343000
"cohr71dt","blank1","fifteento49","p20",100,51,10,51,4,10,4,47343000
"cohr71dt","blank1","fifteento49","primary",100,58,76,58,50,76,50,27112000
"cohr71dt","blank1","fifteento49","rural",100,51,23,51,11,23,11,47343000
"cohr71dt","blank1","fifteento49","secondary",100,58,46,58,34,46,34,27112000
"cohr71dt","blank1","fifteento49","stunted",100,0,,0,0,,0,3796000
"cohr71dt","blank1","fifteento49","under5",100,51,7,51,0,7,0,47343000
"cohr71dt","blank1","fifteento49","urban",100,51,77,51,40,77,40,47343000
"cohr71dt","blank1","fiveto14","gt49",100,17,24,17,0,24,0,47343000
"cohr71dt","blank1","fiveto14","higher",100,0,25,0,0,25,0,27112000
"cohr71dt","blank1","fiveto14","male",100,17,48,17,9,48,9,47343000
"cohr71dt","blank1","fiveto14","no.birth.reg",100,0,3,0,0,3,0,3796000
"cohr71dt","blank1","fiveto14","no.educ",100,0,24,0,0,24,0,27112000
"cohr71dt","blank1","fiveto14","no.skilled.attendant",100,0,3,0,0,3,0,13085000
"cohr71dt","blank1","fiveto14","non.p20",100,17,90,17,15,90,15,47343000
"cohr71dt","blank1","fiveto14","p20",100,17,10,17,2,10,2,47343000
"cohr71dt","blank1","fiveto14","primary",100,0,76,0,0,76,0,27112000
"cohr71dt","blank1","fiveto14","rural",100,17,23,17,5,23,5,47343000
"cohr71dt","blank1","fiveto14","secondary",100,0,46,0,0,46,0,27112000
"cohr71dt","blank1","fiveto14","stunted",100,0,,0,0,,0,3796000
"cohr71dt","blank1","fiveto14","under5",100,17,7,17,0,7,0,47343000
"cohr71dt","blank1","fiveto14","urban",100,17,77,17,12,77,12,47343000
"cohr71dt","blank1","gt49","higher",100,42,25,42,6,25,6,27112000
"cohr71dt","blank1","gt49","male",100,24,48,24,11,48,11,47343000
"cohr71dt","blank1","gt49","no.birth.reg",100,0,3,0,0,3,0,3796000
"cohr71dt","blank1","gt49","no.educ",100,42,24,42,16,24,16,27112000
"cohr71dt","blank1","gt49","no.skilled.attendant",100,0,3,0,0,3,0,13085000
"cohr71dt","blank1","gt49","non.p20",100,24,90,24,22,90,22,47343000
"cohr71dt","blank1","gt49","p20",100,24,10,24,2,10,2,47343000
