"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","ext",100,100,22,100,22,22,22,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","female",100,100,50,100,50,50,50,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","fifteento49",100,100,56,100,56,56,56,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","fiveto14",100,100,23,100,23,23,23,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","gt49",100,100,12,100,12,12,12,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","higher",100,100,0,100,0,0,0,412000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","male",100,100,50,100,50,50,50,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","no.birth.reg",100,100,8,100,8,8,8,100000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","no.educ",100,100,45,100,45,45,45,412000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","no.skilled.attendant",100,100,19,100,19,19,19,243000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","non.p20",100,100,69,100,69,69,69,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","p20",100,100,31,100,31,31,31,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","primary",100,100,55,100,55,55,55,412000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","rural",100,100,4,100,4,4,4,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","secondary",100,100,9,100,9,9,9,412000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","stunted",100,100,,100,,,,100000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","under5",100,100,9,100,9,9,9,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","blank2","urban",100,100,96,100,96,96,96,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","female",100,22,50,22,11,50,11,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","fifteento49",100,22,56,22,11,56,11,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","fiveto14",100,22,23,22,6,23,6,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","gt49",100,22,12,22,3,12,3,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","higher",100,20,0,20,0,0,0,412000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","male",100,22,50,22,11,50,11,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","no.birth.reg",100,26,8,26,4,8,4,100000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","no.educ",100,20,45,20,2,45,2,412000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","no.skilled.attendant",100,25,19,25,7,19,7,243000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","non.p20",100,22,69,22,0,69,0,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","p20",100,22,31,22,22,31,22,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","primary",100,20,55,20,3,55,3,412000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","rural",100,22,4,22,3,4,3,898000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","secondary",100,20,9,20,0,9,0,412000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","stunted",100,26,,26,0,,0,100000
"Djibouti MICS 2006 SPSS Datasets","blank1","ext","under5",100,22,9,22,2,9,2,898000
