"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Dominican Republic_MICS5_Datasets","blank1","blank2","ext",100,100,2,100,2,2,2,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","female",100,100,50,100,50,50,50,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","fifteento49",100,100,52,100,52,52,52,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","fiveto14",100,100,19,100,19,19,19,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","gt49",100,100,19,100,19,19,19,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","higher",100,100,22,100,22,22,22,5238000
"Dominican Republic_MICS5_Datasets","blank1","blank2","male",100,100,50,100,50,50,50,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","no.birth.reg",100,100,12,100,12,12,12,1064000
"Dominican Republic_MICS5_Datasets","blank1","blank2","no.educ",100,100,27,100,27,27,27,5238000
"Dominican Republic_MICS5_Datasets","blank1","blank2","no.skilled.attendant",100,100,5,100,5,5,5,2685000
"Dominican Republic_MICS5_Datasets","blank1","blank2","non.p20",100,100,96,100,96,96,96,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","p20",100,100,4,100,4,4,4,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","primary",100,100,73,100,73,73,73,5238000
"Dominican Republic_MICS5_Datasets","blank1","blank2","rural",100,100,25,100,25,25,25,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","secondary",100,100,48,100,48,48,48,5238000
"Dominican Republic_MICS5_Datasets","blank1","blank2","stunted",100,100,,100,,,,1064000
"Dominican Republic_MICS5_Datasets","blank1","blank2","under5",100,100,10,100,10,10,10,10283000
"Dominican Republic_MICS5_Datasets","blank1","blank2","urban",100,100,75,100,75,75,75,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","female",100,2,50,2,1,50,1,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","fifteento49",100,2,52,2,1,52,1,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","fiveto14",100,2,19,2,0,19,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","gt49",100,2,19,2,0,19,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","higher",100,2,22,2,0,22,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","ext","male",100,2,50,2,1,50,1,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","no.birth.reg",100,2,12,2,1,12,1,1064000
"Dominican Republic_MICS5_Datasets","blank1","ext","no.educ",100,2,27,2,1,27,1,5238000
"Dominican Republic_MICS5_Datasets","blank1","ext","no.skilled.attendant",100,2,5,2,0,5,0,2685000
"Dominican Republic_MICS5_Datasets","blank1","ext","non.p20",100,2,96,2,0,96,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","p20",100,2,4,2,2,4,2,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","primary",100,2,73,2,0,73,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","ext","rural",100,2,25,2,1,25,1,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","secondary",100,2,48,2,0,48,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","ext","stunted",100,2,,2,0,,0,1064000
"Dominican Republic_MICS5_Datasets","blank1","ext","under5",100,2,10,2,0,10,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","ext","urban",100,2,75,2,0,75,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","female","fifteento49",100,50,52,50,26,52,26,10283000
"Dominican Republic_MICS5_Datasets","blank1","female","fiveto14",100,50,19,50,9,19,9,10283000
"Dominican Republic_MICS5_Datasets","blank1","female","gt49",100,50,19,50,10,19,10,10283000
"Dominican Republic_MICS5_Datasets","blank1","female","higher",100,50,22,50,13,22,13,5238000
"Dominican Republic_MICS5_Datasets","blank1","female","male",100,50,50,50,0,50,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","female","no.birth.reg",100,50,12,50,6,12,6,1064000
"Dominican Republic_MICS5_Datasets","blank1","female","no.educ",100,50,27,50,13,27,13,5238000
"Dominican Republic_MICS5_Datasets","blank1","female","no.skilled.attendant",100,100,5,100,5,5,5,2685000
"Dominican Republic_MICS5_Datasets","blank1","female","non.p20",100,50,96,50,48,96,48,10283000
"Dominican Republic_MICS5_Datasets","blank1","female","p20",100,50,4,50,2,4,2,10283000
"Dominican Republic_MICS5_Datasets","blank1","female","primary",100,50,73,50,37,73,37,5238000
"Dominican Republic_MICS5_Datasets","blank1","female","rural",100,50,25,50,12,25,12,10283000
"Dominican Republic_MICS5_Datasets","blank1","female","secondary",100,50,48,50,26,48,26,5238000
"Dominican Republic_MICS5_Datasets","blank1","female","stunted",100,50,,50,0,,0,1064000
"Dominican Republic_MICS5_Datasets","blank1","female","under5",100,50,10,50,5,10,5,10283000
"Dominican Republic_MICS5_Datasets","blank1","female","urban",100,50,75,50,38,75,38,10283000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","fiveto14",100,52,19,52,0,19,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","gt49",100,52,19,52,0,19,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","higher",100,64,22,64,17,22,17,5238000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","male",100,52,50,52,26,50,26,10283000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","no.birth.reg",100,0,12,0,0,12,0,1064000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","no.educ",100,64,27,64,10,27,10,5238000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","no.skilled.attendant",100,100,5,100,5,5,5,2685000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","non.p20",100,52,96,52,50,96,50,10283000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","p20",100,52,4,52,2,4,2,10283000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","primary",100,64,73,64,53,73,53,5238000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","rural",100,52,25,52,13,25,13,10283000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","secondary",100,64,48,64,38,48,38,5238000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","stunted",100,0,,0,0,,0,1064000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","under5",100,52,10,52,0,10,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","fifteento49","urban",100,52,75,52,40,75,40,10283000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","gt49",100,19,19,19,0,19,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","higher",100,0,22,0,0,22,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","male",100,19,50,19,10,50,10,10283000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","no.birth.reg",100,0,12,0,0,12,0,1064000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","no.educ",100,0,27,0,0,27,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","no.skilled.attendant",100,0,5,0,0,5,0,2685000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","non.p20",100,19,96,19,18,96,18,10283000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","p20",100,19,4,19,1,4,1,10283000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","primary",100,0,73,0,0,73,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","rural",100,19,25,19,5,25,5,10283000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","secondary",100,0,48,0,0,48,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","stunted",100,0,,0,0,,0,1064000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","under5",100,19,10,19,0,10,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","fiveto14","urban",100,19,75,19,14,75,14,10283000
"Dominican Republic_MICS5_Datasets","blank1","gt49","higher",100,36,22,36,5,22,5,5238000
"Dominican Republic_MICS5_Datasets","blank1","gt49","male",100,19,50,19,9,50,9,10283000
"Dominican Republic_MICS5_Datasets","blank1","gt49","no.birth.reg",100,0,12,0,0,12,0,1064000
"Dominican Republic_MICS5_Datasets","blank1","gt49","no.educ",100,36,27,36,16,27,16,5238000
"Dominican Republic_MICS5_Datasets","blank1","gt49","no.skilled.attendant",100,0,5,0,0,5,0,2685000
"Dominican Republic_MICS5_Datasets","blank1","gt49","non.p20",100,19,96,19,18,96,18,10283000
"Dominican Republic_MICS5_Datasets","blank1","gt49","p20",100,19,4,19,1,4,1,10283000
"Dominican Republic_MICS5_Datasets","blank1","gt49","primary",100,36,73,36,20,73,20,5238000
"Dominican Republic_MICS5_Datasets","blank1","gt49","rural",100,19,25,19,5,25,5,10283000
"Dominican Republic_MICS5_Datasets","blank1","gt49","secondary",100,36,48,36,10,48,10,5238000
"Dominican Republic_MICS5_Datasets","blank1","gt49","stunted",100,0,,0,0,,0,1064000
"Dominican Republic_MICS5_Datasets","blank1","gt49","under5",100,19,10,19,0,10,0,10283000
"Dominican Republic_MICS5_Datasets","blank1","gt49","urban",100,19,75,19,14,75,14,10283000
"Dominican Republic_MICS5_Datasets","blank1","higher","male",100,22,50,22,9,50,9,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","no.birth.reg",,,,,,,,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","no.educ",100,22,27,22,0,27,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","no.skilled.attendant",100,37,5,37,2,5,2,1739000
"Dominican Republic_MICS5_Datasets","blank1","higher","non.p20",100,22,96,22,22,96,22,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","p20",100,22,4,22,0,4,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","primary",100,22,73,22,22,73,22,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","rural",100,22,24,22,2,24,2,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","secondary",100,22,48,22,22,48,22,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","stunted",,,,,,,,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","under5",100,22,0,22,0,0,0,5238000
"Dominican Republic_MICS5_Datasets","blank1","higher","urban",100,22,76,22,19,76,19,5238000
"Dominican Republic_MICS5_Datasets","blank1","male","no.birth.reg",100,50,12,50,6,12,6,1064000
"Dominican Republic_MICS5_Datasets","blank1","male","no.educ",100,50,27,50,13,27,13,5238000
"Dominican Republic_MICS5_Datasets","blank1","male","no.skilled.attendant",100,0,5,0,0,5,0,2685000
"Dominican Republic_MICS5_Datasets","blank1","male","non.p20",100,50,96,50,48,96,48,10283000
"Dominican Republic_MICS5_Datasets","blank1","male","p20",100,50,4,50,3,4,3,10283000
"Dominican Republic_MICS5_Datasets","blank1","male","primary",100,50,73,50,36,73,36,5238000
"Dominican Republic_MICS5_Datasets","blank1","male","rural",100,50,25,50,13,25,13,10283000
"Dominican Republic_MICS5_Datasets","blank1","male","secondary",100,50,48,50,22,48,22,5238000
"Dominican Republic_MICS5_Datasets","blank1","male","stunted",100,50,,50,0,,0,1064000
"Dominican Republic_MICS5_Datasets","blank1","male","under5",100,50,10,50,5,10,5,10283000
"Dominican Republic_MICS5_Datasets","blank1","male","urban",100,50,75,50,37,75,37,10283000
"Dominican Republic_MICS5_Datasets","blank1","no.birth.reg","no.educ",,,,,,,,5238000
"Dominican Republic_MICS5_Datasets","blank1","no.birth.reg","no.skilled.attendant",,,,,,,,1064000
"Dominican Republic_MICS5_Datasets","blank1","no.birth.reg","non.p20",100,12,95,12,10,95,10,1064000
"Dominican Republic_MICS5_Datasets","blank1","no.birth.reg","p20",100,12,5,12,2,5,2,1064000
