"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Ecuador","blank1","blank2","ext",100,100,4,100,4,4,4,15660000
"Ecuador","blank1","blank2","female",100,100,,100,,,,15660000
"Ecuador","blank1","blank2","fifteento49",100,100,,100,,,,15660000
"Ecuador","blank1","blank2","fiveto14",100,100,,100,,,,15660000
"Ecuador","blank1","blank2","gt49",100,100,,100,,,,15660000
"Ecuador","blank1","blank2","higher",,,,,,,,15660000
"Ecuador","blank1","blank2","male",100,100,,100,,,,15660000
"Ecuador","blank1","blank2","no.birth.reg",,,,,,,,15660000
"Ecuador","blank1","blank2","no.educ",,,,,,,,15660000
"Ecuador","blank1","blank2","no.skilled.attendant",,,,,,,,15660000
"Ecuador","blank1","blank2","non.p20",100,100,92,100,92,92,92,15660000
"Ecuador","blank1","blank2","p20",100,100,8,100,8,8,8,15660000
"Ecuador","blank1","blank2","primary",,,,,,,,15660000
"Ecuador","blank1","blank2","rural",100,100,,100,,,,15660000
"Ecuador","blank1","blank2","secondary",,,,,,,,15660000
"Ecuador","blank1","blank2","stunted",,,,,,,,15660000
"Ecuador","blank1","blank2","under5",100,100,,100,,,,15660000
"Ecuador","blank1","blank2","urban",100,100,,100,,,,15660000
"Ecuador","blank1","ext","female",100,4,,4,,,,15660000
"Ecuador","blank1","ext","fifteento49",100,4,,4,,,,15660000
"Ecuador","blank1","ext","fiveto14",100,4,,4,,,,15660000
"Ecuador","blank1","ext","gt49",100,4,,4,,,,15660000
"Ecuador","blank1","ext","higher",,,,,,,,15660000
"Ecuador","blank1","ext","male",100,4,,4,,,,15660000
"Ecuador","blank1","ext","no.birth.reg",,,,,,,,15660000
"Ecuador","blank1","ext","no.educ",,,,,,,,15660000
"Ecuador","blank1","ext","no.skilled.attendant",,,,,,,,15660000
"Ecuador","blank1","ext","non.p20",100,4,92,4,0,92,0,15660000
"Ecuador","blank1","ext","p20",100,4,8,4,4,8,4,15660000
"Ecuador","blank1","ext","primary",,,,,,,,15660000
"Ecuador","blank1","ext","rural",100,4,,4,,,,15660000
"Ecuador","blank1","ext","secondary",,,,,,,,15660000
"Ecuador","blank1","ext","stunted",,,,,,,,15660000
"Ecuador","blank1","ext","under5",100,4,,4,,,,15660000
"Ecuador","blank1","ext","urban",100,4,,4,,,,15660000
"Ecuador","blank1","female","fifteento49",100,,,,,,,15660000
"Ecuador","blank1","female","fiveto14",100,,,,,,,15660000
"Ecuador","blank1","female","gt49",100,,,,,,,15660000
"Ecuador","blank1","female","higher",,,,,,,,15660000
"Ecuador","blank1","female","male",100,,,,,,,15660000
"Ecuador","blank1","female","no.birth.reg",,,,,,,,15660000
"Ecuador","blank1","female","no.educ",,,,,,,,15660000
"Ecuador","blank1","female","no.skilled.attendant",,,,,,,,15660000
"Ecuador","blank1","female","non.p20",100,,92,,,92,,15660000
"Ecuador","blank1","female","p20",100,,8,,,8,,15660000
"Ecuador","blank1","female","primary",,,,,,,,15660000
"Ecuador","blank1","female","rural",100,,,,,,,15660000
"Ecuador","blank1","female","secondary",,,,,,,,15660000
"Ecuador","blank1","female","stunted",,,,,,,,15660000
"Ecuador","blank1","female","under5",100,,,,,,,15660000
"Ecuador","blank1","female","urban",100,,,,,,,15660000
"Ecuador","blank1","fifteento49","fiveto14",100,,,,,,,15660000
"Ecuador","blank1","fifteento49","gt49",100,,,,,,,15660000
"Ecuador","blank1","fifteento49","higher",,,,,,,,15660000
"Ecuador","blank1","fifteento49","male",100,,,,,,,15660000
"Ecuador","blank1","fifteento49","no.birth.reg",,,,,,,,15660000
"Ecuador","blank1","fifteento49","no.educ",,,,,,,,15660000
"Ecuador","blank1","fifteento49","no.skilled.attendant",,,,,,,,15660000
"Ecuador","blank1","fifteento49","non.p20",100,,92,,,92,,15660000
"Ecuador","blank1","fifteento49","p20",100,,8,,,8,,15660000
"Ecuador","blank1","fifteento49","primary",,,,,,,,15660000
"Ecuador","blank1","fifteento49","rural",100,,,,,,,15660000
"Ecuador","blank1","fifteento49","secondary",,,,,,,,15660000
"Ecuador","blank1","fifteento49","stunted",,,,,,,,15660000
"Ecuador","blank1","fifteento49","under5",100,,,,,,,15660000
"Ecuador","blank1","fifteento49","urban",100,,,,,,,15660000
"Ecuador","blank1","fiveto14","gt49",100,,,,,,,15660000
"Ecuador","blank1","fiveto14","higher",,,,,,,,15660000
"Ecuador","blank1","fiveto14","male",100,,,,,,,15660000
"Ecuador","blank1","fiveto14","no.birth.reg",,,,,,,,15660000
"Ecuador","blank1","fiveto14","no.educ",,,,,,,,15660000
"Ecuador","blank1","fiveto14","no.skilled.attendant",,,,,,,,15660000
"Ecuador","blank1","fiveto14","non.p20",100,,92,,,92,,15660000
"Ecuador","blank1","fiveto14","p20",100,,8,,,8,,15660000
"Ecuador","blank1","fiveto14","primary",,,,,,,,15660000
"Ecuador","blank1","fiveto14","rural",100,,,,,,,15660000
"Ecuador","blank1","fiveto14","secondary",,,,,,,,15660000
"Ecuador","blank1","fiveto14","stunted",,,,,,,,15660000
"Ecuador","blank1","fiveto14","under5",100,,,,,,,15660000
"Ecuador","blank1","fiveto14","urban",100,,,,,,,15660000
"Ecuador","blank1","gt49","higher",,,,,,,,15660000
"Ecuador","blank1","gt49","male",100,,,,,,,15660000
"Ecuador","blank1","gt49","no.birth.reg",,,,,,,,15660000
"Ecuador","blank1","gt49","no.educ",,,,,,,,15660000
"Ecuador","blank1","gt49","no.skilled.attendant",,,,,,,,15660000
"Ecuador","blank1","gt49","non.p20",100,,92,,,92,,15660000
"Ecuador","blank1","gt49","p20",100,,8,,,8,,15660000
"Ecuador","blank1","gt49","primary",,,,,,,,15660000
"Ecuador","blank1","gt49","rural",100,,,,,,,15660000
"Ecuador","blank1","gt49","secondary",,,,,,,,15660000
"Ecuador","blank1","gt49","stunted",,,,,,,,15660000
"Ecuador","blank1","gt49","under5",100,,,,,,,15660000
"Ecuador","blank1","gt49","urban",100,,,,,,,15660000
"Ecuador","blank1","higher","male",,,,,,,,15660000
"Ecuador","blank1","higher","no.birth.reg",,,,,,,,15660000
"Ecuador","blank1","higher","no.educ",,,,,,,,15660000
"Ecuador","blank1","higher","no.skilled.attendant",,,,,,,,15660000
"Ecuador","blank1","higher","non.p20",,,,,,,,15660000
"Ecuador","blank1","higher","p20",,,,,,,,15660000
"Ecuador","blank1","higher","primary",,,,,,,,15660000
"Ecuador","blank1","higher","rural",,,,,,,,15660000
"Ecuador","blank1","higher","secondary",,,,,,,,15660000
"Ecuador","blank1","higher","stunted",,,,,,,,15660000
"Ecuador","blank1","higher","under5",,,,,,,,15660000
"Ecuador","blank1","higher","urban",,,,,,,,15660000
"Ecuador","blank1","male","no.birth.reg",,,,,,,,15660000
"Ecuador","blank1","male","no.educ",,,,,,,,15660000
"Ecuador","blank1","male","no.skilled.attendant",,,,,,,,15660000
"Ecuador","blank1","male","non.p20",100,,92,,,92,,15660000
"Ecuador","blank1","male","p20",100,,8,,,8,,15660000
"Ecuador","blank1","male","primary",,,,,,,,15660000
"Ecuador","blank1","male","rural",100,,,,,,,15660000
"Ecuador","blank1","male","secondary",,,,,,,,15660000
"Ecuador","blank1","male","stunted",,,,,,,,15660000
"Ecuador","blank1","male","under5",100,,,,,,,15660000
"Ecuador","blank1","male","urban",100,,,,,,,15660000
