"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"ethr61dt","blank1","blank2","ext",100,100,22,100,22,22,22,94887000
"ethr61dt","blank1","blank2","female",100,100,51,100,51,51,51,94887000
"ethr61dt","blank1","blank2","fifteento49",100,100,43,100,43,43,43,94887000
"ethr61dt","blank1","blank2","fiveto14",100,100,30,100,30,30,30,94887000
"ethr61dt","blank1","blank2","gt49",100,100,11,100,11,11,11,94887000
"ethr61dt","blank1","blank2","higher",100,100,4,100,4,4,4,34332000
"ethr61dt","blank1","blank2","male",100,100,49,100,49,49,49,94887000
"ethr61dt","blank1","blank2","no.birth.reg",100,100,,100,,,,14459000
"ethr61dt","blank1","blank2","no.educ",100,100,89,100,89,89,89,34332000
"ethr61dt","blank1","blank2","no.skilled.attendant",100,100,86,100,86,86,86,22452000
"ethr61dt","blank1","blank2","non.p20",100,100,57,100,57,57,57,94887000
"ethr61dt","blank1","blank2","p20",100,100,43,100,43,43,43,94887000
"ethr61dt","blank1","blank2","primary",100,100,11,100,11,11,11,34332000
"ethr61dt","blank1","blank2","rural",100,100,82,100,82,82,82,94887000
"ethr61dt","blank1","blank2","secondary",100,100,6,100,6,6,6,34332000
"ethr61dt","blank1","blank2","stunted",100,100,45,100,45,45,45,14459000
"ethr61dt","blank1","blank2","under5",100,100,15,100,15,15,15,94887000
"ethr61dt","blank1","blank2","urban",100,100,18,100,18,18,18,94887000
"ethr61dt","blank1","ext","female",100,22,51,22,11,51,11,94887000
"ethr61dt","blank1","ext","fifteento49",100,22,43,22,8,43,8,94887000
"ethr61dt","blank1","ext","fiveto14",100,22,30,22,7,30,7,94887000
"ethr61dt","blank1","ext","gt49",100,22,11,22,3,11,3,94887000
"ethr61dt","blank1","ext","higher",100,21,4,21,0,4,0,34332000
"ethr61dt","blank1","ext","male",100,22,49,22,10,49,10,94887000
"ethr61dt","blank1","ext","no.birth.reg",100,25,,25,0,,0,14459000
"ethr61dt","blank1","ext","no.educ",100,21,89,21,21,89,21,34332000
"ethr61dt","blank1","ext","no.skilled.attendant",100,24,86,24,23,86,23,22452000
"ethr61dt","blank1","ext","non.p20",100,22,57,22,0,57,0,94887000
"ethr61dt","blank1","ext","p20",100,22,43,22,22,43,22,94887000
"ethr61dt","blank1","ext","primary",100,21,11,21,0,11,0,34332000
"ethr61dt","blank1","ext","rural",100,22,82,22,21,82,21,94887000
"ethr61dt","blank1","ext","secondary",100,21,6,21,0,6,0,34332000
"ethr61dt","blank1","ext","stunted",100,25,45,25,11,45,11,14459000
"ethr61dt","blank1","ext","under5",100,22,15,22,4,15,4,94887000
"ethr61dt","blank1","ext","urban",100,22,18,22,0,18,0,94887000
"ethr61dt","blank1","female","fifteento49",100,51,43,51,23,43,23,94887000
"ethr61dt","blank1","female","fiveto14",100,51,30,51,15,30,15,94887000
"ethr61dt","blank1","female","gt49",100,51,11,51,6,11,6,94887000
"ethr61dt","blank1","female","higher",100,52,4,52,1,4,1,34332000
"ethr61dt","blank1","female","male",100,51,49,51,0,49,0,94887000
"ethr61dt","blank1","female","no.birth.reg",100,49,,49,0,,0,14459000
"ethr61dt","blank1","female","no.educ",100,52,89,52,48,89,48,34332000
"ethr61dt","blank1","female","no.skilled.attendant",100,100,86,100,86,86,86,22452000
