"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"gahr60dt","blank1","blank2","ext",100,100,7,100,7,7,7,1817000
"gahr60dt","blank1","blank2","female",100,100,51,100,51,51,51,1817000
"gahr60dt","blank1","blank2","fifteento49",100,100,48,100,48,48,48,1817000
"gahr60dt","blank1","blank2","fiveto14",100,100,24,100,24,24,24,1817000
"gahr60dt","blank1","blank2","gt49",100,100,12,100,12,12,12,1817000
"gahr60dt","blank1","blank2","higher",100,100,14,100,14,14,14,809000
"gahr60dt","blank1","blank2","male",100,100,49,100,49,49,49,1817000
"gahr60dt","blank1","blank2","no.birth.reg",100,100,11,100,11,11,11,255000
"gahr60dt","blank1","blank2","no.educ",100,100,31,100,31,31,31,809000
"gahr60dt","blank1","blank2","no.skilled.attendant",100,100,6,100,6,6,6,446000
"gahr60dt","blank1","blank2","non.p20",100,100,86,100,86,86,86,1817000
"gahr60dt","blank1","blank2","p20",100,100,14,100,14,14,14,1817000
"gahr60dt","blank1","blank2","primary",100,100,69,100,69,69,69,809000
"gahr60dt","blank1","blank2","rural",100,100,16,100,16,16,16,1817000
"gahr60dt","blank1","blank2","secondary",100,100,17,100,17,17,17,809000
"gahr60dt","blank1","blank2","stunted",100,100,17,100,17,17,17,255000
"gahr60dt","blank1","blank2","under5",100,100,15,100,15,15,15,1817000
"gahr60dt","blank1","blank2","urban",100,100,84,100,84,84,84,1817000
"gahr60dt","blank1","ext","female",100,7,51,7,4,51,4,1817000
"gahr60dt","blank1","ext","fifteento49",100,7,48,7,2,48,2,1817000
"gahr60dt","blank1","ext","fiveto14",100,7,24,7,2,24,2,1817000
"gahr60dt","blank1","ext","gt49",100,7,12,7,2,12,2,1817000
"gahr60dt","blank1","ext","higher",100,8,14,8,0,14,0,809000
"gahr60dt","blank1","ext","male",100,7,49,7,3,49,3,1817000
"gahr60dt","blank1","ext","no.birth.reg",100,6,11,6,1,11,1,255000
"gahr60dt","blank1","ext","no.educ",100,8,31,8,6,31,6,809000
"gahr60dt","blank1","ext","no.skilled.attendant",100,5,6,5,2,6,2,446000
"gahr60dt","blank1","ext","non.p20",100,7,86,7,0,86,0,1817000
"gahr60dt","blank1","ext","p20",100,7,14,7,7,14,7,1817000
"gahr60dt","blank1","ext","primary",100,8,69,8,2,69,2,809000
"gahr60dt","blank1","ext","rural",100,7,16,7,6,16,6,1817000
"gahr60dt","blank1","ext","secondary",100,8,17,8,0,17,0,809000
"gahr60dt","blank1","ext","stunted",100,6,17,6,2,17,2,255000
"gahr60dt","blank1","ext","under5",100,7,15,7,1,15,1,1817000
"gahr60dt","blank1","ext","urban",100,7,84,7,0,84,0,1817000
"gahr60dt","blank1","female","fifteento49",100,51,48,51,25,48,25,1817000
