"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"ghhr72dt","blank1","blank2","ext",100,100,12,100,12,12,12,26345000
"ghhr72dt","blank1","blank2","female",100,100,52,100,52,52,52,26345000
"ghhr72dt","blank1","blank2","fifteento49",100,100,45,100,45,45,45,26345000
"ghhr72dt","blank1","blank2","fiveto14",100,100,27,100,27,27,27,26345000
"ghhr72dt","blank1","blank2","gt49",100,100,14,100,14,14,14,26345000
"ghhr72dt","blank1","blank2","higher",100,100,10,100,10,10,10,10802000
"ghhr72dt","blank1","blank2","male",100,100,48,100,48,48,48,26345000
"ghhr72dt","blank1","blank2","no.birth.reg",100,100,29,100,29,29,29,3896000
"ghhr72dt","blank1","blank2","no.educ",100,100,38,100,38,38,38,10802000
"ghhr72dt","blank1","blank2","no.skilled.attendant",100,100,21,100,21,21,21,6691000
"ghhr72dt","blank1","blank2","non.p20",100,100,78,100,78,78,78,26345000
"ghhr72dt","blank1","blank2","p20",100,100,22,100,22,22,22,26345000
"ghhr72dt","blank1","blank2","primary",100,100,62,100,62,62,62,10802000
"ghhr72dt","blank1","blank2","rural",100,100,51,100,51,51,51,26345000
"ghhr72dt","blank1","blank2","secondary",100,100,18,100,18,18,18,10802000
"ghhr72dt","blank1","blank2","stunted",100,100,19,100,19,19,19,3896000
"ghhr72dt","blank1","blank2","under5",100,100,14,100,14,14,14,26345000
"ghhr72dt","blank1","blank2","urban",100,100,49,100,49,49,49,26345000
"ghhr72dt","blank1","ext","female",100,12,52,12,6,52,6,26345000
"ghhr72dt","blank1","ext","fifteento49",100,12,45,12,5,45,5,26345000
"ghhr72dt","blank1","ext","fiveto14",100,12,27,12,4,27,4,26345000
"ghhr72dt","blank1","ext","gt49",100,12,14,12,2,14,2,26345000
"ghhr72dt","blank1","ext","higher",100,10,10,10,0,10,0,10802000
"ghhr72dt","blank1","ext","male",100,12,48,12,6,48,6,26345000
