"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"gnhr62dt","blank1","blank2","ext",100,100,36,100,36,36,36,11537000
"gnhr62dt","blank1","blank2","female",100,100,52,100,52,52,52,11537000
"gnhr62dt","blank1","blank2","fifteento49",100,100,39,100,39,39,39,11537000
"gnhr62dt","blank1","blank2","fiveto14",100,100,32,100,32,32,32,11537000
"gnhr62dt","blank1","blank2","gt49",100,100,14,100,14,14,14,11537000
"gnhr62dt","blank1","blank2","higher",100,100,6,100,6,6,6,4294000
"gnhr62dt","blank1","blank2","male",100,100,48,100,48,48,48,11537000
"gnhr62dt","blank1","blank2","no.birth.reg",100,100,39,100,39,39,39,1891000
"gnhr62dt","blank1","blank2","no.educ",100,100,82,100,82,82,82,4294000
"gnhr62dt","blank1","blank2","no.skilled.attendant",100,100,70,100,70,70,70,2658000
"gnhr62dt","blank1","blank2","non.p20",100,100,44,100,44,44,44,11537000
"gnhr62dt","blank1","blank2","p20",100,100,56,100,56,56,56,11537000
"gnhr62dt","blank1","blank2","primary",100,100,18,100,18,18,18,4294000
"gnhr62dt","blank1","blank2","rural",100,100,67,100,67,67,67,11537000
"gnhr62dt","blank1","blank2","secondary",100,100,8,100,8,8,8,4294000
"gnhr62dt","blank1","blank2","stunted",100,100,31,100,31,31,31,1891000
"gnhr62dt","blank1","blank2","under5",100,100,16,100,16,16,16,11537000
"gnhr62dt","blank1","blank2","urban",100,100,33,100,33,33,33,11537000
"gnhr62dt","blank1","ext","female",100,36,52,36,19,52,19,11537000
"gnhr62dt","blank1","ext","fifteento49",100,36,39,36,13,39,13,11537000
"gnhr62dt","blank1","ext","fiveto14",100,36,32,36,12,32,12,11537000
"gnhr62dt","blank1","ext","gt49",100,36,14,36,5,14,5,11537000
"gnhr62dt","blank1","ext","higher",100,36,6,36,0,6,0,4294000
"gnhr62dt","blank1","ext","male",100,36,48,36,17,48,17,11537000
"gnhr62dt","blank1","ext","no.birth.reg",100,40,39,40,21,39,21,1891000
"gnhr62dt","blank1","ext","no.educ",100,36,82,36,34,82,34,4294000
"gnhr62dt","blank1","ext","no.skilled.attendant",100,33,70,33,27,70,27,2658000
"gnhr62dt","blank1","ext","non.p20",100,36,44,36,0,44,0,11537000
"gnhr62dt","blank1","ext","p20",100,36,56,36,36,56,36,11537000
"gnhr62dt","blank1","ext","primary",100,36,18,36,1,18,1,4294000
"gnhr62dt","blank1","ext","rural",100,36,67,36,35,67,35,11537000
"gnhr62dt","blank1","ext","secondary",100,36,8,36,0,8,0,4294000
"gnhr62dt","blank1","ext","stunted",100,40,31,40,10,31,10,1891000
"gnhr62dt","blank1","ext","under5",100,36,16,36,6,16,6,11537000
"gnhr62dt","blank1","ext","urban",100,36,33,36,0,33,0,11537000
"gnhr62dt","blank1","female","fifteento49",100,52,39,52,21,39,21,11537000
"gnhr62dt","blank1","female","fiveto14",100,52,32,52,16,32,16,11537000
"gnhr62dt","blank1","female","gt49",100,52,14,52,7,14,7,11537000
"gnhr62dt","blank1","female","higher",100,54,6,54,1,6,1,4294000
"gnhr62dt","blank1","female","male",100,52,48,52,0,48,0,11537000
"gnhr62dt","blank1","female","no.birth.reg",100,49,39,49,19,39,19,1891000
"gnhr62dt","blank1","female","no.educ",100,54,82,54,49,82,49,4294000
"gnhr62dt","blank1","female","no.skilled.attendant",100,100,70,100,70,70,70,2658000
"gnhr62dt","blank1","female","non.p20",100,52,44,52,22,44,22,11537000
"gnhr62dt","blank1","female","p20",100,52,56,52,30,56,30,11537000
"gnhr62dt","blank1","female","primary",100,54,18,54,6,18,6,4294000
"gnhr62dt","blank1","female","rural",100,52,67,52,36,67,36,11537000
"gnhr62dt","blank1","female","secondary",100,54,8,54,2,8,2,4294000
"gnhr62dt","blank1","female","stunted",100,49,31,49,10,31,10,1891000
"gnhr62dt","blank1","female","under5",100,52,16,52,8,16,8,11537000
"gnhr62dt","blank1","female","urban",100,52,33,52,17,33,17,11537000
"gnhr62dt","blank1","fifteento49","fiveto14",100,39,32,39,0,32,0,11537000
"gnhr62dt","blank1","fifteento49","gt49",100,39,14,39,0,14,0,11537000
"gnhr62dt","blank1","fifteento49","higher",100,63,6,63,4,6,4,4294000
"gnhr62dt","blank1","fifteento49","male",100,39,48,39,18,48,18,11537000
"gnhr62dt","blank1","fifteento49","no.birth.reg",100,0,39,0,0,39,0,1891000
"gnhr62dt","blank1","fifteento49","no.educ",100,63,82,63,49,82,49,4294000
"gnhr62dt","blank1","fifteento49","no.skilled.attendant",100,100,70,100,70,70,70,2658000
"gnhr62dt","blank1","fifteento49","non.p20",100,39,44,39,19,44,19,11537000
"gnhr62dt","blank1","fifteento49","p20",100,39,56,39,20,56,20,11537000
