"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"hnhr62dt","blank1","blank2","ext",100,100,19,100,19,19,19,8659000
"hnhr62dt","blank1","blank2","female",100,100,51,100,51,51,51,8659000
"hnhr62dt","blank1","blank2","fifteento49",100,100,50,100,50,50,50,8659000
"hnhr62dt","blank1","blank2","fiveto14",100,100,24,100,24,24,24,8659000
"hnhr62dt","blank1","blank2","gt49",100,100,14,100,14,14,14,8659000
"hnhr62dt","blank1","blank2","higher",100,100,8,100,8,8,8,3851000
"hnhr62dt","blank1","blank2","male",100,100,49,100,49,49,49,8659000
"hnhr62dt","blank1","blank2","no.birth.reg",100,100,7,100,7,7,7,967000
"hnhr62dt","blank1","blank2","no.educ",100,100,46,100,46,46,46,3851000
"hnhr62dt","blank1","blank2","no.skilled.attendant",100,100,2,100,2,2,2,2315000
"hnhr62dt","blank1","blank2","non.p20",100,100,72,100,72,72,72,8659000
"hnhr62dt","blank1","blank2","p20",100,100,28,100,28,28,28,8659000
"hnhr62dt","blank1","blank2","primary",100,100,54,100,54,54,54,3851000
"hnhr62dt","blank1","blank2","rural",100,100,51,100,51,51,51,8659000
"hnhr62dt","blank1","blank2","secondary",100,100,18,100,18,18,18,3851000
"hnhr62dt","blank1","blank2","stunted",100,100,23,100,23,23,23,967000
"hnhr62dt","blank1","blank2","under5",100,100,11,100,11,11,11,8659000
"hnhr62dt","blank1","blank2","urban",100,100,49,100,49,49,49,8659000
"hnhr62dt","blank1","ext","female",100,19,51,19,9,51,9,8659000
"hnhr62dt","blank1","ext","fifteento49",100,19,50,19,8,50,8,8659000
"hnhr62dt","blank1","ext","fiveto14",100,19,24,19,6,24,6,8659000
"hnhr62dt","blank1","ext","gt49",100,19,14,19,2,14,2,8659000
"hnhr62dt","blank1","ext","higher",100,16,8,16,0,8,0,3851000
"hnhr62dt","blank1","ext","male",100,19,49,19,10,49,10,8659000
"hnhr62dt","blank1","ext","no.birth.reg",100,23,7,23,2,7,2,967000
"hnhr62dt","blank1","ext","no.educ",100,16,46,16,13,46,13,3851000
