"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"idhr63dt","blank1","blank2","ext",100,100,10,100,10,10,10,252028000
"idhr63dt","blank1","blank2","female",100,100,50,100,50,50,50,252028000
"idhr63dt","blank1","blank2","fifteento49",100,100,52,100,52,52,52,252028000
"idhr63dt","blank1","blank2","fiveto14",100,100,20,100,20,20,20,252028000
"idhr63dt","blank1","blank2","gt49",100,100,18,100,18,18,18,252028000
"idhr63dt","blank1","blank2","higher",100,100,10,100,10,10,10,136606000
"idhr63dt","blank1","blank2","male",100,100,50,100,50,50,50,252028000
"idhr63dt","blank1","blank2","no.birth.reg",100,100,32,100,32,32,32,24250000
"idhr63dt","blank1","blank2","no.educ",100,100,27,100,27,27,27,136606000
"idhr63dt","blank1","blank2","no.skilled.attendant",100,100,15,100,15,15,15,68438000
"idhr63dt","blank1","blank2","non.p20",100,100,73,100,73,73,73,252028000
"idhr63dt","blank1","blank2","p20",100,100,27,100,27,27,27,252028000
"idhr63dt","blank1","blank2","primary",100,100,73,100,73,73,73,136606000
"idhr63dt","blank1","blank2","rural",100,100,50,100,50,50,50,252028000
"idhr63dt","blank1","blank2","secondary",100,100,30,100,30,30,30,136606000
"idhr63dt","blank1","blank2","stunted",100,100,,100,,,,24250000
"idhr63dt","blank1","blank2","under5",100,100,10,100,10,10,10,252028000
"idhr63dt","blank1","blank2","urban",100,100,50,100,50,50,50,252028000
"idhr63dt","blank1","ext","female",100,10,50,10,5,50,5,252028000
"idhr63dt","blank1","ext","fifteento49",100,10,52,10,4,52,4,252028000
"idhr63dt","blank1","ext","fiveto14",100,10,20,10,2,20,2,252028000
"idhr63dt","blank1","ext","gt49",100,10,18,10,2,18,2,252028000
"idhr63dt","blank1","ext","higher",100,9,10,9,0,10,0,136606000
"idhr63dt","blank1","ext","male",100,10,50,10,5,50,5,252028000
"idhr63dt","blank1","ext","no.birth.reg",100,11,32,11,7,32,7,24250000
"idhr63dt","blank1","ext","no.educ",100,9,27,9,5,27,5,136606000
"idhr63dt","blank1","ext","no.skilled.attendant",100,10,15,10,5,15,5,68438000
"idhr63dt","blank1","ext","non.p20",100,10,73,10,0,73,0,252028000
"idhr63dt","blank1","ext","p20",100,10,27,10,10,27,10,252028000
"idhr63dt","blank1","ext","primary",100,9,73,9,4,73,4,136606000
"idhr63dt","blank1","ext","rural",100,10,50,10,9,50,9,252028000
"idhr63dt","blank1","ext","secondary",100,9,30,9,1,30,1,136606000
"idhr63dt","blank1","ext","stunted",100,11,,11,0,,0,24250000
"idhr63dt","blank1","ext","under5",100,10,10,10,1,10,1,252028000
"idhr63dt","blank1","ext","urban",100,10,50,10,1,50,1,252028000
"idhr63dt","blank1","female","fifteento49",100,50,52,50,26,52,26,252028000
"idhr63dt","blank1","female","fiveto14",100,50,20,50,10,20,10,252028000
"idhr63dt","blank1","female","gt49",100,50,18,50,9,18,9,252028000
"idhr63dt","blank1","female","higher",100,51,10,51,5,10,5,136606000
"idhr63dt","blank1","female","male",100,50,50,50,0,50,0,252028000
"idhr63dt","blank1","female","no.birth.reg",100,49,32,49,15,32,15,24250000
"idhr63dt","blank1","female","no.educ",100,51,27,51,16,27,16,136606000
"idhr63dt","blank1","female","no.skilled.attendant",100,100,15,100,15,15,15,68438000
"idhr63dt","blank1","female","non.p20",100,50,73,50,37,73,37,252028000
"idhr63dt","blank1","female","p20",100,50,27,50,14,27,14,252028000
"idhr63dt","blank1","female","primary",100,51,73,51,35,73,35,136606000
"idhr63dt","blank1","female","rural",100,50,50,50,25,50,25,252028000
"idhr63dt","blank1","female","secondary",100,51,30,51,13,30,13,136606000
"idhr63dt","blank1","female","stunted",100,49,,49,0,,0,24250000
"idhr63dt","blank1","female","under5",100,50,10,50,5,10,5,252028000
"idhr63dt","blank1","female","urban",100,50,50,50,25,50,25,252028000
"idhr63dt","blank1","fifteento49","fiveto14",100,52,20,52,0,20,0,252028000
"idhr63dt","blank1","fifteento49","gt49",100,52,18,52,0,18,0,252028000
"idhr63dt","blank1","fifteento49","higher",100,67,10,67,8,10,8,136606000
"idhr63dt","blank1","fifteento49","male",100,52,50,52,26,50,26,252028000
"idhr63dt","blank1","fifteento49","no.birth.reg",100,0,32,0,0,32,0,24250000
"idhr63dt","blank1","fifteento49","no.educ",100,67,27,67,10,27,10,136606000
"idhr63dt","blank1","fifteento49","no.skilled.attendant",100,100,15,100,15,15,15,68438000
"idhr63dt","blank1","fifteento49","non.p20",100,52,73,52,40,73,40,252028000
