"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"iahr52dt","blank1","blank2","ext",100,100,17,100,17,17,17,1278562000
"iahr52dt","blank1","blank2","female",100,100,50,100,50,50,50,1278562000
"iahr52dt","blank1","blank2","fifteento49",100,100,50,100,50,50,50,1278562000
"iahr52dt","blank1","blank2","fiveto14",100,100,24,100,24,24,24,1278562000
"iahr52dt","blank1","blank2","gt49",100,100,15,100,15,15,15,1278562000
"iahr52dt","blank1","blank2","higher",100,100,9,100,9,9,9,661909000
"iahr52dt","blank1","blank2","male",100,100,50,100,50,50,50,1278562000
"iahr52dt","blank1","blank2","no.birth.reg",100,100,59,100,59,59,59,124279000
"iahr52dt","blank1","blank2","no.educ",100,100,53,100,53,53,53,661909000
"iahr52dt","blank1","blank2","no.skilled.attendant",100,100,47,100,47,47,47,327463000
"iahr52dt","blank1","blank2","non.p20",100,100,62,100,62,62,62,1278562000
"iahr52dt","blank1","blank2","p20",100,100,38,100,38,38,38,1278562000
"iahr52dt","blank1","blank2","primary",100,100,47,100,47,47,47,661909000
"iahr52dt","blank1","blank2","rural",100,100,69,100,69,69,69,1278562000
"iahr52dt","blank1","blank2","secondary",100,100,13,100,13,13,13,661909000
"iahr52dt","blank1","blank2","stunted",100,100,48,100,48,48,48,124279000
"iahr52dt","blank1","blank2","under5",100,100,11,100,11,11,11,1278562000
"iahr52dt","blank1","blank2","urban",100,100,31,100,31,31,31,1278562000
"iahr52dt","blank1","ext","female",100,17,50,17,9,50,9,1278562000
"iahr52dt","blank1","ext","fifteento49",100,17,50,17,7,50,7,1278562000
"iahr52dt","blank1","ext","fiveto14",100,17,24,17,5,24,5,1278562000
"iahr52dt","blank1","ext","gt49",100,17,15,17,2,15,2,1278562000
"iahr52dt","blank1","ext","higher",100,15,9,15,0,9,0,661909000
"iahr52dt","blank1","ext","male",100,17,50,17,8,50,8,1278562000
"iahr52dt","blank1","ext","no.birth.reg",100,21,59,21,16,59,16,124279000
"iahr52dt","blank1","ext","no.educ",100,15,53,15,13,53,13,661909000
"iahr52dt","blank1","ext","no.skilled.attendant",100,21,47,21,16,47,16,327463000
"iahr52dt","blank1","ext","non.p20",100,17,62,17,0,62,0,1278562000
"iahr52dt","blank1","ext","p20",100,17,38,17,17,38,17,1278562000
"iahr52dt","blank1","ext","primary",100,15,47,15,2,47,2,661909000
"iahr52dt","blank1","ext","rural",100,17,69,17,16,69,16,1278562000
"iahr52dt","blank1","ext","secondary",100,15,13,15,0,13,0,661909000
"iahr52dt","blank1","ext","stunted",100,21,48,21,11,48,11,124279000
"iahr52dt","blank1","ext","under5",100,17,11,17,2,11,2,1278562000
"iahr52dt","blank1","ext","urban",100,17,31,17,1,31,1,1278562000
"iahr52dt","blank1","female","fifteento49",100,50,50,50,25,50,25,1278562000
"iahr52dt","blank1","female","fiveto14",100,50,24,50,11,24,11,1278562000
"iahr52dt","blank1","female","gt49",100,50,15,50,8,15,8,1278562000
"iahr52dt","blank1","female","higher",100,51,9,51,3,9,3,661909000
"iahr52dt","blank1","female","male",100,50,50,50,0,50,0,1278562000
"iahr52dt","blank1","female","no.birth.reg",100,48,59,48,28,59,28,124279000
"iahr52dt","blank1","female","no.educ",100,51,53,51,33,53,33,661909000
"iahr52dt","blank1","female","no.skilled.attendant",100,100,47,100,47,47,47,327463000
"iahr52dt","blank1","female","non.p20",100,50,62,50,31,62,31,1278562000
"iahr52dt","blank1","female","p20",100,50,38,50,19,38,19,1278562000
"iahr52dt","blank1","female","primary",100,51,47,51,17,47,17,661909000
"iahr52dt","blank1","female","rural",100,50,69,50,35,69,35,1278562000
"iahr52dt","blank1","female","secondary",100,51,13,51,4,13,4,661909000
"iahr52dt","blank1","female","stunted",100,48,48,48,20,48,20,124279000
"iahr52dt","blank1","female","under5",100,50,11,50,5,11,5,1278562000
"iahr52dt","blank1","female","urban",100,50,31,50,15,31,15,1278562000
"iahr52dt","blank1","fifteento49","fiveto14",100,50,24,50,0,24,0,1278562000
"iahr52dt","blank1","fifteento49","gt49",100,50,15,50,0,15,0,1278562000
"iahr52dt","blank1","fifteento49","higher",100,67,9,67,7,9,7,661909000
"iahr52dt","blank1","fifteento49","male",100,50,50,50,24,50,24,1278562000
"iahr52dt","blank1","fifteento49","no.birth.reg",100,0,59,0,0,59,0,124279000
"iahr52dt","blank1","fifteento49","no.educ",100,67,53,67,31,53,31,661909000
"iahr52dt","blank1","fifteento49","no.skilled.attendant",100,100,47,100,47,47,47,327463000
"iahr52dt","blank1","fifteento49","non.p20",100,50,62,50,33,62,33,1278562000
"iahr52dt","blank1","fifteento49","p20",100,50,38,50,17,38,17,1278562000
"iahr52dt","blank1","fifteento49","primary",100,67,47,67,36,47,36,661909000
"iahr52dt","blank1","fifteento49","rural",100,50,69,50,33,69,33,1278562000
"iahr52dt","blank1","fifteento49","secondary",100,67,13,67,11,13,11,661909000
"iahr52dt","blank1","fifteento49","stunted",100,0,48,0,0,48,0,124279000
"iahr52dt","blank1","fifteento49","under5",100,50,11,50,0,11,0,1278562000
"iahr52dt","blank1","fifteento49","urban",100,50,31,50,17,31,17,1278562000
"iahr52dt","blank1","fiveto14","gt49",100,24,15,24,0,15,0,1278562000
"iahr52dt","blank1","fiveto14","higher",100,0,9,0,0,9,0,661909000
"iahr52dt","blank1","fiveto14","male",100,24,50,24,12,50,12,1278562000
"iahr52dt","blank1","fiveto14","no.birth.reg",100,0,59,0,0,59,0,124279000
