"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Iraq_MICS4_Datasets","blank1","blank2","ext",100,100,1,100,1,1,1,33882000
"Iraq_MICS4_Datasets","blank1","blank2","female",100,100,49,100,49,49,49,33882000
"Iraq_MICS4_Datasets","blank1","blank2","fifteento49",100,100,49,100,49,49,49,33882000
"Iraq_MICS4_Datasets","blank1","blank2","fiveto14",100,100,26,100,26,26,26,33882000
"Iraq_MICS4_Datasets","blank1","blank2","gt49",100,100,10,100,10,10,10,33882000
"Iraq_MICS4_Datasets","blank1","blank2","higher",100,100,0,100,0,0,0,13266000
"Iraq_MICS4_Datasets","blank1","blank2","male",100,100,51,100,51,51,51,33882000
"Iraq_MICS4_Datasets","blank1","blank2","no.birth.reg",100,100,1,100,1,1,1,5329000
"Iraq_MICS4_Datasets","blank1","blank2","no.educ",100,100,62,100,62,62,62,13266000
"Iraq_MICS4_Datasets","blank1","blank2","no.skilled.attendant",100,100,13,100,13,13,13,8246000
"Iraq_MICS4_Datasets","blank1","blank2","non.p20",100,100,94,100,94,94,94,33882000
"Iraq_MICS4_Datasets","blank1","blank2","p20",100,100,6,100,6,6,6,33882000
"Iraq_MICS4_Datasets","blank1","blank2","primary",100,100,38,100,38,38,38,13266000
"Iraq_MICS4_Datasets","blank1","blank2","rural",100,100,,100,,,,33882000
"Iraq_MICS4_Datasets","blank1","blank2","secondary",100,100,0,100,0,0,0,13266000
"Iraq_MICS4_Datasets","blank1","blank2","stunted",100,100,22,100,22,22,22,5329000
"Iraq_MICS4_Datasets","blank1","blank2","under5",100,100,15,100,15,15,15,33882000
"Iraq_MICS4_Datasets","blank1","blank2","urban",100,100,,100,,,,33882000
"Iraq_MICS4_Datasets","blank1","ext","female",100,1,49,1,1,49,1,33882000
"Iraq_MICS4_Datasets","blank1","ext","fifteento49",100,1,49,1,1,49,1,33882000
"Iraq_MICS4_Datasets","blank1","ext","fiveto14",100,1,26,1,0,26,0,33882000
"Iraq_MICS4_Datasets","blank1","ext","gt49",100,1,10,1,0,10,0,33882000
"Iraq_MICS4_Datasets","blank1","ext","higher",100,1,0,1,0,0,0,13266000
"Iraq_MICS4_Datasets","blank1","ext","male",100,1,51,1,1,51,1,33882000
"Iraq_MICS4_Datasets","blank1","ext","no.birth.reg",100,2,1,2,0,1,0,5329000
"Iraq_MICS4_Datasets","blank1","ext","no.educ",100,1,62,1,0,62,0,13266000
"Iraq_MICS4_Datasets","blank1","ext","no.skilled.attendant",100,2,13,2,1,13,1,8246000
"Iraq_MICS4_Datasets","blank1","ext","non.p20",100,1,94,1,0,94,0,33882000
"Iraq_MICS4_Datasets","blank1","ext","p20",100,1,6,1,1,6,1,33882000
"Iraq_MICS4_Datasets","blank1","ext","primary",100,1,38,1,0,38,0,13266000
"Iraq_MICS4_Datasets","blank1","ext","rural",100,1,,1,0,,0,33882000
"Iraq_MICS4_Datasets","blank1","ext","secondary",100,1,0,1,0,0,0,13266000
"Iraq_MICS4_Datasets","blank1","ext","stunted",100,2,22,2,0,22,0,5329000
"Iraq_MICS4_Datasets","blank1","ext","under5",100,1,15,1,0,15,0,33882000
"Iraq_MICS4_Datasets","blank1","ext","urban",100,1,,1,0,,0,33882000
"Iraq_MICS4_Datasets","blank1","female","fifteento49",100,49,49,49,24,49,24,33882000
"Iraq_MICS4_Datasets","blank1","female","fiveto14",100,49,26,49,13,26,13,33882000
"Iraq_MICS4_Datasets","blank1","female","gt49",100,49,10,49,6,10,6,33882000
