"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"kehr70dt","blank1","blank2","ext",100,100,25,100,25,25,25,44828000
"kehr70dt","blank1","blank2","female",100,100,51,100,51,51,51,44828000
"kehr70dt","blank1","blank2","fifteento49",100,100,46,100,46,46,46,44828000
"kehr70dt","blank1","blank2","fiveto14",100,100,29,100,29,29,29,44828000
"kehr70dt","blank1","blank2","gt49",100,100,11,100,11,11,11,44828000
"kehr70dt","blank1","blank2","higher",100,100,12,100,12,12,12,16861000
"kehr70dt","blank1","blank2","male",100,100,49,100,49,49,49,44828000
"kehr70dt","blank1","blank2","no.birth.reg",100,100,31,100,31,31,31,6927000
"kehr70dt","blank1","blank2","no.educ",100,100,37,100,37,37,37,16861000
"kehr70dt","blank1","blank2","no.skilled.attendant",,,,,,,,11132000
"kehr70dt","blank1","blank2","non.p20",100,100,60,100,60,60,60,44828000
"kehr70dt","blank1","blank2","p20",100,100,40,100,40,40,40,44828000
"kehr70dt","blank1","blank2","primary",100,100,63,100,63,63,63,16861000
"kehr70dt","blank1","blank2","rural",100,100,66,100,66,66,66,44828000
"kehr70dt","blank1","blank2","secondary",100,100,30,100,30,30,30,16861000
"kehr70dt","blank1","blank2","stunted",100,100,26,100,26,26,26,6927000
"kehr70dt","blank1","blank2","under5",100,100,14,100,14,14,14,44828000
"kehr70dt","blank1","blank2","urban",100,100,34,100,34,34,34,44828000
"kehr70dt","blank1","ext","female",100,25,51,25,13,51,13,44828000
"kehr70dt","blank1","ext","fifteento49",100,25,46,25,9,46,9,44828000
"kehr70dt","blank1","ext","fiveto14",100,25,29,25,9,29,9,44828000
"kehr70dt","blank1","ext","gt49",100,25,11,25,3,11,3,44828000
"kehr70dt","blank1","ext","higher",100,21,12,21,0,12,0,16861000
"kehr70dt","blank1","ext","male",100,25,49,25,12,49,12,44828000
"kehr70dt","blank1","ext","no.birth.reg",100,30,31,30,14,31,14,6927000
"kehr70dt","blank1","ext","no.educ",100,21,37,21,15,37,15,16861000
"kehr70dt","blank1","ext","no.skilled.attendant",,,,,,,,11132000
"kehr70dt","blank1","ext","non.p20",100,25,60,25,0,60,0,44828000
"kehr70dt","blank1","ext","p20",100,25,40,25,25,40,25,44828000
"kehr70dt","blank1","ext","primary",100,21,63,21,6,63,6,16861000
"kehr70dt","blank1","ext","rural",100,25,66,25,22,66,22,44828000
"kehr70dt","blank1","ext","secondary",100,21,30,21,1,30,1,16861000
"kehr70dt","blank1","ext","stunted",100,30,26,30,10,26,10,6927000
"kehr70dt","blank1","ext","under5",100,25,14,25,4,14,4,44828000
"kehr70dt","blank1","ext","urban",100,25,34,25,3,34,3,44828000
"kehr70dt","blank1","female","fifteento49",100,51,46,51,24,46,24,44828000
"kehr70dt","blank1","female","fiveto14",100,51,29,51,14,29,14,44828000
"kehr70dt","blank1","female","gt49",100,51,11,51,6,11,6,44828000
"kehr70dt","blank1","female","higher",100,52,12,52,5,12,5,16861000
"kehr70dt","blank1","female","male",100,51,49,51,0,49,0,44828000
"kehr70dt","blank1","female","no.birth.reg",100,49,31,49,15,31,15,6927000
"kehr70dt","blank1","female","no.educ",100,52,37,52,23,37,23,16861000
"kehr70dt","blank1","female","no.skilled.attendant",,,,,,,,11132000
"kehr70dt","blank1","female","non.p20",100,51,60,51,31,60,31,44828000
"kehr70dt","blank1","female","p20",100,51,40,51,20,40,20,44828000
"kehr70dt","blank1","female","primary",100,52,63,52,29,63,29,16861000
"kehr70dt","blank1","female","rural",100,51,66,51,34,66,34,44828000
"kehr70dt","blank1","female","secondary",100,52,30,52,12,30,12,16861000
"kehr70dt","blank1","female","stunted",100,49,26,49,11,26,11,6927000
"kehr70dt","blank1","female","under5",100,51,14,51,7,14,7,44828000
"kehr70dt","blank1","female","urban",100,51,34,51,17,34,17,44828000
"kehr70dt","blank1","fifteento49","fiveto14",100,46,29,46,0,29,0,44828000
"kehr70dt","blank1","fifteento49","gt49",100,46,11,46,0,11,0,44828000
"kehr70dt","blank1","fifteento49","higher",100,71,12,71,10,12,10,16861000
"kehr70dt","blank1","fifteento49","male",100,46,49,46,23,49,23,44828000
"kehr70dt","blank1","fifteento49","no.birth.reg",100,0,31,0,0,31,0,6927000
"kehr70dt","blank1","fifteento49","no.educ",100,71,37,71,21,37,21,16861000
"kehr70dt","blank1","fifteento49","no.skilled.attendant",,,,,,,,11132000
"kehr70dt","blank1","fifteento49","non.p20",100,46,60,46,31,60,31,44828000
"kehr70dt","blank1","fifteento49","p20",100,46,40,46,15,40,15,44828000
"kehr70dt","blank1","fifteento49","primary",100,71,63,71,51,63,51,16861000
"kehr70dt","blank1","fifteento49","rural",100,46,66,46,27,66,27,44828000
"kehr70dt","blank1","fifteento49","secondary",100,71,30,71,25,30,25,16861000
"kehr70dt","blank1","fifteento49","stunted",100,0,26,0,0,26,0,6927000
"kehr70dt","blank1","fifteento49","under5",100,46,14,46,0,14,0,44828000
"kehr70dt","blank1","fifteento49","urban",100,46,34,46,19,34,19,44828000
"kehr70dt","blank1","fiveto14","gt49",100,29,11,29,0,11,0,44828000
"kehr70dt","blank1","fiveto14","higher",100,0,12,0,0,12,0,16861000
"kehr70dt","blank1","fiveto14","male",100,29,49,29,14,49,14,44828000
"kehr70dt","blank1","fiveto14","no.birth.reg",100,0,31,0,0,31,0,6927000
"kehr70dt","blank1","fiveto14","no.educ",100,0,37,0,0,37,0,16861000
"kehr70dt","blank1","fiveto14","no.skilled.attendant",,,,,,,,11132000
"kehr70dt","blank1","fiveto14","non.p20",100,29,60,29,15,60,15,44828000
"kehr70dt","blank1","fiveto14","p20",100,29,40,29,13,40,13,44828000
"kehr70dt","blank1","fiveto14","primary",100,0,63,0,0,63,0,16861000
"kehr70dt","blank1","fiveto14","rural",100,29,66,29,21,66,21,44828000
"kehr70dt","blank1","fiveto14","secondary",100,0,30,0,0,30,0,16861000
"kehr70dt","blank1","fiveto14","stunted",100,0,26,0,0,26,0,6927000
"kehr70dt","blank1","fiveto14","under5",100,29,14,29,0,14,0,44828000
"kehr70dt","blank1","fiveto14","urban",100,29,34,29,8,34,8,44828000
"kehr70dt","blank1","gt49","higher",100,29,12,29,2,12,2,16861000
"kehr70dt","blank1","gt49","male",100,11,49,11,5,49,5,44828000
"kehr70dt","blank1","gt49","no.birth.reg",100,0,31,0,0,31,0,6927000
"kehr70dt","blank1","gt49","no.educ",100,29,37,29,16,37,16,16861000
"kehr70dt","blank1","gt49","no.skilled.attendant",,,,,,,,11132000
"kehr70dt","blank1","gt49","non.p20",100,11,60,11,6,60,6,44828000
"kehr70dt","blank1","gt49","p20",100,11,40,11,5,40,5,44828000
"kehr70dt","blank1","gt49","primary",100,29,63,29,12,63,12,16861000
"kehr70dt","blank1","gt49","rural",100,11,66,11,8,66,8,44828000
"kehr70dt","blank1","gt49","secondary",100,29,30,29,5,30,5,16861000
"kehr70dt","blank1","gt49","stunted",100,0,26,0,0,26,0,6927000
"kehr70dt","blank1","gt49","under5",100,11,14,11,0,14,0,44828000
"kehr70dt","blank1","gt49","urban",100,11,34,11,3,34,3,44828000
"kehr70dt","blank1","higher","male",100,12,48,12,7,48,7,16861000
"kehr70dt","blank1","higher","no.birth.reg",,,,,,,,16861000
"kehr70dt","blank1","higher","no.educ",100,12,37,12,0,37,0,16861000
"kehr70dt","blank1","higher","no.skilled.attendant",,,,,,,,6619000
"kehr70dt","blank1","higher","non.p20",100,12,65,12,12,65,12,16861000
"kehr70dt","blank1","higher","p20",100,12,35,12,1,35,1,16861000
"kehr70dt","blank1","higher","primary",100,12,63,12,12,63,12,16861000
"kehr70dt","blank1","higher","rural",100,12,61,12,4,61,4,16861000
"kehr70dt","blank1","higher","secondary",100,12,30,12,12,30,12,16861000
"kehr70dt","blank1","higher","stunted",,,,,,,,16861000
"kehr70dt","blank1","higher","under5",100,12,0,12,0,0,0,16861000
"kehr70dt","blank1","higher","urban",100,12,39,12,8,39,8,16861000
"kehr70dt","blank1","male","no.birth.reg",100,51,31,51,15,31,15,6927000
"kehr70dt","blank1","male","no.educ",100,48,37,48,14,37,14,16861000
"kehr70dt","blank1","male","no.skilled.attendant",,,,,,,,11132000
"kehr70dt","blank1","male","non.p20",100,49,60,49,30,60,30,44828000
"kehr70dt","blank1","male","p20",100,49,40,49,20,40,20,44828000
"kehr70dt","blank1","male","primary",100,48,63,48,34,63,34,16861000
"kehr70dt","blank1","male","rural",100,49,66,49,32,66,32,44828000
"kehr70dt","blank1","male","secondary",100,48,30,48,17,30,17,16861000
