"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"khhr72dt","blank1","blank2","ext",100,100,2,100,2,2,2,15023000
"khhr72dt","blank1","blank2","female",100,100,52,100,52,52,52,15023000
"khhr72dt","blank1","blank2","fifteento49",100,100,50,100,50,50,50,15023000
"khhr72dt","blank1","blank2","fiveto14",100,100,23,100,23,23,23,15023000
"khhr72dt","blank1","blank2","gt49",100,100,17,100,17,17,17,15023000
"khhr72dt","blank1","blank2","higher",100,100,4,100,4,4,4,7074000
"khhr72dt","blank1","blank2","male",100,100,48,100,48,48,48,15023000
"khhr72dt","blank1","blank2","no.birth.reg",100,100,27,100,27,27,27,1757000
"khhr72dt","blank1","blank2","no.educ",100,100,63,100,63,63,63,7074000
"khhr72dt","blank1","blank2","no.skilled.attendant",100,100,9,100,9,9,9,4137000
"khhr72dt","blank1","blank2","non.p20",100,100,92,100,92,92,92,15023000
"khhr72dt","blank1","blank2","p20",100,100,8,100,8,8,8,15023000
"khhr72dt","blank1","blank2","primary",100,100,37,100,37,37,37,7074000
"khhr72dt","blank1","blank2","rural",100,100,84,100,84,84,84,15023000
"khhr72dt","blank1","blank2","secondary",100,100,8,100,8,8,8,7074000
"khhr72dt","blank1","blank2","stunted",100,100,33,100,33,33,33,1757000
"khhr72dt","blank1","blank2","under5",100,100,11,100,11,11,11,15023000
"khhr72dt","blank1","blank2","urban",100,100,16,100,16,16,16,15023000
"khhr72dt","blank1","ext","female",100,2,52,2,1,52,1,15023000
"khhr72dt","blank1","ext","fifteento49",100,2,50,2,1,50,1,15023000
"khhr72dt","blank1","ext","fiveto14",100,2,23,2,0,23,0,15023000
"khhr72dt","blank1","ext","gt49",100,2,17,2,0,17,0,15023000
"khhr72dt","blank1","ext","higher",100,1,4,1,0,4,0,7074000
"khhr72dt","blank1","ext","male",100,2,48,2,1,48,1,15023000
"khhr72dt","blank1","ext","no.birth.reg",100,2,27,2,1,27,1,1757000
"khhr72dt","blank1","ext","no.educ",100,1,63,1,1,63,1,7074000
"khhr72dt","blank1","ext","no.skilled.attendant",100,2,9,2,1,9,1,4137000
"khhr72dt","blank1","ext","non.p20",100,2,92,2,0,92,0,15023000
"khhr72dt","blank1","ext","p20",100,2,8,2,2,8,2,15023000
"khhr72dt","blank1","ext","primary",100,1,37,1,0,37,0,7074000
"khhr72dt","blank1","ext","rural",100,2,84,2,2,84,2,15023000
"khhr72dt","blank1","ext","secondary",100,1,8,1,0,8,0,7074000
"khhr72dt","blank1","ext","stunted",100,2,33,2,1,33,1,1757000
"khhr72dt","blank1","ext","under5",100,2,11,2,0,11,0,15023000
"khhr72dt","blank1","ext","urban",100,2,16,2,0,16,0,15023000
"khhr72dt","blank1","female","fifteento49",100,52,50,52,25,50,25,15023000
"khhr72dt","blank1","female","fiveto14",100,52,23,52,11,23,11,15023000
"khhr72dt","blank1","female","gt49",100,52,17,52,10,17,10,15023000
"khhr72dt","blank1","female","higher",100,54,4,54,1,4,1,7074000
"khhr72dt","blank1","female","male",100,52,48,52,0,48,0,15023000
"khhr72dt","blank1","female","no.birth.reg",100,49,27,49,13,27,13,1757000
"khhr72dt","blank1","female","no.educ",100,54,63,54,40,63,40,7074000
"khhr72dt","blank1","female","no.skilled.attendant",100,100,9,100,9,9,9,4137000
"khhr72dt","blank1","female","non.p20",100,52,92,52,47,92,47,15023000
"khhr72dt","blank1","female","p20",100,52,8,52,4,8,4,15023000
"khhr72dt","blank1","female","primary",100,54,37,54,14,37,14,7074000
