"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Kazakhstan_MICS5_Datasets","blank1","blank2","ext",100,100,0,100,0,0,0,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","female",100,100,51,100,51,51,51,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","fifteento49",100,100,47,100,47,47,47,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","fiveto14",100,100,17,100,17,17,17,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","gt49",100,100,26,100,26,26,26,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","higher",100,100,89,100,89,89,89,9924000
"Kazakhstan_MICS5_Datasets","blank1","blank2","male",100,100,49,100,49,49,49,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","no.birth.reg",100,100,0,100,0,0,0,1893000
"Kazakhstan_MICS5_Datasets","blank1","blank2","no.educ",100,100,2,100,2,2,2,9924000
"Kazakhstan_MICS5_Datasets","blank1","blank2","no.skilled.attendant",100,100,3,100,3,3,3,4620000
"Kazakhstan_MICS5_Datasets","blank1","blank2","non.p20",100,100,100,100,100,100,100,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","p20",100,100,0,100,0,0,0,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","primary",100,100,98,100,98,98,98,9924000
"Kazakhstan_MICS5_Datasets","blank1","blank2","rural",100,100,47,100,47,47,47,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","secondary",100,100,98,100,98,98,98,9924000
"Kazakhstan_MICS5_Datasets","blank1","blank2","stunted",100,100,8,100,8,8,8,1893000
"Kazakhstan_MICS5_Datasets","blank1","blank2","under5",100,100,10,100,10,10,10,17209000
"Kazakhstan_MICS5_Datasets","blank1","blank2","urban",100,100,53,100,53,53,53,17209000
"Kazakhstan_MICS5_Datasets","blank1","ext","female",100,0,51,0,0,51,0,17209000
"Kazakhstan_MICS5_Datasets","blank1","ext","fifteento49",100,0,47,0,0,47,0,17209000
"Kazakhstan_MICS5_Datasets","blank1","ext","fiveto14",100,0,17,0,0,17,0,17209000
"Kazakhstan_MICS5_Datasets","blank1","ext","gt49",100,0,26,0,0,26,0,17209000
"Kazakhstan_MICS5_Datasets","blank1","ext","higher",100,0,89,0,0,89,0,9924000
"Kazakhstan_MICS5_Datasets","blank1","ext","male",100,0,49,0,0,49,0,17209000
"Kazakhstan_MICS5_Datasets","blank1","ext","no.birth.reg",100,0,0,0,0,0,0,1893000
"Kazakhstan_MICS5_Datasets","blank1","ext","no.educ",100,0,2,0,0,2,0,9924000
"Kazakhstan_MICS5_Datasets","blank1","ext","no.skilled.attendant",100,0,3,0,0,3,0,4620000
"Kazakhstan_MICS5_Datasets","blank1","ext","non.p20",100,0,100,0,0,100,0,17209000
