"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Sri Lanka","blank1","blank2","ext",100,100,2,100,2,2,2,20580000
"Sri Lanka","blank1","blank2","female",100,100,,100,,,,20580000
"Sri Lanka","blank1","blank2","fifteento49",100,100,,100,,,,20580000
"Sri Lanka","blank1","blank2","fiveto14",100,100,,100,,,,20580000
"Sri Lanka","blank1","blank2","gt49",100,100,,100,,,,20580000
"Sri Lanka","blank1","blank2","higher",,,,,,,,20580000
"Sri Lanka","blank1","blank2","male",100,100,,100,,,,20580000
"Sri Lanka","blank1","blank2","no.birth.reg",,,,,,,,20580000
"Sri Lanka","blank1","blank2","no.educ",,,,,,,,20580000
"Sri Lanka","blank1","blank2","no.skilled.attendant",,,,,,,,20580000
"Sri Lanka","blank1","blank2","non.p20",100,100,93,100,93,93,93,20580000
"Sri Lanka","blank1","blank2","p20",100,100,7,100,7,7,7,20580000
"Sri Lanka","blank1","blank2","primary",,,,,,,,20580000
"Sri Lanka","blank1","blank2","rural",100,100,,100,,,,20580000
"Sri Lanka","blank1","blank2","secondary",,,,,,,,20580000
"Sri Lanka","blank1","blank2","stunted",,,,,,,,20580000
"Sri Lanka","blank1","blank2","under5",100,100,,100,,,,20580000
"Sri Lanka","blank1","blank2","urban",100,100,,100,,,,20580000
"Sri Lanka","blank1","ext","female",100,2,,2,,,,20580000
"Sri Lanka","blank1","ext","fifteento49",100,2,,2,,,,20580000
"Sri Lanka","blank1","ext","fiveto14",100,2,,2,,,,20580000
"Sri Lanka","blank1","ext","gt49",100,2,,2,,,,20580000
"Sri Lanka","blank1","ext","higher",,,,,,,,20580000
"Sri Lanka","blank1","ext","male",100,2,,2,,,,20580000
"Sri Lanka","blank1","ext","no.birth.reg",,,,,,,,20580000
"Sri Lanka","blank1","ext","no.educ",,,,,,,,20580000
"Sri Lanka","blank1","ext","no.skilled.attendant",,,,,,,,20580000
"Sri Lanka","blank1","ext","non.p20",100,2,93,2,0,93,0,20580000
"Sri Lanka","blank1","ext","p20",100,2,7,2,2,7,2,20580000
"Sri Lanka","blank1","ext","primary",,,,,,,,20580000
