"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"lbhr6adt","blank1","blank2","ext",100,100,54,100,54,54,54,4288000
"lbhr6adt","blank1","blank2","female",100,100,50,100,50,50,50,4288000
"lbhr6adt","blank1","blank2","fifteento49",100,100,44,100,44,44,44,4288000
"lbhr6adt","blank1","blank2","fiveto14",100,100,29,100,29,29,29,4288000
"lbhr6adt","blank1","blank2","gt49",100,100,11,100,11,11,11,4288000
"lbhr6adt","blank1","blank2","higher",100,100,7,100,7,7,7,1632000
"lbhr6adt","blank1","blank2","male",100,100,50,100,50,50,50,4288000
"lbhr6adt","blank1","blank2","no.birth.reg",100,100,75,100,75,75,75,687000
"lbhr6adt","blank1","blank2","no.educ",100,100,57,100,57,57,57,1632000
"lbhr6adt","blank1","blank2","no.skilled.attendant",100,100,32,100,32,32,32,1000000
"lbhr6adt","blank1","blank2","non.p20",100,100,27,100,27,27,27,4288000
"lbhr6adt","blank1","blank2","p20",100,100,73,100,73,73,73,4288000
"lbhr6adt","blank1","blank2","primary",100,100,43,100,43,43,43,1632000
"lbhr6adt","blank1","blank2","rural",100,100,44,100,44,44,44,4288000
"lbhr6adt","blank1","blank2","secondary",100,100,21,100,21,21,21,1632000
"lbhr6adt","blank1","blank2","stunted",100,100,32,100,32,32,32,687000
"lbhr6adt","blank1","blank2","under5",100,100,16,100,16,16,16,4288000
"lbhr6adt","blank1","blank2","urban",100,100,56,100,56,56,56,4288000
"lbhr6adt","blank1","ext","female",100,54,50,54,27,50,27,4288000
"lbhr6adt","blank1","ext","fifteento49",100,54,44,54,21,44,21,4288000
"lbhr6adt","blank1","ext","fiveto14",100,54,29,54,16,29,16,4288000
"lbhr6adt","blank1","ext","gt49",100,54,11,54,7,11,7,4288000
"lbhr6adt","blank1","ext","higher",100,56,7,56,0,7,0,1632000
"lbhr6adt","blank1","ext","male",100,54,50,54,27,50,27,4288000
"lbhr6adt","blank1","ext","no.birth.reg",100,61,75,61,48,75,48,687000
"lbhr6adt","blank1","ext","no.educ",100,56,57,56,42,57,42,1632000
"lbhr6adt","blank1","ext","no.skilled.attendant",100,57,32,57,25,32,25,1000000
"lbhr6adt","blank1","ext","non.p20",100,54,27,54,0,27,0,4288000
"lbhr6adt","blank1","ext","p20",100,54,73,54,54,73,54,4288000
"lbhr6adt","blank1","ext","primary",100,56,43,56,14,43,14,1632000
"lbhr6adt","blank1","ext","rural",100,54,44,54,39,44,39,4288000
"lbhr6adt","blank1","ext","secondary",100,56,21,56,4,21,4,1632000
"lbhr6adt","blank1","ext","stunted",100,61,32,61,15,32,15,687000
"lbhr6adt","blank1","ext","under5",100,54,16,54,10,16,10,4288000
"lbhr6adt","blank1","ext","urban",100,54,56,54,15,56,15,4288000
"lbhr6adt","blank1","female","fifteento49",100,50,44,50,22,44,22,4288000
"lbhr6adt","blank1","female","fiveto14",100,50,29,50,14,29,14,4288000
"lbhr6adt","blank1","female","gt49",100,50,11,50,6,11,6,4288000
"lbhr6adt","blank1","female","higher",100,51,7,51,2,7,2,1632000
"lbhr6adt","blank1","female","male",100,50,50,50,0,50,0,4288000
"lbhr6adt","blank1","female","no.birth.reg",100,48,75,48,36,75,36,687000
"lbhr6adt","blank1","female","no.educ",100,51,57,51,37,57,37,1632000
"lbhr6adt","blank1","female","no.skilled.attendant",100,100,32,100,32,32,32,1000000
"lbhr6adt","blank1","female","non.p20",100,50,27,50,14,27,14,4288000
"lbhr6adt","blank1","female","p20",100,50,73,50,36,73,36,4288000
"lbhr6adt","blank1","female","primary",100,51,43,51,14,43,14,1632000
"lbhr6adt","blank1","female","rural",100,50,44,50,21,44,21,4288000
