"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"mdhr71dt","blank1","blank2","ext",100,100,78,100,78,78,78,22960000
"mdhr71dt","blank1","blank2","female",100,100,50,100,50,50,50,22960000
"mdhr71dt","blank1","blank2","fifteento49",100,100,45,100,45,45,45,22960000
"mdhr71dt","blank1","blank2","fiveto14",100,100,28,100,28,28,28,22960000
"mdhr71dt","blank1","blank2","gt49",100,100,11,100,11,11,11,22960000
"mdhr71dt","blank1","blank2","higher",100,100,,100,,,,8589000
"mdhr71dt","blank1","blank2","male",100,100,50,100,50,50,50,22960000
"mdhr71dt","blank1","blank2","no.birth.reg",100,100,,100,,,,3579000
"mdhr71dt","blank1","blank2","no.educ",100,100,,100,,,,8589000
"mdhr71dt","blank1","blank2","no.skilled.attendant",,,,,,,,5505000
"mdhr71dt","blank1","blank2","non.p20",100,100,13,100,13,13,13,22960000
"mdhr71dt","blank1","blank2","p20",100,100,87,100,87,87,87,22960000
"mdhr71dt","blank1","blank2","primary",100,100,,100,,,,8589000
"mdhr71dt","blank1","blank2","rural",100,100,89,100,89,89,89,22960000
"mdhr71dt","blank1","blank2","secondary",100,100,,100,,,,8589000
"mdhr71dt","blank1","blank2","stunted",100,100,,100,,,,3579000
"mdhr71dt","blank1","blank2","under5",100,100,16,100,16,16,16,22960000
"mdhr71dt","blank1","blank2","urban",100,100,11,100,11,11,11,22960000
"mdhr71dt","blank1","ext","female",100,78,50,78,39,50,39,22960000
"mdhr71dt","blank1","ext","fifteento49",100,78,45,78,33,45,33,22960000
"mdhr71dt","blank1","ext","fiveto14",100,78,28,78,23,28,23,22960000
"mdhr71dt","blank1","ext","gt49",100,78,11,78,9,11,9,22960000
"mdhr71dt","blank1","ext","higher",100,75,,75,0,,0,8589000
"mdhr71dt","blank1","ext","male",100,78,50,78,39,50,39,22960000
"mdhr71dt","blank1","ext","no.birth.reg",100,83,,83,0,,0,3579000
"mdhr71dt","blank1","ext","no.educ",100,75,,75,0,,0,8589000
"mdhr71dt","blank1","ext","no.skilled.attendant",,,,,,,,5505000
"mdhr71dt","blank1","ext","non.p20",100,78,13,78,0,13,0,22960000
"mdhr71dt","blank1","ext","p20",100,78,87,78,78,87,78,22960000
"mdhr71dt","blank1","ext","primary",100,75,,75,0,,0,8589000
"mdhr71dt","blank1","ext","rural",100,78,89,78,76,89,76,22960000
"mdhr71dt","blank1","ext","secondary",100,75,,75,0,,0,8589000
"mdhr71dt","blank1","ext","stunted",100,83,,83,0,,0,3579000
"mdhr71dt","blank1","ext","under5",100,78,16,78,13,16,13,22960000
"mdhr71dt","blank1","ext","urban",100,78,11,78,3,11,3,22960000
"mdhr71dt","blank1","female","fifteento49",100,50,45,50,23,45,23,22960000
"mdhr71dt","blank1","female","fiveto14",100,50,28,50,14,28,14,22960000
"mdhr71dt","blank1","female","gt49",100,50,11,50,6,11,6,22960000
"mdhr71dt","blank1","female","higher",100,51,,51,0,,0,8589000
"mdhr71dt","blank1","female","male",100,50,50,50,0,50,0,22960000
"mdhr71dt","blank1","female","no.birth.reg",100,49,,49,0,,0,3579000
"mdhr71dt","blank1","female","no.educ",100,51,,51,0,,0,8589000
"mdhr71dt","blank1","female","no.skilled.attendant",,,,,,,,5505000
"mdhr71dt","blank1","female","non.p20",100,50,13,50,7,13,7,22960000
"mdhr71dt","blank1","female","p20",100,50,87,50,43,87,43,22960000
"mdhr71dt","blank1","female","primary",100,51,,51,0,,0,8589000
"mdhr71dt","blank1","female","rural",100,50,89,50,45,89,45,22960000
"mdhr71dt","blank1","female","secondary",100,51,,51,0,,0,8589000
"mdhr71dt","blank1","female","stunted",100,49,,49,0,,0,3579000
"mdhr71dt","blank1","female","under5",100,50,16,50,8,16,8,22960000
"mdhr71dt","blank1","female","urban",100,50,11,50,6,11,6,22960000
"mdhr71dt","blank1","fifteento49","fiveto14",100,45,28,45,0,28,0,22960000
"mdhr71dt","blank1","fifteento49","gt49",100,45,11,45,0,11,0,22960000
"mdhr71dt","blank1","fifteento49","higher",100,70,,70,0,,0,8589000
"mdhr71dt","blank1","fifteento49","male",100,45,50,45,22,50,22,22960000
"mdhr71dt","blank1","fifteento49","no.birth.reg",100,0,,0,0,,0,3579000
"mdhr71dt","blank1","fifteento49","no.educ",100,70,,70,0,,0,8589000
"mdhr71dt","blank1","fifteento49","no.skilled.attendant",,,,,,,,5505000
"mdhr71dt","blank1","fifteento49","non.p20",100,45,13,45,7,13,7,22960000
"mdhr71dt","blank1","fifteento49","p20",100,45,87,45,37,87,37,22960000
"mdhr71dt","blank1","fifteento49","primary",100,70,,70,0,,0,8589000
"mdhr71dt","blank1","fifteento49","rural",100,45,89,45,39,89,39,22960000
"mdhr71dt","blank1","fifteento49","secondary",100,70,,70,0,,0,8589000
"mdhr71dt","blank1","fifteento49","stunted",100,0,,0,0,,0,3579000
"mdhr71dt","blank1","fifteento49","under5",100,45,16,45,0,16,0,22960000
"mdhr71dt","blank1","fifteento49","urban",100,45,11,45,5,11,5,22960000
"mdhr71dt","blank1","fiveto14","gt49",100,28,11,28,0,11,0,22960000
"mdhr71dt","blank1","fiveto14","higher",100,0,,0,0,,0,8589000
"mdhr71dt","blank1","fiveto14","male",100,28,50,28,14,50,14,22960000
"mdhr71dt","blank1","fiveto14","no.birth.reg",100,0,,0,0,,0,3579000
"mdhr71dt","blank1","fiveto14","no.educ",100,0,,0,0,,0,8589000
"mdhr71dt","blank1","fiveto14","no.skilled.attendant",,,,,,,,5505000
"mdhr71dt","blank1","fiveto14","non.p20",100,28,13,28,3,13,3,22960000
"mdhr71dt","blank1","fiveto14","p20",100,28,87,28,25,87,25,22960000
"mdhr71dt","blank1","fiveto14","primary",100,0,,0,0,,0,8589000
"mdhr71dt","blank1","fiveto14","rural",100,28,89,28,26,89,26,22960000
"mdhr71dt","blank1","fiveto14","secondary",100,0,,0,0,,0,8589000
"mdhr71dt","blank1","fiveto14","stunted",100,0,,0,0,,0,3579000
"mdhr71dt","blank1","fiveto14","under5",100,28,16,28,0,16,0,22960000
"mdhr71dt","blank1","fiveto14","urban",100,28,11,28,3,11,3,22960000
"mdhr71dt","blank1","gt49","higher",100,30,,30,0,,0,8589000
"mdhr71dt","blank1","gt49","male",100,11,50,11,5,50,5,22960000
"mdhr71dt","blank1","gt49","no.birth.reg",100,0,,0,0,,0,3579000
"mdhr71dt","blank1","gt49","no.educ",100,30,,30,0,,0,8589000
"mdhr71dt","blank1","gt49","no.skilled.attendant",,,,,,,,5505000
"mdhr71dt","blank1","gt49","non.p20",100,11,13,11,2,13,2,22960000
"mdhr71dt","blank1","gt49","p20",100,11,87,11,10,87,10,22960000
"mdhr71dt","blank1","gt49","primary",100,30,,30,0,,0,8589000
"mdhr71dt","blank1","gt49","rural",100,11,89,11,10,89,10,22960000
"mdhr71dt","blank1","gt49","secondary",100,30,,30,0,,0,8589000
"mdhr71dt","blank1","gt49","stunted",100,0,,0,0,,0,3579000
"mdhr71dt","blank1","gt49","under5",100,11,16,11,0,16,0,22960000
"mdhr71dt","blank1","gt49","urban",100,11,11,11,1,11,1,22960000
"mdhr71dt","blank1","higher","male",100,,49,,0,49,0,8589000
"mdhr71dt","blank1","higher","no.birth.reg",,,,,,,,8589000
"mdhr71dt","blank1","higher","no.educ",100,,,,,,,8589000
"mdhr71dt","blank1","higher","no.skilled.attendant",,,,,,,,3185000
"mdhr71dt","blank1","higher","non.p20",100,,16,,0,16,0,8589000
"mdhr71dt","blank1","higher","p20",100,,84,,0,84,0,8589000
"mdhr71dt","blank1","higher","primary",100,,,,,,,8589000
"mdhr71dt","blank1","higher","rural",100,,88,,0,88,0,8589000
"mdhr71dt","blank1","higher","secondary",100,,,,,,,8589000
"mdhr71dt","blank1","higher","stunted",,,,,,,,8589000
"mdhr71dt","blank1","higher","under5",100,,0,,0,0,0,8589000
"mdhr71dt","blank1","higher","urban",100,,12,,0,12,0,8589000
"mdhr71dt","blank1","male","no.birth.reg",100,51,,51,0,,0,3579000
"mdhr71dt","blank1","male","no.educ",100,49,,49,0,,0,8589000
"mdhr71dt","blank1","male","no.skilled.attendant",,,,,,,,5505000
"mdhr71dt","blank1","male","non.p20",100,50,13,50,6,13,6,22960000
"mdhr71dt","blank1","male","p20",100,50,87,50,43,87,43,22960000
"mdhr71dt","blank1","male","primary",100,49,,49,0,,0,8589000
"mdhr71dt","blank1","male","rural",100,50,89,50,45,89,45,22960000
"mdhr71dt","blank1","male","secondary",100,49,,49,0,,0,8589000
"mdhr71dt","blank1","male","stunted",100,51,,51,0,,0,3579000
"mdhr71dt","blank1","male","under5",100,50,16,50,8,16,8,22960000
"mdhr71dt","blank1","male","urban",100,50,11,50,5,11,5,22960000
"mdhr71dt","blank1","no.birth.reg","no.educ",,,,,,,,8589000
"mdhr71dt","blank1","no.birth.reg","no.skilled.attendant",,,,,,,,3579000
"mdhr71dt","blank1","no.birth.reg","non.p20",100,,10,,0,10,0,3579000
"mdhr71dt","blank1","no.birth.reg","p20",100,,90,,0,90,0,3579000
"mdhr71dt","blank1","no.birth.reg","primary",,,,,,,,8589000
"mdhr71dt","blank1","no.birth.reg","rural",100,,92,,0,92,0,3579000
"mdhr71dt","blank1","no.birth.reg","secondary",,,,,,,,8589000
"mdhr71dt","blank1","no.birth.reg","stunted",100,,,,,,,3579000
"mdhr71dt","blank1","no.birth.reg","under5",100,,100,,,100,,3579000
"mdhr71dt","blank1","no.birth.reg","urban",100,,8,,0,8,0,3579000
"mdhr71dt","blank1","no.educ","no.skilled.attendant",,,,,,,,3185000
"mdhr71dt","blank1","no.educ","non.p20",100,,16,,0,16,0,8589000
"mdhr71dt","blank1","no.educ","p20",100,,84,,0,84,0,8589000
"mdhr71dt","blank1","no.educ","primary",100,,,,,,,8589000
"mdhr71dt","blank1","no.educ","rural",100,,88,,0,88,0,8589000
"mdhr71dt","blank1","no.educ","secondary",100,,,,,,,8589000
"mdhr71dt","blank1","no.educ","stunted",,,,,,,,8589000
"mdhr71dt","blank1","no.educ","under5",100,,0,,0,0,0,8589000
"mdhr71dt","blank1","no.educ","urban",100,,12,,0,12,0,8589000
"mdhr71dt","blank1","no.skilled.attendant","non.p20",,,,,,,,5505000
"mdhr71dt","blank1","no.skilled.attendant","p20",,,,,,,,5505000
"mdhr71dt","blank1","no.skilled.attendant","primary",,,,,,,,3185000
"mdhr71dt","blank1","no.skilled.attendant","rural",,,,,,,,5505000
"mdhr71dt","blank1","no.skilled.attendant","secondary",,,,,,,,3185000
"mdhr71dt","blank1","no.skilled.attendant","stunted",,,,,,,,3579000
"mdhr71dt","blank1","no.skilled.attendant","under5",,,,,,,,5505000
"mdhr71dt","blank1","no.skilled.attendant","urban",,,,,,,,5505000
"mdhr71dt","blank1","non.p20","p20",100,13,87,13,0,87,0,22960000
"mdhr71dt","blank1","non.p20","primary",100,16,,16,0,,0,8589000
"mdhr71dt","blank1","non.p20","rural",100,13,89,13,7,89,7,22960000
"mdhr71dt","blank1","non.p20","secondary",100,16,,16,0,,0,8589000
"mdhr71dt","blank1","non.p20","stunted",100,10,,10,0,,0,3579000
"mdhr71dt","blank1","non.p20","under5",100,13,16,13,2,16,2,22960000
"mdhr71dt","blank1","non.p20","urban",100,13,11,13,6,11,6,22960000
"mdhr71dt","blank1","p20","primary",100,84,,84,0,,0,8589000
"mdhr71dt","blank1","p20","rural",100,87,89,87,82,89,82,22960000
"mdhr71dt","blank1","p20","secondary",100,84,,84,0,,0,8589000
"mdhr71dt","blank1","p20","stunted",100,90,,90,0,,0,3579000
"mdhr71dt","blank1","p20","under5",100,87,16,87,14,16,14,22960000
"mdhr71dt","blank1","p20","urban",100,87,11,87,5,11,5,22960000
"mdhr71dt","blank1","primary","rural",100,,88,,0,88,0,8589000
"mdhr71dt","blank1","primary","secondary",100,,,,,,,8589000
"mdhr71dt","blank1","primary","stunted",,,,,,,,8589000
"mdhr71dt","blank1","primary","under5",100,,0,,0,0,0,8589000
"mdhr71dt","blank1","primary","urban",100,,12,,0,12,0,8589000
"mdhr71dt","blank1","rural","secondary",100,88,,88,0,,0,8589000
"mdhr71dt","blank1","rural","stunted",100,92,,92,0,,0,3579000
"mdhr71dt","blank1","rural","under5",100,89,16,89,15,16,15,22960000
"mdhr71dt","blank1","rural","urban",100,89,11,89,0,11,0,22960000
"mdhr71dt","blank1","secondary","stunted",,,,,,,,8589000
"mdhr71dt","blank1","secondary","under5",100,,0,,0,0,0,8589000
"mdhr71dt","blank1","secondary","urban",100,,12,,0,12,0,8589000
"mdhr71dt","blank1","stunted","under5",100,,100,,,100,,3579000
"mdhr71dt","blank1","stunted","urban",100,,8,,0,8,0,3579000
"mdhr71dt","blank1","under5","urban",100,16,11,16,1,11,1,22960000
"mdhr71dt","blank2","ext","female",100,78,50,78,39,50,39,22960000
"mdhr71dt","blank2","ext","fifteento49",100,78,45,78,33,45,33,22960000
"mdhr71dt","blank2","ext","fiveto14",100,78,28,78,23,28,23,22960000
"mdhr71dt","blank2","ext","gt49",100,78,11,78,9,11,9,22960000
"mdhr71dt","blank2","ext","higher",100,75,,75,0,,0,8589000
