"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"mmhr71dt","blank1","blank2","ext",100,100,,100,,,,51450000
"mmhr71dt","blank1","blank2","female",100,100,53,100,53,53,53,51450000
"mmhr71dt","blank1","blank2","fifteento49",100,100,49,100,49,49,49,51450000
"mmhr71dt","blank1","blank2","fiveto14",100,100,20,100,20,20,20,51450000
"mmhr71dt","blank1","blank2","gt49",100,100,22,100,22,22,22,51450000
"mmhr71dt","blank1","blank2","higher",100,100,7,100,7,7,7,27513000
"mmhr71dt","blank1","blank2","male",100,100,47,100,47,47,47,51450000
"mmhr71dt","blank1","blank2","no.birth.reg",100,100,19,100,19,19,19,4616000
"mmhr71dt","blank1","blank2","no.educ",100,100,45,100,45,45,45,27513000
"mmhr71dt","blank1","blank2","no.skilled.attendant",100,100,29,100,29,29,29,14034000
"mmhr71dt","blank1","blank2","non.p20",100,100,,100,,,,51450000
"mmhr71dt","blank1","blank2","p20",100,100,,100,,,,51450000
"mmhr71dt","blank1","blank2","primary",100,100,55,100,55,55,55,27513000
"mmhr71dt","blank1","blank2","rural",100,100,73,100,73,73,73,51450000
"mmhr71dt","blank1","blank2","secondary",100,100,10,100,10,10,10,27513000
"mmhr71dt","blank1","blank2","stunted",100,100,29,100,29,29,29,4616000
"mmhr71dt","blank1","blank2","under5",100,100,9,100,9,9,9,51450000
"mmhr71dt","blank1","blank2","urban",100,100,27,100,27,27,27,51450000
"mmhr71dt","blank1","ext","female",100,,53,,0,53,0,51450000
"mmhr71dt","blank1","ext","fifteento49",100,,49,,0,49,0,51450000
"mmhr71dt","blank1","ext","fiveto14",100,,20,,0,20,0,51450000
"mmhr71dt","blank1","ext","gt49",100,,22,,0,22,0,51450000
"mmhr71dt","blank1","ext","higher",100,,7,,0,7,0,27513000
"mmhr71dt","blank1","ext","male",100,,47,,0,47,0,51450000
"mmhr71dt","blank1","ext","no.birth.reg",100,,19,,0,19,0,4616000
"mmhr71dt","blank1","ext","no.educ",100,,45,,0,45,0,27513000
"mmhr71dt","blank1","ext","no.skilled.attendant",100,,29,,0,29,0,14034000
"mmhr71dt","blank1","ext","non.p20",100,,,,,,,51450000
"mmhr71dt","blank1","ext","p20",100,,,,,,,51450000
"mmhr71dt","blank1","ext","primary",100,,55,,0,55,0,27513000
"mmhr71dt","blank1","ext","rural",100,,73,,0,73,0,51450000
"mmhr71dt","blank1","ext","secondary",100,,10,,0,10,0,27513000
"mmhr71dt","blank1","ext","stunted",100,,29,,0,29,0,4616000
"mmhr71dt","blank1","ext","under5",100,,9,,0,9,0,51450000
"mmhr71dt","blank1","ext","urban",100,,27,,0,27,0,51450000
"mmhr71dt","blank1","female","fifteento49",100,53,49,53,26,49,26,51450000
"mmhr71dt","blank1","female","fiveto14",100,53,20,53,10,20,10,51450000
"mmhr71dt","blank1","female","gt49",100,53,22,53,13,22,13,51450000
"mmhr71dt","blank1","female","higher",100,55,7,55,4,7,4,27513000
"mmhr71dt","blank1","female","male",100,53,47,53,0,47,0,51450000
"mmhr71dt","blank1","female","no.birth.reg",100,48,19,48,9,19,9,4616000
"mmhr71dt","blank1","female","no.educ",100,55,45,55,27,45,27,27513000
"mmhr71dt","blank1","female","no.skilled.attendant",100,100,29,100,29,29,29,14034000
"mmhr71dt","blank1","female","non.p20",100,53,,53,0,,0,51450000
"mmhr71dt","blank1","female","p20",100,53,,53,0,,0,51450000
"mmhr71dt","blank1","female","primary",100,55,55,55,28,55,28,27513000
"mmhr71dt","blank1","female","rural",100,53,73,53,39,73,39,51450000
"mmhr71dt","blank1","female","secondary",100,55,10,55,6,10,6,27513000
"mmhr71dt","blank1","female","stunted",100,48,29,48,12,29,12,4616000
"mmhr71dt","blank1","female","under5",100,53,9,53,4,9,4,51450000
"mmhr71dt","blank1","female","urban",100,53,27,53,15,27,15,51450000
"mmhr71dt","blank1","fifteento49","fiveto14",100,49,20,49,0,20,0,51450000
"mmhr71dt","blank1","fifteento49","gt49",100,49,22,49,0,22,0,51450000
"mmhr71dt","blank1","fifteento49","higher",100,61,7,61,6,7,6,27513000
"mmhr71dt","blank1","fifteento49","male",100,49,47,49,23,47,23,51450000
"mmhr71dt","blank1","fifteento49","no.birth.reg",100,0,19,0,0,19,0,4616000
"mmhr71dt","blank1","fifteento49","no.educ",100,61,45,61,22,45,22,27513000
"mmhr71dt","blank1","fifteento49","no.skilled.attendant",100,100,29,100,29,29,29,14034000
"mmhr71dt","blank1","fifteento49","non.p20",100,49,,49,0,,0,51450000
"mmhr71dt","blank1","fifteento49","p20",100,49,,49,0,,0,51450000
"mmhr71dt","blank1","fifteento49","primary",100,61,55,61,39,55,39,27513000
"mmhr71dt","blank1","fifteento49","rural",100,49,73,49,35,73,35,51450000
"mmhr71dt","blank1","fifteento49","secondary",100,61,10,61,8,10,8,27513000
"mmhr71dt","blank1","fifteento49","stunted",100,0,29,0,0,29,0,4616000
"mmhr71dt","blank1","fifteento49","under5",100,49,9,49,0,9,0,51450000
"mmhr71dt","blank1","fifteento49","urban",100,49,27,49,14,27,14,51450000
"mmhr71dt","blank1","fiveto14","gt49",100,20,22,20,0,22,0,51450000
"mmhr71dt","blank1","fiveto14","higher",100,0,7,0,0,7,0,27513000
"mmhr71dt","blank1","fiveto14","male",100,20,47,20,10,47,10,51450000
"mmhr71dt","blank1","fiveto14","no.birth.reg",100,0,19,0,0,19,0,4616000
"mmhr71dt","blank1","fiveto14","no.educ",100,0,45,0,0,45,0,27513000
"mmhr71dt","blank1","fiveto14","no.skilled.attendant",100,0,29,0,0,29,0,14034000
"mmhr71dt","blank1","fiveto14","non.p20",100,20,,20,0,,0,51450000
"mmhr71dt","blank1","fiveto14","p20",100,20,,20,0,,0,51450000
"mmhr71dt","blank1","fiveto14","primary",100,0,55,0,0,55,0,27513000
"mmhr71dt","blank1","fiveto14","rural",100,20,73,20,16,73,16,51450000
"mmhr71dt","blank1","fiveto14","secondary",100,0,10,0,0,10,0,27513000
