"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Mongolia_MICS5_Datasets","blank1","blank2","ext",100,100,0,100,0,0,0,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","female",100,100,51,100,51,51,51,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","fifteento49",100,100,52,100,52,52,52,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","fiveto14",100,100,19,100,19,19,19,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","gt49",100,100,17,100,17,17,17,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","higher",100,100,47,100,47,47,47,1530000
"Mongolia_MICS5_Datasets","blank1","blank2","male",100,100,49,100,49,49,49,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","no.birth.reg",100,100,1,100,1,1,1,337000
"Mongolia_MICS5_Datasets","blank1","blank2","no.educ",100,100,14,100,14,14,14,1530000
"Mongolia_MICS5_Datasets","blank1","blank2","no.skilled.attendant",100,100,18,100,18,18,18,831000
"Mongolia_MICS5_Datasets","blank1","blank2","non.p20",100,100,99,100,99,99,99,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","p20",100,100,1,100,1,1,1,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","primary",100,100,86,100,86,86,86,1530000
"Mongolia_MICS5_Datasets","blank1","blank2","rural",100,100,36,100,36,36,36,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","secondary",100,100,47,100,47,47,47,1530000
"Mongolia_MICS5_Datasets","blank1","blank2","stunted",100,100,11,100,11,11,11,337000
"Mongolia_MICS5_Datasets","blank1","blank2","under5",100,100,12,100,12,12,12,2869000
"Mongolia_MICS5_Datasets","blank1","blank2","urban",100,100,64,100,64,64,64,2869000
"Mongolia_MICS5_Datasets","blank1","ext","female",100,0,51,0,0,51,0,2869000
"Mongolia_MICS5_Datasets","blank1","ext","fifteento49",100,0,52,0,0,52,0,2869000
"Mongolia_MICS5_Datasets","blank1","ext","fiveto14",100,0,19,0,0,19,0,2869000
"Mongolia_MICS5_Datasets","blank1","ext","gt49",100,0,17,0,0,17,0,2869000
"Mongolia_MICS5_Datasets","blank1","ext","higher",100,0,47,0,0,47,0,1530000
"Mongolia_MICS5_Datasets","blank1","ext","male",100,0,49,0,0,49,0,2869000
