"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Mexico","blank1","blank2","ext",100,100,3,100,3,3,3,123740000
"Mexico","blank1","blank2","female",100,100,,100,,,,123740000
"Mexico","blank1","blank2","fifteento49",100,100,,100,,,,123740000
"Mexico","blank1","blank2","fiveto14",100,100,,100,,,,123740000
"Mexico","blank1","blank2","gt49",100,100,,100,,,,123740000
"Mexico","blank1","blank2","higher",,,,,,,,123740000
"Mexico","blank1","blank2","male",100,100,,100,,,,123740000
"Mexico","blank1","blank2","no.birth.reg",,,,,,,,123740000
"Mexico","blank1","blank2","no.educ",,,,,,,,123740000
"Mexico","blank1","blank2","no.skilled.attendant",,,,,,,,123740000
"Mexico","blank1","blank2","non.p20",100,100,94,100,94,94,94,123740000
"Mexico","blank1","blank2","p20",100,100,6,100,6,6,6,123740000
"Mexico","blank1","blank2","primary",,,,,,,,123740000
"Mexico","blank1","blank2","rural",100,100,,100,,,,123740000
"Mexico","blank1","blank2","secondary",,,,,,,,123740000
"Mexico","blank1","blank2","stunted",,,,,,,,123740000
"Mexico","blank1","blank2","under5",100,100,,100,,,,123740000
"Mexico","blank1","blank2","urban",100,100,,100,,,,123740000
"Mexico","blank1","ext","female",100,3,,3,,,,123740000
"Mexico","blank1","ext","fifteento49",100,3,,3,,,,123740000
"Mexico","blank1","ext","fiveto14",100,3,,3,,,,123740000
"Mexico","blank1","ext","gt49",100,3,,3,,,,123740000
"Mexico","blank1","ext","higher",,,,,,,,123740000
"Mexico","blank1","ext","male",100,3,,3,,,,123740000
"Mexico","blank1","ext","no.birth.reg",,,,,,,,123740000
"Mexico","blank1","ext","no.educ",,,,,,,,123740000
"Mexico","blank1","ext","no.skilled.attendant",,,,,,,,123740000
"Mexico","blank1","ext","non.p20",100,3,94,3,0,94,0,123740000
"Mexico","blank1","ext","p20",100,3,6,3,3,6,3,123740000
"Mexico","blank1","ext","primary",,,,,,,,123740000
"Mexico","blank1","ext","rural",100,3,,3,,,,123740000
"Mexico","blank1","ext","secondary",,,,,,,,123740000
"Mexico","blank1","ext","stunted",,,,,,,,123740000
"Mexico","blank1","ext","under5",100,3,,3,,,,123740000
"Mexico","blank1","ext","urban",100,3,,3,,,,123740000
"Mexico","blank1","female","fifteento49",100,,,,,,,123740000
"Mexico","blank1","female","fiveto14",100,,,,,,,123740000
"Mexico","blank1","female","gt49",100,,,,,,,123740000
"Mexico","blank1","female","higher",,,,,,,,123740000
"Mexico","blank1","female","male",100,,,,,,,123740000
"Mexico","blank1","female","no.birth.reg",,,,,,,,123740000
"Mexico","blank1","female","no.educ",,,,,,,,123740000
"Mexico","blank1","female","no.skilled.attendant",,,,,,,,123740000
"Mexico","blank1","female","non.p20",100,,94,,,94,,123740000
"Mexico","blank1","female","p20",100,,6,,,6,,123740000
"Mexico","blank1","female","primary",,,,,,,,123740000
"Mexico","blank1","female","rural",100,,,,,,,123740000
"Mexico","blank1","female","secondary",,,,,,,,123740000
"Mexico","blank1","female","stunted",,,,,,,,123740000
"Mexico","blank1","female","under5",100,,,,,,,123740000
"Mexico","blank1","female","urban",100,,,,,,,123740000
"Mexico","blank1","fifteento49","fiveto14",100,,,,,,,123740000
"Mexico","blank1","fifteento49","gt49",100,,,,,,,123740000
"Mexico","blank1","fifteento49","higher",,,,,,,,123740000
"Mexico","blank1","fifteento49","male",100,,,,,,,123740000
"Mexico","blank1","fifteento49","no.birth.reg",,,,,,,,123740000
"Mexico","blank1","fifteento49","no.educ",,,,,,,,123740000
"Mexico","blank1","fifteento49","no.skilled.attendant",,,,,,,,123740000
"Mexico","blank1","fifteento49","non.p20",100,,94,,,94,,123740000
"Mexico","blank1","fifteento49","p20",100,,6,,,6,,123740000
"Mexico","blank1","fifteento49","primary",,,,,,,,123740000
"Mexico","blank1","fifteento49","rural",100,,,,,,,123740000
"Mexico","blank1","fifteento49","secondary",,,,,,,,123740000
"Mexico","blank1","fifteento49","stunted",,,,,,,,123740000
"Mexico","blank1","fifteento49","under5",100,,,,,,,123740000
"Mexico","blank1","fifteento49","urban",100,,,,,,,123740000
"Mexico","blank1","fiveto14","gt49",100,,,,,,,123740000
"Mexico","blank1","fiveto14","higher",,,,,,,,123740000
