"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"mzhr62dt","blank1","blank2","ext",100,100,60,100,60,60,60,26433000
"mzhr62dt","blank1","blank2","female",100,100,52,100,52,52,52,26433000
"mzhr62dt","blank1","blank2","fifteento49",100,100,41,100,41,41,41,26433000
"mzhr62dt","blank1","blank2","fiveto14",100,100,31,100,31,31,31,26433000
"mzhr62dt","blank1","blank2","gt49",100,100,11,100,11,11,11,26433000
"mzhr62dt","blank1","blank2","higher",100,100,2,100,2,2,2,9249000
"mzhr62dt","blank1","blank2","male",100,100,48,100,48,48,48,26433000
"mzhr62dt","blank1","blank2","no.birth.reg",100,100,52,100,52,52,52,4645000
"mzhr62dt","blank1","blank2","no.educ",100,100,81,100,81,81,81,9249000
"mzhr62dt","blank1","blank2","no.skilled.attendant",100,100,38,100,38,38,38,6159000
"mzhr62dt","blank1","blank2","non.p20",100,100,25,100,25,25,25,26433000
"mzhr62dt","blank1","blank2","p20",100,100,75,100,75,75,75,26433000
"mzhr62dt","blank1","blank2","primary",100,100,19,100,19,19,19,9249000
"mzhr62dt","blank1","blank2","rural",100,100,68,100,68,68,68,26433000
"mzhr62dt","blank1","blank2","secondary",100,100,4,100,4,4,4,9249000
"mzhr62dt","blank1","blank2","stunted",100,100,43,100,43,43,43,4645000
"mzhr62dt","blank1","blank2","under5",100,100,18,100,18,18,18,26433000
"mzhr62dt","blank1","blank2","urban",100,100,32,100,32,32,32,26433000
"mzhr62dt","blank1","ext","female",100,60,52,60,31,52,31,26433000
"mzhr62dt","blank1","ext","fifteento49",100,60,41,60,23,41,23,26433000
"mzhr62dt","blank1","ext","fiveto14",100,60,31,60,19,31,19,26433000
"mzhr62dt","blank1","ext","gt49",100,60,11,60,7,11,7,26433000
"mzhr62dt","blank1","ext","higher",100,60,2,60,0,2,0,9249000
"mzhr62dt","blank1","ext","male",100,60,48,60,29,48,29,26433000
"mzhr62dt","blank1","ext","no.birth.reg",100,65,52,65,36,52,36,4645000
"mzhr62dt","blank1","ext","no.educ",100,60,81,60,56,81,56,9249000
"mzhr62dt","blank1","ext","no.skilled.attendant",100,62,38,62,33,38,33,6159000
"mzhr62dt","blank1","ext","non.p20",100,60,25,60,0,25,0,26433000
"mzhr62dt","blank1","ext","p20",100,60,75,60,60,75,60,26433000
"mzhr62dt","blank1","ext","primary",100,60,19,60,4,19,4,9249000
"mzhr62dt","blank1","ext","rural",100,60,68,60,54,68,54,26433000
"mzhr62dt","blank1","ext","secondary",100,60,4,60,0,4,0,9249000
"mzhr62dt","blank1","ext","stunted",100,65,43,65,31,43,31,4645000
"mzhr62dt","blank1","ext","under5",100,60,18,60,11,18,11,26433000
"mzhr62dt","blank1","ext","urban",100,60,32,60,6,32,6,26433000
"mzhr62dt","blank1","female","fifteento49",100,52,41,52,22,41,22,26433000
"mzhr62dt","blank1","female","fiveto14",100,52,31,52,16,31,16,26433000
"mzhr62dt","blank1","female","gt49",100,52,11,52,6,11,6,26433000
"mzhr62dt","blank1","female","higher",100,55,2,55,1,2,1,9249000
"mzhr62dt","blank1","female","male",100,52,48,52,0,48,0,26433000
"mzhr62dt","blank1","female","no.birth.reg",100,50,52,50,26,52,26,4645000
"mzhr62dt","blank1","female","no.educ",100,55,81,55,48,81,48,9249000
"mzhr62dt","blank1","female","no.skilled.attendant",100,100,38,100,38,38,38,6159000
"mzhr62dt","blank1","female","non.p20",100,52,25,52,13,25,13,26433000
"mzhr62dt","blank1","female","p20",100,52,75,52,39,75,39,26433000
"mzhr62dt","blank1","female","primary",100,55,19,55,7,19,7,9249000
"mzhr62dt","blank1","female","rural",100,52,68,52,36,68,36,26433000
"mzhr62dt","blank1","female","secondary",100,55,4,55,2,4,2,9249000
"mzhr62dt","blank1","female","stunted",100,50,43,50,20,43,20,4645000
"mzhr62dt","blank1","female","under5",100,52,18,52,9,18,9,26433000
"mzhr62dt","blank1","female","urban",100,52,32,52,16,32,16,26433000
"mzhr62dt","blank1","fifteento49","fiveto14",100,41,31,41,0,31,0,26433000
"mzhr62dt","blank1","fifteento49","gt49",100,41,11,41,0,11,0,26433000
"mzhr62dt","blank1","fifteento49","higher",100,69,2,69,2,2,2,9249000
"mzhr62dt","blank1","fifteento49","male",100,41,48,41,19,48,19,26433000
"mzhr62dt","blank1","fifteento49","no.birth.reg",100,0,52,0,0,52,0,4645000
"mzhr62dt","blank1","fifteento49","no.educ",100,69,81,69,52,81,52,9249000
"mzhr62dt","blank1","fifteento49","no.skilled.attendant",100,100,38,100,38,38,38,6159000
"mzhr62dt","blank1","fifteento49","non.p20",100,41,25,41,12,25,12,26433000
"mzhr62dt","blank1","fifteento49","p20",100,41,75,41,29,75,29,26433000
"mzhr62dt","blank1","fifteento49","primary",100,69,19,69,17,19,17,9249000
"mzhr62dt","blank1","fifteento49","rural",100,41,68,41,26,68,26,26433000
"mzhr62dt","blank1","fifteento49","secondary",100,69,4,69,4,4,4,9249000
"mzhr62dt","blank1","fifteento49","stunted",100,0,43,0,0,43,0,4645000
"mzhr62dt","blank1","fifteento49","under5",100,41,18,41,0,18,0,26433000
"mzhr62dt","blank1","fifteento49","urban",100,41,32,41,15,32,15,26433000
"mzhr62dt","blank1","fiveto14","gt49",100,31,11,31,0,11,0,26433000
"mzhr62dt","blank1","fiveto14","higher",100,0,2,0,0,2,0,9249000
"mzhr62dt","blank1","fiveto14","male",100,31,48,31,15,48,15,26433000
"mzhr62dt","blank1","fiveto14","no.birth.reg",100,0,52,0,0,52,0,4645000
"mzhr62dt","blank1","fiveto14","no.educ",100,0,81,0,0,81,0,9249000
"mzhr62dt","blank1","fiveto14","no.skilled.attendant",100,0,38,0,0,38,0,6159000
"mzhr62dt","blank1","fiveto14","non.p20",100,31,25,31,7,25,7,26433000
"mzhr62dt","blank1","fiveto14","p20",100,31,75,31,23,75,23,26433000
"mzhr62dt","blank1","fiveto14","primary",100,0,19,0,0,19,0,9249000
"mzhr62dt","blank1","fiveto14","rural",100,31,68,31,22,68,22,26433000
"mzhr62dt","blank1","fiveto14","secondary",100,0,4,0,0,4,0,9249000
"mzhr62dt","blank1","fiveto14","stunted",100,0,43,0,0,43,0,4645000
"mzhr62dt","blank1","fiveto14","under5",100,31,18,31,0,18,0,26433000
"mzhr62dt","blank1","fiveto14","urban",100,31,32,31,9,32,9,26433000
"mzhr62dt","blank1","gt49","higher",100,31,2,31,0,2,0,9249000
"mzhr62dt","blank1","gt49","male",100,11,48,11,5,48,5,26433000
"mzhr62dt","blank1","gt49","no.birth.reg",100,0,52,0,0,52,0,4645000
"mzhr62dt","blank1","gt49","no.educ",100,31,81,31,29,81,29,9249000
"mzhr62dt","blank1","gt49","no.skilled.attendant",100,0,38,0,0,38,0,6159000
"mzhr62dt","blank1","gt49","non.p20",100,11,25,11,2,25,2,26433000
"mzhr62dt","blank1","gt49","p20",100,11,75,11,9,75,9,26433000
"mzhr62dt","blank1","gt49","primary",100,31,19,31,2,19,2,9249000
"mzhr62dt","blank1","gt49","rural",100,11,68,11,8,68,8,26433000
"mzhr62dt","blank1","gt49","secondary",100,31,4,31,1,4,1,9249000
"mzhr62dt","blank1","gt49","stunted",100,0,43,0,0,43,0,4645000
"mzhr62dt","blank1","gt49","under5",100,11,18,11,0,18,0,26433000
