"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"nihr61dt","blank1","blank2","ext",100,100,47,100,47,47,47,18424000
"nihr61dt","blank1","blank2","female",100,100,52,100,52,52,52,18424000
"nihr61dt","blank1","blank2","fifteento49",100,100,33,100,33,33,33,18424000
"nihr61dt","blank1","blank2","fiveto14",100,100,35,100,35,35,35,18424000
"nihr61dt","blank1","blank2","gt49",100,100,11,100,11,11,11,18424000
"nihr61dt","blank1","blank2","higher",100,100,1,100,1,1,1,5903000
"nihr61dt","blank1","blank2","male",100,100,48,100,48,48,48,18424000
"nihr61dt","blank1","blank2","no.birth.reg",100,100,36,100,36,36,36,3796000
"nihr61dt","blank1","blank2","no.educ",100,100,92,100,92,92,92,5903000
"nihr61dt","blank1","blank2","no.skilled.attendant",,,,,,,,3859000
"nihr61dt","blank1","blank2","non.p20",100,100,33,100,33,33,33,18424000
"nihr61dt","blank1","blank2","p20",100,100,67,100,67,67,67,18424000
"nihr61dt","blank1","blank2","primary",100,100,8,100,8,8,8,5903000
"nihr61dt","blank1","blank2","rural",100,100,84,100,84,84,84,18424000
"nihr61dt","blank1","blank2","secondary",100,100,2,100,2,2,2,5903000
"nihr61dt","blank1","blank2","stunted",100,100,44,100,44,44,44,3796000
"nihr61dt","blank1","blank2","under5",100,100,21,100,21,21,21,18424000
"nihr61dt","blank1","blank2","urban",100,100,16,100,16,16,16,18424000
"nihr61dt","blank1","ext","female",100,47,52,47,24,52,24,18424000
"nihr61dt","blank1","ext","fifteento49",100,47,33,47,14,33,14,18424000
"nihr61dt","blank1","ext","fiveto14",100,47,35,47,17,35,17,18424000
"nihr61dt","blank1","ext","gt49",100,47,11,47,6,11,6,18424000
"nihr61dt","blank1","ext","higher",100,46,1,46,0,1,0,5903000
"nihr61dt","blank1","ext","male",100,47,48,47,23,48,23,18424000
"nihr61dt","blank1","ext","no.birth.reg",100,48,36,48,22,36,22,3796000
"nihr61dt","blank1","ext","no.educ",100,46,92,46,45,92,45,5903000
"nihr61dt","blank1","ext","no.skilled.attendant",,,,,,,,3859000
"nihr61dt","blank1","ext","non.p20",100,47,33,47,0,33,0,18424000
"nihr61dt","blank1","ext","p20",100,47,67,47,47,67,47,18424000
"nihr61dt","blank1","ext","primary",100,46,8,46,1,8,1,5903000
"nihr61dt","blank1","ext","rural",100,47,84,47,47,84,47,18424000
"nihr61dt","blank1","ext","secondary",100,46,2,46,0,2,0,5903000
"nihr61dt","blank1","ext","stunted",100,48,44,48,13,44,13,3796000
"nihr61dt","blank1","ext","under5",100,47,21,47,10,21,10,18424000
