"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"pehr6idt","blank1","blank2","ext",100,100,4,100,4,4,4,30566000
"pehr6idt","blank1","blank2","female",100,100,51,100,51,51,51,30566000
"pehr6idt","blank1","blank2","fifteento49",100,100,50,100,50,50,50,30566000
"pehr6idt","blank1","blank2","fiveto14",100,100,20,100,20,20,20,30566000
"pehr6idt","blank1","blank2","gt49",100,100,20,100,20,20,20,30566000
"pehr6idt","blank1","blank2","higher",100,100,26,100,26,26,26,16260000
"pehr6idt","blank1","blank2","male",100,100,49,100,49,49,49,30566000
"pehr6idt","blank1","blank2","no.birth.reg",100,100,,100,,,,2993000
"pehr6idt","blank1","blank2","no.educ",100,100,33,100,33,33,33,16260000
"pehr6idt","blank1","blank2","no.skilled.attendant",100,100,10,100,10,10,10,8149000
"pehr6idt","blank1","blank2","non.p20",100,100,93,100,93,93,93,30566000
"pehr6idt","blank1","blank2","p20",100,100,7,100,7,7,7,30566000
"pehr6idt","blank1","blank2","primary",100,100,67,100,67,67,67,16260000
"pehr6idt","blank1","blank2","rural",100,100,30,100,30,30,30,30566000
"pehr6idt","blank1","blank2","secondary",100,100,50,100,50,50,50,16260000
"pehr6idt","blank1","blank2","stunted",100,100,18,100,18,18,18,2993000
"pehr6idt","blank1","blank2","under5",100,100,10,100,10,10,10,30566000
"pehr6idt","blank1","blank2","urban",100,100,70,100,70,70,70,30566000
"pehr6idt","blank1","ext","female",100,4,51,4,2,51,2,30566000
"pehr6idt","blank1","ext","fifteento49",100,4,50,4,1,50,1,30566000
"pehr6idt","blank1","ext","fiveto14",100,4,20,4,1,20,1,30566000
"pehr6idt","blank1","ext","gt49",100,4,20,4,1,20,1,30566000
"pehr6idt","blank1","ext","higher",100,3,26,3,0,26,0,16260000
"pehr6idt","blank1","ext","male",100,4,49,4,2,49,2,30566000
"pehr6idt","blank1","ext","no.birth.reg",100,5,,5,0,,0,2993000
"pehr6idt","blank1","ext","no.educ",100,3,33,3,2,33,2,16260000
"pehr6idt","blank1","ext","no.skilled.attendant",100,4,10,4,2,10,2,8149000
"pehr6idt","blank1","ext","non.p20",100,4,93,4,0,93,0,30566000
"pehr6idt","blank1","ext","p20",100,4,7,4,4,7,4,30566000
"pehr6idt","blank1","ext","primary",100,3,67,3,1,67,1,16260000
"pehr6idt","blank1","ext","rural",100,4,30,4,4,30,4,30566000
"pehr6idt","blank1","ext","secondary",100,3,50,3,0,50,0,16260000
"pehr6idt","blank1","ext","stunted",100,5,18,5,3,18,3,2993000
"pehr6idt","blank1","ext","under5",100,4,10,4,1,10,1,30566000
"pehr6idt","blank1","ext","urban",100,4,70,4,0,70,0,30566000
"pehr6idt","blank1","female","fifteento49",100,51,50,51,26,50,26,30566000
"pehr6idt","blank1","female","fiveto14",100,51,20,51,10,20,10,30566000
"pehr6idt","blank1","female","gt49",100,51,20,51,11,20,11,30566000
"pehr6idt","blank1","female","higher",100,53,26,53,13,26,13,16260000
"pehr6idt","blank1","female","male",100,51,49,51,0,49,0,30566000
"pehr6idt","blank1","female","no.birth.reg",100,49,,49,0,,0,2993000
"pehr6idt","blank1","female","no.educ",100,53,33,53,20,33,20,16260000
"pehr6idt","blank1","female","no.skilled.attendant",100,100,10,100,10,10,10,8149000
"pehr6idt","blank1","female","non.p20",100,51,93,51,47,93,47,30566000
"pehr6idt","blank1","female","p20",100,51,7,51,3,7,3,30566000
"pehr6idt","blank1","female","primary",100,53,67,53,32,67,32,16260000
"pehr6idt","blank1","female","rural",100,51,30,51,15,30,15,30566000
"pehr6idt","blank1","female","secondary",100,53,50,53,24,50,24,16260000
"pehr6idt","blank1","female","stunted",100,49,18,49,9,18,9,2993000
"pehr6idt","blank1","female","under5",100,51,10,51,5,10,5,30566000
"pehr6idt","blank1","female","urban",100,51,70,51,36,70,36,30566000
