"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"phhr61dt","blank1","blank2","ext",100,100,12,100,12,12,12,98479000
"phhr61dt","blank1","blank2","female",100,100,50,100,50,50,50,98479000
"phhr61dt","blank1","blank2","fifteento49",100,100,51,100,51,51,51,98479000
"phhr61dt","blank1","blank2","fiveto14",100,100,23,100,23,23,23,98479000
"phhr61dt","blank1","blank2","gt49",100,100,16,100,16,16,16,98479000
"phhr61dt","blank1","blank2","higher",100,100,31,100,31,31,31,46838000
"phhr61dt","blank1","blank2","male",100,100,50,100,50,50,50,98479000
"phhr61dt","blank1","blank2","no.birth.reg",100,100,,100,,,,11241000
"phhr61dt","blank1","blank2","no.educ",100,100,17,100,17,17,17,46838000
"phhr61dt","blank1","blank2","no.skilled.attendant",100,100,21,100,21,21,21,25449000
"phhr61dt","blank1","blank2","non.p20",100,100,75,100,75,75,75,98479000
"phhr61dt","blank1","blank2","p20",100,100,25,100,25,25,25,98479000
"phhr61dt","blank1","blank2","primary",100,100,83,100,83,83,83,46838000
"phhr61dt","blank1","blank2","rural",100,100,52,100,52,52,52,98479000
"phhr61dt","blank1","blank2","secondary",100,100,56,100,56,56,56,46838000
"phhr61dt","blank1","blank2","stunted",100,100,,100,,,,11241000
"phhr61dt","blank1","blank2","under5",100,100,11,100,11,11,11,98479000
"phhr61dt","blank1","blank2","urban",100,100,48,100,48,48,48,98479000
"phhr61dt","blank1","ext","female",100,12,50,12,6,50,6,98479000
"phhr61dt","blank1","ext","fifteento49",100,12,51,12,5,51,5,98479000
"phhr61dt","blank1","ext","fiveto14",100,12,23,12,4,23,4,98479000
"phhr61dt","blank1","ext","gt49",100,12,16,12,1,16,1,98479000
"phhr61dt","blank1","ext","higher",100,9,31,9,0,31,0,46838000
"phhr61dt","blank1","ext","male",100,12,50,12,6,50,6,98479000
"phhr61dt","blank1","ext","no.birth.reg",100,16,,16,0,,0,11241000
"phhr61dt","blank1","ext","no.educ",100,9,17,9,5,17,5,46838000
"phhr61dt","blank1","ext","no.skilled.attendant",100,15,21,15,9,21,9,25449000
"phhr61dt","blank1","ext","non.p20",100,12,75,12,0,75,0,98479000
"phhr61dt","blank1","ext","p20",100,12,25,12,12,25,12,98479000
"phhr61dt","blank1","ext","primary",100,9,83,9,4,83,4,46838000
"phhr61dt","blank1","ext","rural",100,12,52,12,10,52,10,98479000
"phhr61dt","blank1","ext","secondary",100,9,56,9,1,56,1,46838000
"phhr61dt","blank1","ext","stunted",100,16,,16,0,,0,11241000
"phhr61dt","blank1","ext","under5",100,12,11,12,2,11,2,98479000
"phhr61dt","blank1","ext","urban",100,12,48,12,2,48,2,98479000
"phhr61dt","blank1","female","fifteento49",100,50,51,50,25,51,25,98479000
"phhr61dt","blank1","female","fiveto14",100,50,23,50,11,23,11,98479000
"phhr61dt","blank1","female","gt49",100,50,16,50,9,16,9,98479000
"phhr61dt","blank1","female","higher",100,51,31,51,16,31,16,46838000
"phhr61dt","blank1","female","male",100,50,50,50,0,50,0,98479000
"phhr61dt","blank1","female","no.birth.reg",100,48,,48,0,,0,11241000
"phhr61dt","blank1","female","no.educ",100,51,17,51,8,17,8,46838000
"phhr61dt","blank1","female","no.skilled.attendant",100,100,21,100,21,21,21,25449000
"phhr61dt","blank1","female","non.p20",100,50,75,50,38,75,38,98479000
"phhr61dt","blank1","female","p20",100,50,25,50,12,25,12,98479000
"phhr61dt","blank1","female","primary",100,51,83,51,43,83,43,46838000
"phhr61dt","blank1","female","rural",100,50,52,50,26,52,26,98479000
"phhr61dt","blank1","female","secondary",100,51,56,51,29,56,29,46838000
"phhr61dt","blank1","female","stunted",100,48,,48,0,,0,11241000
"phhr61dt","blank1","female","under5",100,50,11,50,5,11,5,98479000
"phhr61dt","blank1","female","urban",100,50,48,50,24,48,24,98479000
"phhr61dt","blank1","fifteento49","fiveto14",100,51,23,51,0,23,0,98479000
"phhr61dt","blank1","fifteento49","gt49",100,51,16,51,0,16,0,98479000
"phhr61dt","blank1","fifteento49","higher",100,66,31,66,23,31,23,46838000
"phhr61dt","blank1","fifteento49","male",100,51,50,51,26,50,26,98479000
"phhr61dt","blank1","fifteento49","no.birth.reg",100,0,,0,0,,0,11241000
"phhr61dt","blank1","fifteento49","no.educ",100,66,17,66,9,17,9,46838000
"phhr61dt","blank1","fifteento49","no.skilled.attendant",100,100,21,100,21,21,21,25449000
"phhr61dt","blank1","fifteento49","non.p20",100,51,75,51,39,75,39,98479000
"phhr61dt","blank1","fifteento49","p20",100,51,25,51,11,25,11,98479000
"phhr61dt","blank1","fifteento49","primary",100,66,83,66,57,83,57,46838000
"phhr61dt","blank1","fifteento49","rural",100,51,52,51,25,52,25,98479000
"phhr61dt","blank1","fifteento49","secondary",100,66,56,66,42,56,42,46838000
"phhr61dt","blank1","fifteento49","stunted",100,0,,0,0,,0,11241000
"phhr61dt","blank1","fifteento49","under5",100,51,11,51,0,11,0,98479000
"phhr61dt","blank1","fifteento49","urban",100,51,48,51,26,48,26,98479000
"phhr61dt","blank1","fiveto14","gt49",100,23,16,23,0,16,0,98479000
"phhr61dt","blank1","fiveto14","higher",100,0,31,0,0,31,0,46838000
"phhr61dt","blank1","fiveto14","male",100,23,50,23,11,50,11,98479000
"phhr61dt","blank1","fiveto14","no.birth.reg",100,0,,0,0,,0,11241000
"phhr61dt","blank1","fiveto14","no.educ",100,0,17,0,0,17,0,46838000
"phhr61dt","blank1","fiveto14","no.skilled.attendant",100,0,21,0,0,21,0,25449000
"phhr61dt","blank1","fiveto14","non.p20",100,23,75,23,15,75,15,98479000
"phhr61dt","blank1","fiveto14","p20",100,23,25,23,7,25,7,98479000
