"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"pkhr61dt","blank1","blank2","ext",100,100,7,100,7,7,7,181711000
"pkhr61dt","blank1","blank2","female",100,100,50,100,50,50,50,181711000
"pkhr61dt","blank1","blank2","fifteento49",100,100,49,100,49,49,49,181711000
"pkhr61dt","blank1","blank2","fiveto14",100,100,25,100,25,25,25,181711000
"pkhr61dt","blank1","blank2","gt49",100,100,12,100,12,12,12,181711000
"pkhr61dt","blank1","blank2","higher",100,100,13,100,13,13,13,80196000
"pkhr61dt","blank1","blank2","male",100,100,50,100,50,50,50,181711000
"pkhr61dt","blank1","blank2","no.birth.reg",100,100,66,100,66,66,66,24171000
"pkhr61dt","blank1","blank2","no.educ",100,100,55,100,55,55,55,80196000
"pkhr61dt","blank1","blank2","no.skilled.attendant",,,,,,,,45829000
"pkhr61dt","blank1","blank2","non.p20",100,100,76,100,76,76,76,181711000
"pkhr61dt","blank1","blank2","p20",100,100,24,100,24,24,24,181711000
"pkhr61dt","blank1","blank2","primary",100,100,45,100,45,45,45,80196000
"pkhr61dt","blank1","blank2","rural",100,100,67,100,67,67,67,181711000
"pkhr61dt","blank1","blank2","secondary",100,100,24,100,24,24,24,80196000
"pkhr61dt","blank1","blank2","stunted",100,100,45,100,45,45,45,24171000
"pkhr61dt","blank1","blank2","under5",100,100,14,100,14,14,14,181711000
"pkhr61dt","blank1","blank2","urban",100,100,33,100,33,33,33,181711000
"pkhr61dt","blank1","ext","female",100,7,50,7,3,50,3,181711000
"pkhr61dt","blank1","ext","fifteento49",100,7,49,7,3,49,3,181711000
"pkhr61dt","blank1","ext","fiveto14",100,7,25,7,2,25,2,181711000
"pkhr61dt","blank1","ext","gt49",100,7,12,7,1,12,1,181711000
"pkhr61dt","blank1","ext","higher",100,7,13,7,0,13,0,80196000
"pkhr61dt","blank1","ext","male",100,7,50,7,4,50,4,181711000
