"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"snhr7hdt","blank1","blank2","ext",100,100,38,100,38,38,38,14119000
"snhr7hdt","blank1","blank2","female",100,100,53,100,53,53,53,14119000
"snhr7hdt","blank1","blank2","fifteento49",100,100,43,100,43,43,43,14119000
"snhr7hdt","blank1","blank2","fiveto14",100,100,28,100,28,28,28,14119000
"snhr7hdt","blank1","blank2","gt49",100,100,13,100,13,13,13,14119000
"snhr7hdt","blank1","blank2","higher",100,100,5,100,5,5,5,5198000
"snhr7hdt","blank1","blank2","male",100,100,47,100,47,47,47,14119000
"snhr7hdt","blank1","blank2","no.birth.reg",100,100,32,100,32,32,32,2380000
"snhr7hdt","blank1","blank2","no.educ",100,100,82,100,82,82,82,5198000
"snhr7hdt","blank1","blank2","no.skilled.attendant",100,100,40,100,40,40,40,3448000
"snhr7hdt","blank1","blank2","non.p20",100,100,46,100,46,46,46,14119000
"snhr7hdt","blank1","blank2","p20",100,100,54,100,54,54,54,14119000
"snhr7hdt","blank1","blank2","primary",100,100,18,100,18,18,18,5198000
"snhr7hdt","blank1","blank2","rural",100,100,56,100,56,56,56,14119000
"snhr7hdt","blank1","blank2","secondary",100,100,6,100,6,6,6,5198000
"snhr7hdt","blank1","blank2","stunted",100,100,21,100,21,21,21,2380000
"snhr7hdt","blank1","blank2","under5",100,100,17,100,17,17,17,14119000
"snhr7hdt","blank1","blank2","urban",100,100,44,100,44,44,44,14119000
"snhr7hdt","blank1","ext","female",100,38,53,38,20,53,20,14119000
"snhr7hdt","blank1","ext","fifteento49",100,38,43,38,14,43,14,14119000
"snhr7hdt","blank1","ext","fiveto14",100,38,28,38,12,28,12,14119000
"snhr7hdt","blank1","ext","gt49",100,38,13,38,5,13,5,14119000
"snhr7hdt","blank1","ext","higher",100,33,5,33,0,5,0,5198000
"snhr7hdt","blank1","ext","male",100,38,47,38,18,47,18,14119000
"snhr7hdt","blank1","ext","no.birth.reg",100,43,32,43,21,32,21,2380000
"snhr7hdt","blank1","ext","no.educ",100,33,82,33,31,82,31,5198000
"snhr7hdt","blank1","ext","no.skilled.attendant",100,40,40,40,23,40,23,3448000
"snhr7hdt","blank1","ext","non.p20",100,38,46,38,0,46,0,14119000
"snhr7hdt","blank1","ext","p20",100,38,54,38,38,54,38,14119000
"snhr7hdt","blank1","ext","primary",100,33,18,33,2,18,2,5198000
"snhr7hdt","blank1","ext","rural",100,38,56,38,35,56,35,14119000
"snhr7hdt","blank1","ext","secondary",100,33,6,33,0,6,0,5198000
"snhr7hdt","blank1","ext","stunted",100,43,21,43,11,21,11,2380000
"snhr7hdt","blank1","ext","under5",100,38,17,38,7,17,7,14119000
"snhr7hdt","blank1","ext","urban",100,38,44,38,3,44,3,14119000
"snhr7hdt","blank1","female","fifteento49",100,53,43,53,23,43,23,14119000
"snhr7hdt","blank1","female","fiveto14",100,53,28,53,14,28,14,14119000
"snhr7hdt","blank1","female","gt49",100,53,13,53,7,13,7,14119000
"snhr7hdt","blank1","female","higher",100,57,5,57,2,5,2,5198000
"snhr7hdt","blank1","female","male",100,53,47,53,0,47,0,14119000
"snhr7hdt","blank1","female","no.birth.reg",100,50,32,50,17,32,17,2380000
"snhr7hdt","blank1","female","no.educ",100,57,82,57,49,82,49,5198000
"snhr7hdt","blank1","female","no.skilled.attendant",100,100,40,100,40,40,40,3448000
"snhr7hdt","blank1","female","non.p20",100,53,46,53,25,46,25,14119000
"snhr7hdt","blank1","female","p20",100,53,54,53,29,54,29,14119000
"snhr7hdt","blank1","female","primary",100,57,18,57,8,18,8,5198000
"snhr7hdt","blank1","female","rural",100,53,56,53,31,56,31,14119000
"snhr7hdt","blank1","female","secondary",100,57,6,57,2,6,2,5198000
"snhr7hdt","blank1","female","stunted",100,50,21,50,9,21,9,2380000
"snhr7hdt","blank1","female","under5",100,53,17,53,8,17,8,14119000
"snhr7hdt","blank1","female","urban",100,53,44,53,23,44,23,14119000
"snhr7hdt","blank1","fifteento49","fiveto14",100,43,28,43,0,28,0,14119000
"snhr7hdt","blank1","fifteento49","gt49",100,43,13,43,0,13,0,14119000
"snhr7hdt","blank1","fifteento49","higher",100,66,5,66,4,5,4,5198000
"snhr7hdt","blank1","fifteento49","male",100,43,47,43,19,47,19,14119000
"snhr7hdt","blank1","fifteento49","no.birth.reg",100,0,32,0,0,32,0,2380000
"snhr7hdt","blank1","fifteento49","no.educ",100,66,82,66,51,82,51,5198000
"snhr7hdt","blank1","fifteento49","no.skilled.attendant",100,100,40,100,40,40,40,3448000
"snhr7hdt","blank1","fifteento49","non.p20",100,43,46,43,22,46,22,14119000
"snhr7hdt","blank1","fifteento49","p20",100,43,54,43,21,54,21,14119000
"snhr7hdt","blank1","fifteento49","primary",100,66,18,66,14,18,14,5198000
"snhr7hdt","blank1","fifteento49","rural",100,43,56,43,21,56,21,14119000
"snhr7hdt","blank1","fifteento49","secondary",100,66,6,66,5,6,5,5198000
"snhr7hdt","blank1","fifteento49","stunted",100,0,21,0,0,21,0,2380000
