"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Swaziland_MICS5_Datasets","blank1","blank2","ext",100,100,49,100,49,49,49,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","female",100,100,52,100,52,52,52,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","fifteento49",100,100,48,100,48,48,48,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","fiveto14",100,100,27,100,27,27,27,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","gt49",100,100,13,100,13,13,13,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","higher",100,100,36,100,36,36,36,485000
"Swaziland_MICS5_Datasets","blank1","blank2","male",100,100,48,100,48,48,48,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","no.birth.reg",100,100,47,100,47,47,47,175000
"Swaziland_MICS5_Datasets","blank1","blank2","no.educ",100,100,25,100,25,25,25,485000
"Swaziland_MICS5_Datasets","blank1","blank2","no.skilled.attendant",100,100,12,100,12,12,12,340000
"Swaziland_MICS5_Datasets","blank1","blank2","non.p20",100,100,36,100,36,36,36,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","p20",100,100,64,100,64,64,64,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","primary",100,100,75,100,75,75,75,485000
"Swaziland_MICS5_Datasets","blank1","blank2","rural",100,100,73,100,73,73,73,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","secondary",100,100,58,100,58,58,58,485000
"Swaziland_MICS5_Datasets","blank1","blank2","stunted",100,100,26,100,26,26,26,175000
"Swaziland_MICS5_Datasets","blank1","blank2","under5",100,100,13,100,13,13,13,1269000
"Swaziland_MICS5_Datasets","blank1","blank2","urban",100,100,27,100,27,27,27,1269000
"Swaziland_MICS5_Datasets","blank1","ext","female",100,49,52,49,26,52,26,1269000
"Swaziland_MICS5_Datasets","blank1","ext","fifteento49",100,49,48,49,20,48,20,1269000
"Swaziland_MICS5_Datasets","blank1","ext","fiveto14",100,49,27,49,15,27,15,1269000
"Swaziland_MICS5_Datasets","blank1","ext","gt49",100,49,13,49,7,13,7,1269000
"Swaziland_MICS5_Datasets","blank1","ext","higher",100,42,36,42,5,36,5,485000
"Swaziland_MICS5_Datasets","blank1","ext","male",100,49,48,49,23,48,23,1269000
"Swaziland_MICS5_Datasets","blank1","ext","no.birth.reg",100,56,47,56,31,47,31,175000
"Swaziland_MICS5_Datasets","blank1","ext","no.educ",100,42,25,42,19,25,19,485000
"Swaziland_MICS5_Datasets","blank1","ext","no.skilled.attendant",100,54,12,54,9,12,9,340000
"Swaziland_MICS5_Datasets","blank1","ext","non.p20",100,49,36,49,0,36,0,1269000
"Swaziland_MICS5_Datasets","blank1","ext","p20",100,49,64,49,49,64,49,1269000
"Swaziland_MICS5_Datasets","blank1","ext","primary",100,42,75,42,24,75,24,485000
"Swaziland_MICS5_Datasets","blank1","ext","rural",100,49,73,49,46,73,46,1269000
"Swaziland_MICS5_Datasets","blank1","ext","secondary",100,42,58,42,14,58,14,485000
"Swaziland_MICS5_Datasets","blank1","ext","stunted",100,56,26,56,18,26,18,175000
"Swaziland_MICS5_Datasets","blank1","ext","under5",100,49,13,49,7,13,7,1269000
"Swaziland_MICS5_Datasets","blank1","ext","urban",100,49,27,49,3,27,3,1269000
"Swaziland_MICS5_Datasets","blank1","female","fifteento49",100,52,48,52,25,48,25,1269000
"Swaziland_MICS5_Datasets","blank1","female","fiveto14",100,52,27,52,14,27,14,1269000
"Swaziland_MICS5_Datasets","blank1","female","gt49",100,52,13,52,8,13,8,1269000
"Swaziland_MICS5_Datasets","blank1","female","higher",100,56,36,56,17,36,17,485000
"Swaziland_MICS5_Datasets","blank1","female","male",100,52,48,52,0,48,0,1269000
"Swaziland_MICS5_Datasets","blank1","female","no.birth.reg",100,49,47,49,21,47,21,175000
"Swaziland_MICS5_Datasets","blank1","female","no.educ",100,56,25,56,15,25,15,485000
"Swaziland_MICS5_Datasets","blank1","female","no.skilled.attendant",100,100,12,100,12,12,12,340000
"Swaziland_MICS5_Datasets","blank1","female","non.p20",100,52,36,52,18,36,18,1269000
"Swaziland_MICS5_Datasets","blank1","female","p20",100,52,64,52,34,64,34,1269000
"Swaziland_MICS5_Datasets","blank1","female","primary",100,56,75,56,41,75,41,485000
"Swaziland_MICS5_Datasets","blank1","female","rural",100,52,73,52,38,73,38,1269000
"Swaziland_MICS5_Datasets","blank1","female","secondary",100,56,58,56,31,58,31,485000
"Swaziland_MICS5_Datasets","blank1","female","stunted",100,49,26,49,11,26,11,175000
"Swaziland_MICS5_Datasets","blank1","female","under5",100,52,13,52,6,13,6,1269000
"Swaziland_MICS5_Datasets","blank1","female","urban",100,52,27,52,14,27,14,1269000
"Swaziland_MICS5_Datasets","blank1","fifteento49","fiveto14",100,48,27,48,0,27,0,1269000
"Swaziland_MICS5_Datasets","blank1","fifteento49","gt49",100,48,13,48,0,13,0,1269000
"Swaziland_MICS5_Datasets","blank1","fifteento49","higher",100,69,36,69,30,36,30,485000
"Swaziland_MICS5_Datasets","blank1","fifteento49","male",100,48,48,48,23,48,23,1269000
"Swaziland_MICS5_Datasets","blank1","fifteento49","no.birth.reg",100,0,47,0,0,47,0,175000
"Swaziland_MICS5_Datasets","blank1","fifteento49","no.educ",100,69,25,69,10,25,10,485000
"Swaziland_MICS5_Datasets","blank1","fifteento49","no.skilled.attendant",100,100,12,100,12,12,12,340000
"Swaziland_MICS5_Datasets","blank1","fifteento49","non.p20",100,48,36,48,21,36,21,1269000
"Swaziland_MICS5_Datasets","blank1","fifteento49","p20",100,48,64,48,27,64,27,1269000
"Swaziland_MICS5_Datasets","blank1","fifteento49","primary",100,69,75,69,59,75,59,485000
"Swaziland_MICS5_Datasets","blank1","fifteento49","rural",100,48,73,48,32,73,32,1269000
"Swaziland_MICS5_Datasets","blank1","fifteento49","secondary",100,69,58,69,48,58,48,485000
"Swaziland_MICS5_Datasets","blank1","fifteento49","stunted",100,0,26,0,0,26,0,175000
"Swaziland_MICS5_Datasets","blank1","fifteento49","under5",100,48,13,48,0,13,0,1269000
"Swaziland_MICS5_Datasets","blank1","fifteento49","urban",100,48,27,48,16,27,16,1269000
"Swaziland_MICS5_Datasets","blank1","fiveto14","gt49",100,27,13,27,0,13,0,1269000
"Swaziland_MICS5_Datasets","blank1","fiveto14","higher",100,0,36,0,0,36,0,485000
"Swaziland_MICS5_Datasets","blank1","fiveto14","male",100,27,48,27,13,48,13,1269000
"Swaziland_MICS5_Datasets","blank1","fiveto14","no.birth.reg",100,0,47,0,0,47,0,175000
"Swaziland_MICS5_Datasets","blank1","fiveto14","no.educ",100,0,25,0,0,25,0,485000
"Swaziland_MICS5_Datasets","blank1","fiveto14","no.skilled.attendant",100,0,12,0,0,12,0,340000
"Swaziland_MICS5_Datasets","blank1","fiveto14","non.p20",100,27,36,27,8,36,8,1269000
"Swaziland_MICS5_Datasets","blank1","fiveto14","p20",100,27,64,27,19,64,19,1269000
"Swaziland_MICS5_Datasets","blank1","fiveto14","primary",100,0,75,0,0,75,0,485000
"Swaziland_MICS5_Datasets","blank1","fiveto14","rural",100,27,73,27,22,73,22,1269000
"Swaziland_MICS5_Datasets","blank1","fiveto14","secondary",100,0,58,0,0,58,0,485000
"Swaziland_MICS5_Datasets","blank1","fiveto14","stunted",100,0,26,0,0,26,0,175000
"Swaziland_MICS5_Datasets","blank1","fiveto14","under5",100,27,13,27,0,13,0,1269000
"Swaziland_MICS5_Datasets","blank1","fiveto14","urban",100,27,27,27,5,27,5,1269000
"Swaziland_MICS5_Datasets","blank1","gt49","higher",100,31,36,31,5,36,5,485000
"Swaziland_MICS5_Datasets","blank1","gt49","male",100,13,48,13,5,48,5,1269000
"Swaziland_MICS5_Datasets","blank1","gt49","no.birth.reg",100,0,47,0,0,47,0,175000
"Swaziland_MICS5_Datasets","blank1","gt49","no.educ",100,31,25,31,15,25,15,485000
