"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"tlhr61dt","blank1","blank2","ext",100,100,4,100,4,4,4,1186000
"tlhr61dt","blank1","blank2","female",100,100,50,100,50,50,50,1186000
"tlhr61dt","blank1","blank2","fifteento49",100,100,42,100,42,42,42,1186000
"tlhr61dt","blank1","blank2","fiveto14",100,100,30,100,30,30,30,1186000
"tlhr61dt","blank1","blank2","gt49",100,100,14,100,14,14,14,1186000
"tlhr61dt","blank1","blank2","higher",100,100,4,100,4,4,4,419000
"tlhr61dt","blank1","blank2","male",100,100,50,100,50,50,50,1186000
"tlhr61dt","blank1","blank2","no.birth.reg",100,100,45,100,45,45,45,200000
"tlhr61dt","blank1","blank2","no.educ",100,100,66,100,66,66,66,419000
"tlhr61dt","blank1","blank2","no.skilled.attendant",100,100,65,100,65,65,65,260000
"tlhr61dt","blank1","blank2","non.p20",100,100,53,100,53,53,53,1186000
"tlhr61dt","blank1","blank2","p20",100,100,47,100,47,47,47,1186000
"tlhr61dt","blank1","blank2","primary",100,100,34,100,34,34,34,419000
"tlhr61dt","blank1","blank2","rural",100,100,76,100,76,76,76,1186000
"tlhr61dt","blank1","blank2","secondary",100,100,17,100,17,17,17,419000
"tlhr61dt","blank1","blank2","stunted",100,100,58,100,58,58,58,200000
"tlhr61dt","blank1","blank2","under5",100,100,15,100,15,15,15,1186000
"tlhr61dt","blank1","blank2","urban",100,100,24,100,24,24,24,1186000
"tlhr61dt","blank1","ext","female",100,4,50,4,2,50,2,1186000
"tlhr61dt","blank1","ext","fifteento49",100,4,42,4,1,42,1,1186000
"tlhr61dt","blank1","ext","fiveto14",100,4,30,4,1,30,1,1186000
"tlhr61dt","blank1","ext","gt49",100,4,14,4,0,14,0,1186000
"tlhr61dt","blank1","ext","higher",100,3,4,3,0,4,0,419000
"tlhr61dt","blank1","ext","male",100,4,50,4,2,50,2,1186000
