"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Ukraine_MICS4_Datasets","blank1","blank2","ext",100,100,0,100,0,0,0,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","female",100,100,54,100,54,54,54,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","fifteento49",100,100,46,100,46,46,46,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","fiveto14",100,100,9,100,9,9,9,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","gt49",100,100,40,100,40,40,40,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","higher",100,100,70,100,70,70,70,33110000
"Ukraine_MICS4_Datasets","blank1","blank2","male",100,100,46,100,46,46,46,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","no.birth.reg",100,100,0,100,0,0,0,2483000
"Ukraine_MICS4_Datasets","blank1","blank2","no.educ",100,100,3,100,3,3,3,33110000
"Ukraine_MICS4_Datasets","blank1","blank2","no.skilled.attendant",100,100,2,100,2,2,2,11138000
"Ukraine_MICS4_Datasets","blank1","blank2","non.p20",100,100,100,100,100,100,100,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","p20",100,100,0,100,0,0,0,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","primary",100,100,97,100,97,97,97,33110000
"Ukraine_MICS4_Datasets","blank1","blank2","rural",100,100,28,100,28,28,28,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","secondary",100,100,97,100,97,97,97,33110000
"Ukraine_MICS4_Datasets","blank1","blank2","stunted",100,100,,100,,,,2483000
"Ukraine_MICS4_Datasets","blank1","blank2","under5",100,100,5,100,5,5,5,45116000
"Ukraine_MICS4_Datasets","blank1","blank2","urban",100,100,72,100,72,72,72,45116000
"Ukraine_MICS4_Datasets","blank1","ext","female",100,0,54,0,0,54,0,45116000
"Ukraine_MICS4_Datasets","blank1","ext","fifteento49",100,0,46,0,0,46,0,45116000
"Ukraine_MICS4_Datasets","blank1","ext","fiveto14",100,0,9,0,0,9,0,45116000
"Ukraine_MICS4_Datasets","blank1","ext","gt49",100,0,40,0,0,40,0,45116000
"Ukraine_MICS4_Datasets","blank1","ext","higher",100,0,70,0,0,70,0,33110000
"Ukraine_MICS4_Datasets","blank1","ext","male",100,0,46,0,0,46,0,45116000
"Ukraine_MICS4_Datasets","blank1","ext","no.birth.reg",100,0,0,0,0,0,0,2483000
"Ukraine_MICS4_Datasets","blank1","ext","no.educ",100,0,3,0,0,3,0,33110000
"Ukraine_MICS4_Datasets","blank1","ext","no.skilled.attendant",100,0,2,0,0,2,0,11138000
"Ukraine_MICS4_Datasets","blank1","ext","non.p20",100,0,100,0,0,100,0,45116000
"Ukraine_MICS4_Datasets","blank1","ext","p20",100,0,0,0,0,0,0,45116000
"Ukraine_MICS4_Datasets","blank1","ext","primary",100,0,97,0,0,97,0,33110000
"Ukraine_MICS4_Datasets","blank1","ext","rural",100,0,28,0,0,28,0,45116000
"Ukraine_MICS4_Datasets","blank1","ext","secondary",100,0,97,0,0,97,0,33110000
"Ukraine_MICS4_Datasets","blank1","ext","stunted",100,0,,0,0,,0,2483000
"Ukraine_MICS4_Datasets","blank1","ext","under5",100,0,5,0,0,5,0,45116000
"Ukraine_MICS4_Datasets","blank1","ext","urban",100,0,72,0,0,72,0,45116000
"Ukraine_MICS4_Datasets","blank1","female","fifteento49",100,54,46,54,23,46,23,45116000
