"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"ughr60dt","blank1","blank2","ext",100,100,35,100,35,35,35,37555000
"ughr60dt","blank1","blank2","female",100,100,51,100,51,51,51,37555000
"ughr60dt","blank1","blank2","fifteento49",100,100,41,100,41,41,41,37555000
"ughr60dt","blank1","blank2","fiveto14",100,100,32,100,32,32,32,37555000
"ughr60dt","blank1","blank2","gt49",100,100,8,100,8,8,8,37555000
"ughr60dt","blank1","blank2","higher",100,100,8,100,8,8,8,11638000
"ughr60dt","blank1","blank2","male",100,100,49,100,49,49,49,37555000
"ughr60dt","blank1","blank2","no.birth.reg",100,100,70,100,70,70,70,7159000
"ughr60dt","blank1","blank2","no.educ",100,100,63,100,63,63,63,11638000
"ughr60dt","blank1","blank2","no.skilled.attendant",100,100,32,100,32,32,32,8384000
"ughr60dt","blank1","blank2","non.p20",100,100,46,100,46,46,46,37555000
"ughr60dt","blank1","blank2","p20",100,100,54,100,54,54,54,37555000
"ughr60dt","blank1","blank2","primary",100,100,37,100,37,37,37,11638000
"ughr60dt","blank1","blank2","rural",100,100,85,100,85,85,85,37555000
"ughr60dt","blank1","blank2","secondary",100,100,9,100,9,9,9,11638000
"ughr60dt","blank1","blank2","stunted",100,100,34,100,34,34,34,7159000
"ughr60dt","blank1","blank2","under5",100,100,19,100,19,19,19,37555000
"ughr60dt","blank1","blank2","urban",100,100,15,100,15,15,15,37555000
"ughr60dt","blank1","ext","female",100,35,51,35,18,51,18,37555000
"ughr60dt","blank1","ext","fifteento49",100,35,41,35,13,41,13,37555000
"ughr60dt","blank1","ext","fiveto14",100,35,32,35,12,32,12,37555000
"ughr60dt","blank1","ext","gt49",100,35,8,35,3,8,3,37555000
"ughr60dt","blank1","ext","higher",100,33,8,33,0,8,0,11638000
"ughr60dt","blank1","ext","male",100,35,49,35,17,49,17,37555000
"ughr60dt","blank1","ext","no.birth.reg",100,38,70,38,28,70,28,7159000
"ughr60dt","blank1","ext","no.educ",100,33,63,33,26,63,26,11638000
"ughr60dt","blank1","ext","no.skilled.attendant",100,37,32,37,16,32,16,8384000
"ughr60dt","blank1","ext","non.p20",100,35,46,35,0,46,0,37555000
"ughr60dt","blank1","ext","p20",100,35,54,35,35,54,35,37555000
"ughr60dt","blank1","ext","primary",100,33,37,33,6,37,6,11638000
"ughr60dt","blank1","ext","rural",100,35,85,35,34,85,34,37555000
"ughr60dt","blank1","ext","secondary",100,33,9,33,1,9,1,11638000
"ughr60dt","blank1","ext","stunted",100,38,34,38,5,34,5,7159000
"ughr60dt","blank1","ext","under5",100,35,19,35,7,19,7,37555000
"ughr60dt","blank1","ext","urban",100,35,15,35,1,15,1,37555000
"ughr60dt","blank1","female","fifteento49",100,51,41,51,21,41,21,37555000
"ughr60dt","blank1","female","fiveto14",100,51,32,51,16,32,16,37555000
"ughr60dt","blank1","female","gt49",100,51,8,51,5,8,5,37555000
"ughr60dt","blank1","female","higher",100,53,8,53,3,8,3,11638000
"ughr60dt","blank1","female","male",100,51,49,51,0,49,0,37555000
"ughr60dt","blank1","female","no.birth.reg",100,50,70,50,35,70,35,7159000
"ughr60dt","blank1","female","no.educ",100,53,63,53,38,63,38,11638000
"ughr60dt","blank1","female","no.skilled.attendant",100,100,32,100,32,32,32,8384000
"ughr60dt","blank1","female","non.p20",100,51,46,51,24,46,24,37555000
"ughr60dt","blank1","female","p20",100,51,54,51,27,54,27,37555000
"ughr60dt","blank1","female","primary",100,53,37,53,14,37,14,11638000
"ughr60dt","blank1","female","rural",100,51,85,51,43,85,43,37555000
"ughr60dt","blank1","female","secondary",100,53,9,53,3,9,3,11638000
"ughr60dt","blank1","female","stunted",100,50,34,50,7,34,7,7159000
"ughr60dt","blank1","female","under5",100,51,19,51,9,19,9,37555000
"ughr60dt","blank1","female","urban",100,51,15,51,8,15,8,37555000
"ughr60dt","blank1","fifteento49","fiveto14",100,41,32,41,0,32,0,37555000
"ughr60dt","blank1","fifteento49","gt49",100,41,8,41,0,8,0,37555000
"ughr60dt","blank1","fifteento49","higher",100,73,8,73,6,8,6,11638000
"ughr60dt","blank1","fifteento49","male",100,41,49,41,19,49,19,37555000
"ughr60dt","blank1","fifteento49","no.birth.reg",100,0,70,0,0,70,0,7159000
"ughr60dt","blank1","fifteento49","no.educ",100,73,63,73,42,63,42,11638000
"ughr60dt","blank1","fifteento49","no.skilled.attendant",100,100,32,100,32,32,32,8384000
"ughr60dt","blank1","fifteento49","non.p20",100,41,46,41,21,46,21,37555000
"ughr60dt","blank1","fifteento49","p20",100,41,54,41,20,54,20,37555000
"ughr60dt","blank1","fifteento49","primary",100,73,37,73,32,37,32,11638000
"ughr60dt","blank1","fifteento49","rural",100,41,85,41,33,85,33,37555000
