"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","ext",100,100,14,100,14,14,14,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","female",100,100,48,100,48,48,48,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","fifteento49",100,100,46,100,46,46,46,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","fiveto14",100,100,27,100,27,27,27,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","gt49",100,100,14,100,14,14,14,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","higher",100,100,6,100,6,6,6,111000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","male",100,100,52,100,52,52,52,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","no.birth.reg",100,100,60,100,60,60,60,35000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","no.educ",100,100,24,100,24,24,24,111000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","no.skilled.attendant",100,100,50,100,50,50,50,63000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","non.p20",100,100,73,100,73,73,73,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","p20",100,100,27,100,27,27,27,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","primary",100,100,76,100,76,76,76,111000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","rural",100,100,77,100,77,77,77,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","secondary",100,100,27,100,27,27,27,111000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","stunted",100,100,,100,,,,35000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","under5",100,100,13,100,13,13,13,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","blank2","urban",100,100,23,100,23,23,23,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","female",100,14,48,14,7,48,7,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","fifteento49",100,14,46,14,6,46,6,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","fiveto14",100,14,27,14,4,27,4,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","gt49",100,14,14,14,2,14,2,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","higher",100,14,6,14,0,6,0,111000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","male",100,14,52,14,7,52,7,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","no.birth.reg",100,15,60,15,12,60,12,35000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","no.educ",100,14,24,14,7,24,7,111000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","no.skilled.attendant",100,18,50,18,11,50,11,63000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","non.p20",100,14,73,14,0,73,0,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","p20",100,14,27,14,14,27,14,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","primary",100,14,76,14,7,76,7,111000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","rural",100,14,77,14,14,77,14,253000
"Vanuatu MICS 2007 SPSS Datasets","blank1","ext","secondary",100,14,27,14,1,27,1,111000
