"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"yehr61dt","blank1","blank2","ext",100,100,1,100,1,1,1,25574000
"yehr61dt","blank1","blank2","female",100,100,50,100,50,50,50,25574000
"yehr61dt","blank1","blank2","fifteento49",100,100,46,100,46,46,46,25574000
"yehr61dt","blank1","blank2","fiveto14",100,100,29,100,29,29,29,25574000
"yehr61dt","blank1","blank2","gt49",100,100,12,100,12,12,12,25574000
"yehr61dt","blank1","blank2","higher",100,100,,100,,,,9265000
"yehr61dt","blank1","blank2","male",100,100,50,100,50,50,50,25574000
"yehr61dt","blank1","blank2","no.birth.reg",100,100,65,100,65,65,65,3896000
"yehr61dt","blank1","blank2","no.educ",100,100,,100,,,,9265000
"yehr61dt","blank1","blank2","no.skilled.attendant",100,100,47,100,47,47,47,6273000
"yehr61dt","blank1","blank2","non.p20",100,100,94,100,94,94,94,25574000
"yehr61dt","blank1","blank2","p20",100,100,6,100,6,6,6,25574000
"yehr61dt","blank1","blank2","primary",100,100,,100,,,,9265000
"yehr61dt","blank1","blank2","rural",100,100,69,100,69,69,69,25574000
"yehr61dt","blank1","blank2","secondary",100,100,,100,,,,9265000
"yehr61dt","blank1","blank2","stunted",100,100,47,100,47,47,47,3896000
"yehr61dt","blank1","blank2","under5",100,100,14,100,14,14,14,25574000
"yehr61dt","blank1","blank2","urban",100,100,31,100,31,31,31,25574000
"yehr61dt","blank1","ext","female",100,1,50,1,1,50,1,25574000
"yehr61dt","blank1","ext","fifteento49",100,1,46,1,0,46,0,25574000
"yehr61dt","blank1","ext","fiveto14",100,1,29,1,0,29,0,25574000
"yehr61dt","blank1","ext","gt49",100,1,12,1,0,12,0,25574000
"yehr61dt","blank1","ext","higher",100,1,,1,0,,0,9265000
"yehr61dt","blank1","ext","male",100,1,50,1,1,50,1,25574000
"yehr61dt","blank1","ext","no.birth.reg",100,1,65,1,1,65,1,3896000
"yehr61dt","blank1","ext","no.educ",100,1,,1,0,,0,9265000
"yehr61dt","blank1","ext","no.skilled.attendant",100,1,47,1,1,47,1,6273000
"yehr61dt","blank1","ext","non.p20",100,1,94,1,0,94,0,25574000
"yehr61dt","blank1","ext","p20",100,1,6,1,1,6,1,25574000
"yehr61dt","blank1","ext","primary",100,1,,1,0,,0,9265000
"yehr61dt","blank1","ext","rural",100,1,69,1,1,69,1,25574000
"yehr61dt","blank1","ext","secondary",100,1,,1,0,,0,9265000
"yehr61dt","blank1","ext","stunted",100,1,47,1,1,47,1,3896000
"yehr61dt","blank1","ext","under5",100,1,14,1,0,14,0,25574000
"yehr61dt","blank1","ext","urban",100,1,31,1,0,31,0,25574000
"yehr61dt","blank1","female","fifteento49",100,50,46,50,23,46,23,25574000
"yehr61dt","blank1","female","fiveto14",100,50,29,50,14,29,14,25574000
"yehr61dt","blank1","female","gt49",100,50,12,50,6,12,6,25574000
"yehr61dt","blank1","female","higher",100,51,,51,0,,0,9265000
"yehr61dt","blank1","female","male",100,50,50,50,0,50,0,25574000
"yehr61dt","blank1","female","no.birth.reg",100,49,65,49,30,65,30,3896000
"yehr61dt","blank1","female","no.educ",100,51,,51,0,,0,9265000
"yehr61dt","blank1","female","no.skilled.attendant",100,100,47,100,47,47,47,6273000
"yehr61dt","blank1","female","non.p20",100,50,94,50,47,94,47,25574000
"yehr61dt","blank1","female","p20",100,50,6,50,3,6,3,25574000
"yehr61dt","blank1","female","primary",100,51,,51,0,,0,9265000
"yehr61dt","blank1","female","rural",100,50,69,50,35,69,35,25574000
"yehr61dt","blank1","female","secondary",100,51,,51,0,,0,9265000
"yehr61dt","blank1","female","stunted",100,49,47,49,21,47,21,3896000
"yehr61dt","blank1","female","under5",100,50,14,50,7,14,7,25574000
"yehr61dt","blank1","female","urban",100,50,31,50,15,31,15,25574000
"yehr61dt","blank1","fifteento49","fiveto14",100,46,29,46,0,29,0,25574000
"yehr61dt","blank1","fifteento49","gt49",100,46,12,46,0,12,0,25574000
"yehr61dt","blank1","fifteento49","higher",100,68,,68,0,,0,9265000
"yehr61dt","blank1","fifteento49","male",100,46,50,46,23,50,23,25574000
"yehr61dt","blank1","fifteento49","no.birth.reg",100,0,65,0,0,65,0,3896000
"yehr61dt","blank1","fifteento49","no.educ",100,68,,68,0,,0,9265000
"yehr61dt","blank1","fifteento49","no.skilled.attendant",100,100,47,100,47,47,47,6273000
"yehr61dt","blank1","fifteento49","non.p20",100,46,94,46,44,94,44,25574000
"yehr61dt","blank1","fifteento49","p20",100,46,6,46,2,6,2,25574000
"yehr61dt","blank1","fifteento49","primary",100,68,,68,0,,0,9265000
"yehr61dt","blank1","fifteento49","rural",100,46,69,46,31,69,31,25574000
"yehr61dt","blank1","fifteento49","secondary",100,68,,68,0,,0,9265000
"yehr61dt","blank1","fifteento49","stunted",100,0,47,0,0,47,0,3896000
"yehr61dt","blank1","fifteento49","under5",100,46,14,46,0,14,0,25574000
"yehr61dt","blank1","fifteento49","urban",100,46,31,46,16,31,16,25574000
"yehr61dt","blank1","fiveto14","gt49",100,29,12,29,0,12,0,25574000
"yehr61dt","blank1","fiveto14","higher",100,0,,0,0,,0,9265000
"yehr61dt","blank1","fiveto14","male",100,29,50,29,15,50,15,25574000
"yehr61dt","blank1","fiveto14","no.birth.reg",100,0,65,0,0,65,0,3896000
"yehr61dt","blank1","fiveto14","no.educ",100,0,,0,0,,0,9265000
"yehr61dt","blank1","fiveto14","no.skilled.attendant",100,0,47,0,0,47,0,6273000
"yehr61dt","blank1","fiveto14","non.p20",100,29,94,29,27,94,27,25574000
"yehr61dt","blank1","fiveto14","p20",100,29,6,29,2,6,2,25574000
"yehr61dt","blank1","fiveto14","primary",100,0,,0,0,,0,9265000
"yehr61dt","blank1","fiveto14","rural",100,29,69,29,21,69,21,25574000
"yehr61dt","blank1","fiveto14","secondary",100,0,,0,0,,0,9265000
"yehr61dt","blank1","fiveto14","stunted",100,0,47,0,0,47,0,3896000
"yehr61dt","blank1","fiveto14","under5",100,29,14,29,0,14,0,25574000
"yehr61dt","blank1","fiveto14","urban",100,29,31,29,8,31,8,25574000
"yehr61dt","blank1","gt49","higher",100,32,,32,0,,0,9265000
"yehr61dt","blank1","gt49","male",100,12,50,12,6,50,6,25574000
"yehr61dt","blank1","gt49","no.birth.reg",100,0,65,0,0,65,0,3896000
"yehr61dt","blank1","gt49","no.educ",100,32,,32,0,,0,9265000
"yehr61dt","blank1","gt49","no.skilled.attendant",100,0,47,0,0,47,0,6273000
"yehr61dt","blank1","gt49","non.p20",100,12,94,12,11,94,11,25574000
"yehr61dt","blank1","gt49","p20",100,12,6,12,1,6,1,25574000
"yehr61dt","blank1","gt49","primary",100,32,,32,0,,0,9265000
"yehr61dt","blank1","gt49","rural",100,12,69,12,8,69,8,25574000
"yehr61dt","blank1","gt49","secondary",100,32,,32,0,,0,9265000
"yehr61dt","blank1","gt49","stunted",100,0,47,0,0,47,0,3896000
"yehr61dt","blank1","gt49","under5",100,12,14,12,0,14,0,25574000
"yehr61dt","blank1","gt49","urban",100,12,31,12,4,31,4,25574000
"yehr61dt","blank1","higher","male",100,,49,,0,49,0,9265000
"yehr61dt","blank1","higher","no.birth.reg",,,,,,,,9265000
"yehr61dt","blank1","higher","no.educ",100,,,,,,,9265000
"yehr61dt","blank1","higher","no.skilled.attendant",100,,50,,0,50,0,3446000
"yehr61dt","blank1","higher","non.p20",100,,95,,0,95,0,9265000
"yehr61dt","blank1","higher","p20",100,,5,,0,5,0,9265000
"yehr61dt","blank1","higher","primary",100,,,,,,,9265000
"yehr61dt","blank1","higher","rural",100,,66,,0,66,0,9265000
"yehr61dt","blank1","higher","secondary",100,,,,,,,9265000
"yehr61dt","blank1","higher","stunted",,,,,,,,9265000
"yehr61dt","blank1","higher","under5",100,,0,,0,0,0,9265000
"yehr61dt","blank1","higher","urban",100,,34,,0,34,0,9265000
"yehr61dt","blank1","male","no.birth.reg",100,51,65,51,31,65,31,3896000
"yehr61dt","blank1","male","no.educ",100,49,,49,0,,0,9265000
"yehr61dt","blank1","male","no.skilled.attendant",100,0,47,0,0,47,0,6273000
"yehr61dt","blank1","male","non.p20",100,50,94,50,47,94,47,25574000
"yehr61dt","blank1","male","p20",100,50,6,50,3,6,3,25574000
"yehr61dt","blank1","male","primary",100,49,,49,0,,0,9265000
"yehr61dt","blank1","male","rural",100,50,69,50,35,69,35,25574000
"yehr61dt","blank1","male","secondary",100,49,,49,0,,0,9265000
"yehr61dt","blank1","male","stunted",100,51,47,51,23,47,23,3896000
"yehr61dt","blank1","male","under5",100,50,14,50,7,14,7,25574000
"yehr61dt","blank1","male","urban",100,50,31,50,15,31,15,25574000
"yehr61dt","blank1","no.birth.reg","no.educ",,,,,,,,9265000
"yehr61dt","blank1","no.birth.reg","no.skilled.attendant",,,,,,,,3896000
"yehr61dt","blank1","no.birth.reg","non.p20",100,65,94,65,59,94,59,3896000
"yehr61dt","blank1","no.birth.reg","p20",100,65,6,65,5,6,5,3896000
"yehr61dt","blank1","no.birth.reg","primary",,,,,,,,9265000
"yehr61dt","blank1","no.birth.reg","rural",100,65,72,65,51,72,51,3896000
"yehr61dt","blank1","no.birth.reg","secondary",,,,,,,,9265000
"yehr61dt","blank1","no.birth.reg","stunted",100,65,47,65,29,47,29,3896000
"yehr61dt","blank1","no.birth.reg","under5",100,65,100,65,65,100,65,3896000
"yehr61dt","blank1","no.birth.reg","urban",100,65,28,65,12,28,12,3896000
"yehr61dt","blank1","no.educ","no.skilled.attendant",100,,50,,0,50,0,3446000
"yehr61dt","blank1","no.educ","non.p20",100,,95,,0,95,0,9265000
"yehr61dt","blank1","no.educ","p20",100,,5,,0,5,0,9265000
"yehr61dt","blank1","no.educ","primary",100,,,,,,,9265000
"yehr61dt","blank1","no.educ","rural",100,,66,,0,66,0,9265000
"yehr61dt","blank1","no.educ","secondary",100,,,,,,,9265000
"yehr61dt","blank1","no.educ","stunted",,,,,,,,9265000
"yehr61dt","blank1","no.educ","under5",100,,0,,0,0,0,9265000
"yehr61dt","blank1","no.educ","urban",100,,34,,0,34,0,9265000
"yehr61dt","blank1","no.skilled.attendant","non.p20",100,47,94,47,43,94,43,6273000
"yehr61dt","blank1","no.skilled.attendant","p20",100,47,6,47,4,6,4,6273000
"yehr61dt","blank1","no.skilled.attendant","primary",100,50,,50,0,,0,3446000
"yehr61dt","blank1","no.skilled.attendant","rural",100,47,70,47,41,70,41,6273000
"yehr61dt","blank1","no.skilled.attendant","secondary",100,50,,50,0,,0,3446000
"yehr61dt","blank1","no.skilled.attendant","stunted",,,,,,,,3896000
"yehr61dt","blank1","no.skilled.attendant","under5",100,47,0,47,0,0,0,6273000
"yehr61dt","blank1","no.skilled.attendant","urban",100,47,30,47,6,30,6,6273000
"yehr61dt","blank1","non.p20","p20",100,94,6,94,0,6,0,25574000
"yehr61dt","blank1","non.p20","primary",100,95,,95,0,,0,9265000
"yehr61dt","blank1","non.p20","rural",100,94,69,94,64,69,64,25574000
"yehr61dt","blank1","non.p20","secondary",100,95,,95,0,,0,9265000
