"filename","indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"zwhr70dt","blank1","blank2","ext",100,100,17,100,17,17,17,15055000
"zwhr70dt","blank1","blank2","female",100,100,53,100,53,53,53,15055000
"zwhr70dt","blank1","blank2","fifteento49",100,100,45,100,45,45,45,15055000
"zwhr70dt","blank1","blank2","fiveto14",100,100,27,100,27,27,27,15055000
"zwhr70dt","blank1","blank2","gt49",100,100,12,100,12,12,12,15055000
"zwhr70dt","blank1","blank2","higher",100,100,10,100,10,10,10,5594000
"zwhr70dt","blank1","blank2","male",100,100,47,100,47,47,47,15055000
"zwhr70dt","blank1","blank2","no.birth.reg",100,100,57,100,57,57,57,2418000
"zwhr70dt","blank1","blank2","no.educ",100,100,26,100,26,26,26,5594000
"zwhr70dt","blank1","blank2","no.skilled.attendant",100,100,18,100,18,18,18,3909000
"zwhr70dt","blank1","blank2","non.p20",100,100,70,100,70,70,70,15055000
"zwhr70dt","blank1","blank2","p20",100,100,30,100,30,30,30,15055000
"zwhr70dt","blank1","blank2","primary",100,100,74,100,74,74,74,5594000
"zwhr70dt","blank1","blank2","rural",100,100,70,100,70,70,70,15055000
"zwhr70dt","blank1","blank2","secondary",100,100,12,100,12,12,12,5594000
"zwhr70dt","blank1","blank2","stunted",100,100,27,100,27,27,27,2418000
"zwhr70dt","blank1","blank2","under5",100,100,15,100,15,15,15,15055000
"zwhr70dt","blank1","blank2","urban",100,100,30,100,30,30,30,15055000
"zwhr70dt","blank1","ext","female",100,17,53,17,9,53,9,15055000
"zwhr70dt","blank1","ext","fifteento49",100,17,45,17,7,45,7,15055000
"zwhr70dt","blank1","ext","fiveto14",100,17,27,17,5,27,5,15055000
"zwhr70dt","blank1","ext","gt49",100,17,12,17,2,12,2,15055000
"zwhr70dt","blank1","ext","higher",100,16,10,16,0,10,0,5594000
"zwhr70dt","blank1","ext","male",100,17,47,17,8,47,8,15055000
"zwhr70dt","blank1","ext","no.birth.reg",100,21,57,21,16,57,16,2418000
"zwhr70dt","blank1","ext","no.educ",100,16,26,16,8,26,8,5594000
"zwhr70dt","blank1","ext","no.skilled.attendant",100,20,18,20,6,18,6,3909000
"zwhr70dt","blank1","ext","non.p20",100,17,70,17,0,70,0,15055000
"zwhr70dt","blank1","ext","p20",100,17,30,17,17,30,17,15055000
"zwhr70dt","blank1","ext","primary",100,16,74,16,8,74,8,5594000
"zwhr70dt","blank1","ext","rural",100,17,70,17,17,70,17,15055000
"zwhr70dt","blank1","ext","secondary",100,16,12,16,0,12,0,5594000
"zwhr70dt","blank1","ext","stunted",100,21,27,21,7,27,7,2418000
"zwhr70dt","blank1","ext","under5",100,17,15,17,3,15,3,15055000
"zwhr70dt","blank1","ext","urban",100,17,30,17,0,30,0,15055000
"zwhr70dt","blank1","female","fifteento49",100,53,45,53,24,45,24,15055000
"zwhr70dt","blank1","female","fiveto14",100,53,27,53,13,27,13,15055000
"zwhr70dt","blank1","female","gt49",100,53,12,53,7,12,7,15055000
"zwhr70dt","blank1","female","higher",100,56,10,56,4,10,4,5594000
"zwhr70dt","blank1","female","male",100,53,47,53,0,47,0,15055000
"zwhr70dt","blank1","female","no.birth.reg",100,51,57,51,29,57,29,2418000
"zwhr70dt","blank1","female","no.educ",100,56,26,56,17,26,17,5594000
"zwhr70dt","blank1","female","no.skilled.attendant",100,100,18,100,18,18,18,3909000
"zwhr70dt","blank1","female","non.p20",100,53,70,53,37,70,37,15055000
"zwhr70dt","blank1","female","p20",100,53,30,53,16,30,16,15055000
"zwhr70dt","blank1","female","primary",100,56,74,56,38,74,38,5594000
"zwhr70dt","blank1","female","rural",100,53,70,53,36,70,36,15055000
"zwhr70dt","blank1","female","secondary",100,56,12,56,5,12,5,5594000
"zwhr70dt","blank1","female","stunted",100,51,27,51,12,27,12,2418000
"zwhr70dt","blank1","female","under5",100,53,15,53,8,15,8,15055000
"zwhr70dt","blank1","female","urban",100,53,30,53,16,30,16,15055000
"zwhr70dt","blank1","fifteento49","fiveto14",100,45,27,45,0,27,0,15055000
"zwhr70dt","blank1","fifteento49","gt49",100,45,12,45,0,12,0,15055000
"zwhr70dt","blank1","fifteento49","higher",100,68,10,68,8,10,8,5594000
"zwhr70dt","blank1","fifteento49","male",100,45,47,45,21,47,21,15055000
"zwhr70dt","blank1","fifteento49","no.birth.reg",100,0,57,0,0,57,0,2418000
"zwhr70dt","blank1","fifteento49","no.educ",100,68,26,68,8,26,8,5594000
"zwhr70dt","blank1","fifteento49","no.skilled.attendant",100,100,18,100,18,18,18,3909000
"zwhr70dt","blank1","fifteento49","non.p20",100,45,70,45,33,70,33,15055000
"zwhr70dt","blank1","fifteento49","p20",100,45,30,45,12,30,12,15055000
"zwhr70dt","blank1","fifteento49","primary",100,68,74,68,61,74,61,5594000
"zwhr70dt","blank1","fifteento49","rural",100,45,70,45,28,70,28,15055000
"zwhr70dt","blank1","fifteento49","secondary",100,68,12,68,10,12,10,5594000
