THA,3,12.84,2012,66.79
MYS,3,1.59,2009,27.79
PER,3,1.57,2013,30.38
NPL,3,25.76,2010.17,26.85
TGO,3,232.22,2011,6.47
TTO,3,4.62,1992,1.24
GUY,3,133.26,1998,0.74
HRV,3,4.36,2011,4.28
HTI,3,20.71,2012,10.17
ROU,3,2,2012,20.06
SRB,3,45.37,2010,7.29
SYC,3,7.9,2006.43,0.08
TJK,3,1.88,2009,7.45
TUR,3,1.16,2012,74
TZA,3,585.52,2011.77,47.78
GNB,3,248.24,2010,1.59
IDN,5,4091.94,2010,240.68
JAM,3,63.35,2004,2.63
JPN,3,116.1,2008,128.06
KGZ,3,17.54,2012,5.61
LBR,3,0.57,2007,3.52
LTU,3,1.79,2012,2.99
LVA,3,0.4,2012,2.03
MAR,3,4.19,2007,30.67
NIC,3,9.16,2009,5.74
NOR,3,9.8,2012,5.02
PAN,3,0.55,2013,3.86
PRY,3,2309.43,2013,6.8
RUS,3,16.77,2012,143.18
SEN,3,246.11,2011.29,13.33
STP,3,10194.8,2010,0.18
SUR,3,1.88,1999,0.46
SVN,3,0.68,2012,2.06
SWZ,3,4.05,2009.25,1.17
UGA,3,946.89,2012.45,36.35
VUT,3,115.83,2010,0.24
