Donor,Region
Albania,Europe
Belarus,Europe
Bosnia and Herzegovina,Europe
Croatia,Europe
Cyprus,Europe
Former Yugoslav Republic of Macedonia,Europe
Gibraltar,Europe
Kosovo,Europe
Malta,Europe
"Moldova, Republic of",Europe
Montenegro,Europe
Serbia ,Europe
Slovenia,Europe
States Ex-Yugoslavia,Europe
Turkey,Europe
Ukraine,Europe
Andorra,Europe
Austria,Europe
Belgium,Europe
Bulgaria,Europe
Czech Republic,Europe
Denmark,Europe
Estonia,Europe
European Union,Europe
Faeroe Islands,Europe
Finland,Europe
France,Europe
Germany,Europe
Greece,Europe
Hungary,Europe
Iceland,Europe
Ireland,Europe
Italy,Europe
Latvia,Europe
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Monaco,Europe
Netherlands,Europe
New Zealand,Oceania
Norway,Europe
Poland,Europe
Portugal,Europe
Romania,Europe
Russian Federation,Europe
Slovakia,Europe
Spain,Europe
Sweden,Europe
Switzerland,Europe
United Kingdom,Europe
United Kingdom ,Europe
Brunei Darussalam,Far East Asia
Cambodia,Far East Asia
China,Far East Asia
Chinese Taipei,Far East Asia
"Korea, Democratic People's Republic of",Far East Asia
Hong Kong Special Administrative Region of the People's Republic of China,Far East Asia
Indonesia,Far East Asia
"Korea, Republic of",Far East Asia
Lao (People's Democratic Republic),Far East Asia
"Macau, China",Far East Asia
Malaysia,Far East Asia
Mongolia,Far East Asia
Philippines,Far East Asia
Singapore,Far East Asia
Thailand,Far East Asia
Timor Leste,Far East Asia
Viet Nam,Far East Asia
Japan,Far East Asia
Bahrain,Middle East & North of Sahara
"Iran, Islamic Republic of",Middle East & North of Sahara
Iraq,Middle East & North of Sahara
Israel,Middle East & North of Sahara
Jordan,Middle East & North of Sahara
Kuwait,Middle East & North of Sahara
Lebanon,Middle East & North of Sahara
National Commission for Lebanese Women,Middle East & North of Sahara
Oman,Middle East & North of Sahara
Qatar,Middle East & North of Sahara
Saudi Arabia (Kingdom of),Middle East & North of Sahara
Syrian Arab Republic,Middle East & North of Sahara
United Arab Emirates,Middle East & North of Sahara
"Palestinian territory, occupied",Middle East & North of Sahara
Yemen,Middle East & North of Sahara
Anguilla,North & Central America
Antigua and Barbuda,North & Central America
Aruba,North & Central America
Bahamas,North & Central America
Barbados,North & Central America
Belize,North & Central America
Bermuda,North & Central America
British Virgin Islands,North & Central America
Cayman Islands,North & Central America
Costa Rica,North & Central America
Cuba,North & Central America
Dominica,North & Central America
Dominican Republic,North & Central America
El Salvador,North & Central America
Grenada,North & Central America
Guatemala,North & Central America
Haiti,North & Central America
Honduras,North & Central America
Jamaica,North & Central America
Mexico,North & Central America
Montserrat,North & Central America
Netherlands Antilles,North & Central America
Nicaragua,North & Central America
Panama,North & Central America
Saint Kitts and Nevis,North & Central America
Saint Lucia,North & Central America
Saint Vincent and the Grenadines,North & Central America
Trinidad and Tobago,North & Central America
Turks and Caicos Islands,North & Central America
Canada,North & Central America
Saint Vincent and the Grenadines,North & Central America
United States of America,North & Central America
Algeria,Middle East & North of Sahara
Egypt,Middle East & North of Sahara
Libya,Middle East & North of Sahara
Morocco,Middle East & North of Sahara
Tunisia,Middle East & North of Sahara
Cook Islands,Oceania
Fiji,Oceania
French Polynesia,Oceania
