Recipient Organization,deliverychannel,,
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,Other,,
21 Century Unification Service Organization,Other,,
3Com,Other,,
3M,Other,,
A Call to Serve InterNational,NGOs and CSOs,,
AABO AKADEMI UNIVERSITY,NGOs and CSOs,,
Aadamiga USA,NGOs and CSOs,,
AAGAHI,NGOs and CSOs,,
Aamin Voluntary Relief Organization,NGOs and CSOs,,
AAP,Other,,
AAPKI Foundation,NGOs and CSOs,,
AASAA,Other,,
Aayo Development Foundation,NGOs and CSOs,,
Abbott Laboratories,Other,,
ABC Children's Aid,NGOs and CSOs,,
Abdul Latif Jameel Group,Other,,
Abo Akademi University,NGOs and CSOs,,
Abraham's Oasis,NGOs and CSOs,,
Abt Associates,NGOs and CSOs,,
Abu Dhabi National Energy Company,Other,,
Abu Dhabi Tourism Authority,Public sector,,
Abyei Community Action for Development,NGOs and CSOs,,
Academy Charity Teaching Hospital,NGOs and CSOs,,
Academy for Educational Development,NGOs and CSOs,,
ACBAR - Agency Coordinating Body for Afghan Relief,NGOs and CSOs,,
Accenture,Other,,
Access Aid and Development,NGOs and CSOs,,
Access Development and Relief Organization,NGOs and CSOs,,
Access Relief and Development,Other,,
Access to Quality Education Program,Public sector,,
Accio Solidaria IGMAN,NGOs and CSOs,,
Accion Contra el Hambre,NGOs and CSOs,,
ACDI/VOCA,NGOs and CSOs,,
ACE Charitable Foundation,NGOs and CSOs,,
Aceh’s People Forum,NGOs and CSOs,,
ACF - Canada,NGOs and CSOs,,
ACF - France,NGOs and CSOs,,
ACF - Spain,NGOs and CSOs,,
ACF - UK,NGOs and CSOs,,
ACF - USA,NGOs and CSOs,,
ACFOA,NGOs and CSOs,,
ACH - UK,NGOs and CSOs,,
ACH-UK/INTERMON,Other,,
ACT Alliance,NGOs and CSOs,,
ACT Alliance ,NGOs and CSOs,,
ACT Alliance / Act for Peace,NGOs and CSOs,,
ACT Alliance / Amity Foundation,NGOs and CSOs,,
ACT Alliance / Bread for the World,NGOs and CSOs,,
ACT Alliance / Canadian Lutheran World Relief,NGOs and CSOs,,
ACT Alliance / Christian Aid,NGOs and CSOs,,
ACT Alliance / Christian Aid Ministries Nehemia,NGOs and CSOs,,
ACT Alliance / Christian Aid UK,NGOs and CSOs,,
ACT Alliance / Christian Care,NGOs and CSOs,,
ACT Alliance / Christian Commission for Development in Bangladesh,NGOs and CSOs,,
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGOs and CSOs,,
ACT Alliance / Church of Sweden,NGOs and CSOs,,
ACT Alliance / Church World Service,NGOs and CSOs,,
ACT Alliance / Church World Service - Indonesia,NGOs and CSOs,,
ACT Alliance / DanChurchAid,NGOs and CSOs,,
"ACT Alliance / Diakonia, Sweden",NGOs and CSOs,,
ACT Alliance / Diakonie,NGOs and CSOs,,
ACT Alliance / Diakonie Austria,NGOs and CSOs,,
ACT Alliance / Diakonie Emergency Aid,NGOs and CSOs,,
ACT Alliance / Ethiopian Orthodox Church,NGOs and CSOs,,
ACT Alliance / Finn Church Aid,NGOs and CSOs,,
ACT Alliance / Finnchurchaid/ Mines Advisory Group,NGOs and CSOs,,
ACT Alliance / Hungarian Interchurch Aid,NGOs and CSOs,,
ACT Alliance / Icelandic Church Aid,NGOs and CSOs,,
ACT Alliance / Interchurch Organisation for Development Co-operation,NGOs and CSOs,,
ACT Alliance / Kerk in Actie - Netherlands,NGOs and CSOs,,
ACT Alliance / Life With Dignity,NGOs and CSOs,,
ACT Alliance / Lutheran Development Service,NGOs and CSOs,,
ACT Alliance / Lutheran World Federation,NGOs and CSOs,,
ACT Alliance / Lutheran World Relief,NGOs and CSOs,,
ACT Alliance / Lutheran World Relief (LWR/Canada),NGOs and CSOs,,
ACT Alliance / National Council of Churches of Kenya,NGOs and CSOs,,
ACT Alliance / Norwegian Church Aid,NGOs and CSOs,,
ACT Alliance / Presbyterian Disaster Assistance,NGOs and CSOs,,
ACT Alliance / Solidarité Protestante,NGOs and CSOs,,
ACT Alliance / Sudan Council of Churches,NGOs and CSOs,,
ACT Alliance / United Church of Canada,NGOs and CSOs,,
ACT Alliance / United Methodist Committee on Relief,NGOs and CSOs,,
ACT Alliance / World Renew,NGOs and CSOs,,
ACT Alliance / YAKKUM Emergency Unit,NGOs and CSOs,,
ACT Netherlands,NGOs and CSOs,,
ACT/Diakonie,NGOs and CSOs,,
Actavis Group,Other,,
Actelion,Other,,
Action Against Disasters Somalia,NGOs and CSOs,,
Action Against Hunger,NGOs and CSOs,,
Action Aid,NGOs and CSOs,,
Action by Churches Together (ACT),NGOs and CSOs,,
Action Contre la Faim,NGOs and CSOs,,
Action contre la Faim / contra Hambre / Against Hunger,NGOs and CSOs,,
Action Contre la Faim-Espagne,NGOs and CSOs,,
Action Contre la Faim-France,NGOs and CSOs,,
Action Contre la Pauvreté (ACP),NGOs and CSOs,,
Action de Dévelopement Durable en Afrique,NGOs and CSOs,,
Action de lutte contre la pollution des sources et des puits,Other,,
Action d'Espoir,NGOs and CSOs,,
Action d'Urgence InterNational,NGOs and CSOs,,
Action for Community Transformation Organization - Afghanistan,NGOs and CSOs,,
Action for Independent Media,Other,,
Action for Relief and Development,NGOs and CSOs,,
Action for Youth & Environmental Development,Other,,
Action on Armed Violence,NGOs and CSOs,,
Action pour le Bien Etre Communautaire (ABC),NGOs and CSOs,,
Action pour le Développement Intégral au Kivu,NGOs and CSOs,,
Action pour un Monde Uni,NGOs and CSOs,,
Action Solidarité Tiers Monde,NGOs and CSOs,,
ActionAid,NGOs and CSOs,,
ActionAid InterNational NEPAL,NGOs and CSOs,,
ACTIONAID InterNational ZIMBABWE,NGOs and CSOs,,
ActionAid-Uganda,NGOs and CSOs,,
Actions et Interventions pour le Développement et l'Encadrement Social,NGOs and CSOs,,
Actions Médicales InterNationale,NGOs and CSOs,,
Actions pour la Protection et l’Encadrement de l’Enfant,NGOs and CSOs,,
Actions pour le Developpement Integre en Mileu Rural,NGOs and CSOs,,
Active Development Aid,NGOs and CSOs,,
Active in Development Association,Other,,
Active Learning Network for Accountability and Performance,Other,,
ACU/START,Other,,
Acumet Catholic Parish,Other,,
Ad Council,NGOs and CSOs,,
ADA,NGOs and CSOs,,
Adam's Peak,Other,,
ADC Foundation,NGOs and CSOs,,
Admira,NGOs and CSOs,,
Adobe,Other,,
ADRA Cambodia,NGOs and CSOs,,
ADRA Canada,NGOs and CSOs,,
ADRA Denmark,NGOs and CSOs,,
ADRA Germany,NGOs and CSOs,,
ADRA Nepal,NGOs and CSOs,,
ADRA PASMIC,NGOs and CSOs,,
ADRA Sweden,NGOs and CSOs,,
ADRA UK,NGOs and CSOs,,
ADRA Yemen,NGOs and CSOs,,
