Donor,privatemoney,code,check,private?
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,private,#N/A,,
21 Century Unification Service Organization,no,#N/A,,
3Com,private,#N/A,,
3M,private,#N/A,,
A Call to Serve InterNational,no,#N/A,,
AABO AKADEMI UNIVERSITY,no,#N/A,,
Aadamiga USA,no,#N/A,,
AAGAHI,no,#N/A,,
Aamin Voluntary Relief Organization,no,#N/A,,
AAP,no,#N/A,,
AAPKI Foundation,private,#N/A,,
AASAA,no,#N/A,,
Aayo Development Foundation,no,#N/A,,
Abbott Laboratories,private,#N/A,,
ABC Children's Aid,no,#N/A,,
Abdul Latif Jameel Group,private,#N/A,,
Abo Akademi University,no,#N/A,,
Abraham's Oasis,no,#N/A,,
Abt Associates,no,#N/A,,
Abu Dhabi National Energy Company,private,#N/A,,
Abu Dhabi Tourism Authority,no,#N/A,,
Abyei Community Action for Development,no,#N/A,,
Academy Charity Teaching Hospital,no,#N/A,,
Academy for Educational Development,no,#N/A,,
ACBAR - Agency Coordinating Body for Afghan Relief,no,#N/A,,
Accenture,private,#N/A,,
Access Aid and Development,no,#N/A,,
Access Development and Relief Organization,no,#N/A,,
Access Relief and Development,no,#N/A,,
Access to Quality Education Program,no,Access to Quality Education Program,DAC governments,
Accio Solidaria IGMAN,no,#N/A,,
Accion Contra el Hambre,no,#N/A,,
ACDI/VOCA,no,#N/A,,
ACE Charitable Foundation,no,#N/A,,
Aceh’s People Forum,no,#N/A,,
ACF - Canada,no,#N/A,,
ACF - France,no,#N/A,,
ACF - Spain,no,#N/A,,
ACF - UK,no,#N/A,,
ACF - USA,no,#N/A,,
ACFOA,no,#N/A,,
ACH - UK,no,#N/A,,
ACH-UK/INTERMON,no,#N/A,,
ACT Alliance,no,#N/A,,
ACT Alliance ,no,#N/A,,
ACT Alliance / Act for Peace,no,#N/A,,
ACT Alliance / Amity Foundation,no,#N/A,,
ACT Alliance / Bread for the World,no,#N/A,,
ACT Alliance / Canadian Lutheran World Relief,no,#N/A,,
ACT Alliance / Christian Aid,no,#N/A,,
ACT Alliance / Christian Aid Ministries Nehemia,no,#N/A,,
ACT Alliance / Christian Aid UK,no,#N/A,,
ACT Alliance / Christian Care,no,#N/A,,
ACT Alliance / Christian Commission for Development in Bangladesh,no,#N/A,,
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),no,#N/A,,
ACT Alliance / Church of Sweden,no,#N/A,,
ACT Alliance / Church World Service,no,#N/A,,
ACT Alliance / Church World Service - Indonesia,no,#N/A,,
ACT Alliance / DanChurchAid,no,#N/A,,
"ACT Alliance / Diakonia, Sweden",no,#N/A,,
ACT Alliance / Diakonie,no,#N/A,,
ACT Alliance / Diakonie Austria,no,#N/A,,
ACT Alliance / Diakonie Emergency Aid,no,#N/A,,
ACT Alliance / Ethiopian Orthodox Church,no,#N/A,,
ACT Alliance / Finn Church Aid,no,#N/A,,
ACT Alliance / Finnchurchaid/ Mines Advisory Group,no,#N/A,,
ACT Alliance / Hungarian Interchurch Aid,no,#N/A,,
ACT Alliance / Icelandic Church Aid,no,#N/A,,
ACT Alliance / Interchurch Organisation for Development Co-operation,no,#N/A,,
ACT Alliance / Kerk in Actie - Netherlands,no,#N/A,,
ACT Alliance / Life With Dignity,no,#N/A,,
ACT Alliance / Lutheran Development Service,no,#N/A,,
ACT Alliance / Lutheran World Federation,no,#N/A,,
ACT Alliance / Lutheran World Relief,no,#N/A,,
ACT Alliance / Lutheran World Relief (LWR/Canada),no,#N/A,,
ACT Alliance / National Council of Churches of Kenya,no,#N/A,,
ACT Alliance / Norwegian Church Aid,no,#N/A,,
ACT Alliance / Presbyterian Disaster Assistance,no,#N/A,,
ACT Alliance / Solidarité Protestante,no,#N/A,,
ACT Alliance / Sudan Council of Churches,no,#N/A,,
ACT Alliance / United Church of Canada,no,#N/A,,
ACT Alliance / United Methodist Committee on Relief,no,#N/A,,
ACT Alliance / World Renew,no,#N/A,,
ACT Alliance / YAKKUM Emergency Unit,no,#N/A,,
ACT Netherlands,no,#N/A,,
ACT/Diakonie,no,#N/A,,
Actavis Group,private,#N/A,,
Actelion,private,#N/A,,
Action Against Disasters Somalia,no,#N/A,,
Action Against Hunger,no,#N/A,,
Action Aid,no,#N/A,,
Action by Churches Together (ACT),no,#N/A,,
