job_title,employer,employer_type,location,summary,contains_information,contains_analysis,contains_data
"Marie Stopes International - Senior Advisor, Partnerships and Resource Mobilisation",Marie Stopes International,NA,Londres,"About Us: Marie Stopes International (MSI) is a global organisation providing personalised contraception services to women and girls. Our local teams of professionals are passionate about the work they do in communities across 37 countries. The services we provide give a woman the power to choose when she has children so that she is free to pursue her plans and dreams for herself and her family. The primary responsibility of this role is to further MSI’s Goal: The Prevention of Unwanted Births and its mission of ensuring the individual’s right to : Children by Choice Not Chance. The Role: You’re going to play a vital role in in the future funding of Marie Stopes. In order to grow, we need to diversify our funding streams (with a commitment to double income from new and emerging donors in the next 24 months) and this is where you come in. We need someone who can look outside the traditional major donors of sexual and reproductive health (DFID, USAID, EU, Nordics, family foundations) to build relationships with emerging government donors who have perhaps not been a partner with MSI to date, for example in the Asia Pacific region (e.g. JICA) or new European donors (Belgium, France). You will help us understand how these governments might invest in Sexual and Reproductive Health and where we can partner with them. Not only will you need to look to new sources of revenue, but you’ll look to position MSI as a technical partner of choice. You’ll also be creative in your approach to building partnerships to deliver sexual and reproductive health services and rights. This might mean creating links with new sectors and how a focus on sexual and reproductive health and rights can support them in achieving their goals – and working with organisations we don’t yet know well. You’ll need to articulate and evidence arguments for investment from non-SRHR sectors - How does family planning support efforts to support girls’ education, for example? Essentially the world is your oyster – we need you to be innovative and you’ll be fully supported to ensure that fresh thinking can flourish. About you This isn’t your traditional Resourcing Mobilisation role – we’ll need you to be highly creative to create those new opportunities. You’ll need to have a new business mindset – not only the imagination to identify new sources of funding but the drive and ability to bring your vision to fruition. You’ll also need the experience, knowledge and gravitas to represent MSI to potential partners and donors with minimal supervision. Ideally, you’d have professional experience working with partners and donors outside of the Western context, but a clear track record of successful partnership building and resource mobilisation is most important. You will have successfully designed international fundraising and engagement workplans and demonstrated results within a clearly define timeframes, aligned with organisational strategy. You will have experience in market analysis and stakeholder mapping and will help us to move to a more comprehensive ‘client relationship management’ approach to our resource mobilisation efforts. You will have demonstrated your ability to track and convert political and cultural conversations into partnership opportunities and resource mobilisation efforts. Experience of working with advocacy colleagues to create proposals that address a wide range of elements in delivering development interventions is highly desirable. Your role will be to help us source funding for everything MSI does to deliver sexual and reproductive justice to all: service delivery, advocacy, metrics and evaluation and sector leadership. Development experience is essential although not necessarily in SHRH – while health related experience would be ideal, we would consider other backgrounds. In-country experience implementing service delivery contracts would be highly desirable. So if you think you’ve got what it takes to identify, grow and deliver new partnerships and new sources of funding, then this could be the role for you. What are you waiting for? In addition, you will be pro-choice on children by choice &amp; not chance Competencies: Collaborative: A confident communicator who is able to negotiate with diplomacy and build relationships at multiple levels. Strategic Vision : An analytical thinker who has the ability to see the bigger picture, identify opportunities and tailor strategic plans and adjust goals when circumstances change. Results Driven : A solution-focused individual who thinks ‘outside the box’ and can diplomatically challenge the status quo whilst maintaining harmony. Entrepreneurial and resourceful: A self-starter and creative risk taker who is able to act decisively when unexpected events present opportunities for advancing MSI’s global mission. Experience and Skills Demonstrated record in engaging and influencing donors, senior policymakers, and civil society agencies to deliver strategic outcomes, partnerships, and funding. Established network of relationships with politicians, decision makers, and international agencies across the UK and Europe. A track record in successful 1) fundraising and engagement with donors, with clear outcomes (SRHR experience preferred) and 2) legislative and policy engagement with policy makers, parliaments, and decision makers Excellent communication skills - excellent verbal and written English communication skills and ability to organise and present information in a compelling way International development experience ideally implementing service delivery programmes is an advantage. Demonstrated ability to conduct policy analysis and produce briefs or factsheets Strong analytical and strategic skills Ability to travel regularly within Europe, to the USA, Sub-Saharan Africa Ability to work independently and pro-actively Proficiency in French is desirable.",TRUE,TRUE,FALSE
"Director, Products Team - Small Growing Businesses",VisionFund International,NONPROFIT,London,"*Preferred location: United Kingdom. Other locations to be determined by home country of successful candidate in a jurisdiction (US state or countr) where VFI/WVI is registered to operate. PURPOSE OF POSITION: This role is a core senior Director role within what will be the new Products, Innovation and Partnerships Team (PIP). The core leadership focus over the next 18-24 months will be on the testing and development of the Small Growing Businesses (SGB) product for eventual wider rollout. Whilst that will be the core of the role during that time we envisage 25% to be also focused on wider innovation and product development within the PIP team, and that 25% will become 100% once SGB has been piloted. In SGB , VisionFund International’s objective is to pilot and develop an operation that is ready to become a global business to support lending and capacity building to Small and Growing Businesses with the aim of helping these businesses grow, create employment and economically uplift communities. The role will within the next 2 years lead the development and assessment of the potential for SGB to become within 5 years from now a separate business unit within VFI that can grow to $100m of portfolio operating across a substantial proportion of our MFIs in all our regions (Asia, Africa, Latin America and Eastern Europe), and serve over 10,000 SGBs and indirectly impact over1million children. Director, Global Products, Innovation &amp; Partnerships Team - Small Growing Businesses (DGPIP –SGB) will be responsible for piloting and developing this global line so that it is ready to be a business unit and, once approved by VFI’s Senior Executive Team as a viable core model, transfer under Operations as a separate business line. The role focuses on (1) piloting and evaluating various models and ways of providing services to SGB clients. (2) raising the funding and capital required to be prepared to go to scale. (3) operational oversight and management of this plan to demonstrate the potential for a sustainable future business stream at scale in terms of return and risk management and funding: Piloting and developing the overall operating product design(s) of an SGB business line across the designated pilot countries: Working within the Products team this role will create working models to provide services to SGB clients that include financial and non-financial services. The role will require design and monitoring skills combined with training and technical support to the various MFI entities. Capital and Fundraising: The role will be a proactive leader in raising the funding required with i) the support of WV Support Offices (SOs) and VF’s grants and philanthropy fundraising teams, ii) through building networks with, and developing products (in conjunction with the VF Finance team) for, the impact investing community and iii) working in partnership with grant providers and technical support providers. Operational Oversight: this role will oversee the delivery of the SGB Lending and Business Advice/Technical Advice programme, working with CEOs and SGB Managers in the MFIs. Operationally this involves the selection of SGBs, design and provision of credit (and potentially other financial products) to them, the delivery of Business Advice (BA) via our Customer Relationship Officers, and the identification of Technical Advice (TA) needs and identifying who to meet them. This also encompasses the measurement and reporting of financial and impact performance metrics. This business is expected to deliver a 20%+ ROE within 5 years. Crossing these core themes will be the development of a sophisticated evidence base to demonstrate impact for the clients in terms of employment growth and increased sales and profitability, not only to demonstrate this to existing supporters and investors, but also to expand fund/capital raising in new market segments. Wider GPIP Team Innovation role. The role will in addition provide support in the development of additional business models that have not been fully identified yet. Working with the Director for Products and Portfolio the role will seek to identify, pilot and develop other models that will both contribute to the delivery of VFs Mission and Vision, but be financially sustainable. KEY RESPONSIBILITIES: Leading the development of the donor, funding and impact investing products for SGB, in conjunction with SOs, fundraising teams, and meeting with potential donors and speaking at key industry conferences. Managing the development of SGB units in four plus units to ensure both high quality lending and the development of an effective SGB product that both clients in pilot countries, but in other countries are demanding. Modeling and testing various Business Advisory services that are effective and evidence based for our SGB clients. Work with local and global partners to start to build networks and capability for delivering specific TA in the various locations. Ensuring that we have high quality and reliable SGB impact reporting (financial and social) that shows success in improving client turnover, profitability and the creation of jobs. Managing twice yearly meetings of the SGB Advisory Board and continuing to seek out international best practice for continuous program improvement. Developing additional business models, and potentially units, for VFI. The role will include exploration of models, initial design and development of funding and business proposals. KNOWLEDGE, SKILLS AND ABILITIES: A minimum of a masters degree (ideally in development, social sciences, economics, banking or business administration) – or work experience demonstrating an equivalent level of analytical and conceptualization skills. Strong financial modelling and analysis skills and computer literacy. Robust expertise in developing a business, ideally from scratch. Proven training and coaching skills and a strong sense of entrepreneurship. Expertise in market research, product development, impact assessments. Excellent interpersonal, communication, public speaking and networking skills. Ability to mix strategic, high level thinking with practical detail oriented tasks as needed. A self starter with excellent business sense and the ability to develop new products for MFI clients and for impact investors. Intercultural communication abilities in order to deliver training and provide support to individual MFI entities in design and support in the development of SGB (and other new) products. Ability to partner with MFI staff and help them overcome obstacles. Significant (at least 10 years) strategic level experience of leadership roles in the operations and/or funding of business advice, or SME lending, ideally in a banking or microfinance organization. Experience of working in, or closely with, impact investors and Experience of fundraising/grant acquisition. Operational, management and financial skills sufficient to create detailed plans, raise funding and execute the implementation of new products and operations. Proven ability to live and thrive in difficult operating environments (travel will be up to 30% of the time). A networker who can match the interests of the clients and gap in the microfinance market with the interests of donors and impact investors, to develop products that will meet the needs of both. Fluency in written and spoken English is required (in addition, French and/or Spanish would be an advantage). Preferred Skills, Knowledge and Experience: Banking, portfolio management and credit analysis experience, in particular for SMEs, ideally with a related professional banking or accounting qualification. A strong networker with knowledge of impact investing ecosystem and major players, and related risk products. Innovation background. Institutional donor and Foundations grant fundraising. Spanish speaking would be an advantage. Product development experience in a microfinance institution would be preferred. Ability to lead and be a strong team player in a global, multi-cultural, virtual-working setting. Experience in management or business consulting within the private sector. Managing a decentralized global business or development program. Delivery of business and technical training and advice to small businesses and microfinance colleagues. Production of impact based evidence studies. Deep understanding of the WV Partnership’s identity and mission and VFI’s identity and mission within that, would be an advantage. Work Environment/Travel: The position requires ability and willingness to travel domestically and internationally up to 30% of the time.",FALSE,TRUE,FALSE
A4ID Pro Bono Legal Services Officer,Advocates for International Development,NONPROFIT,London,"Days: 5 days / week FT Salary: £30,000 per annum Reports to : Pro Bono Legal Services Manager Applications Close : Sat 21st April at 10:00 Interviews : Tue 1st May A4ID is currently recruiting for a Pro Bono Legal Services Officer to be based in our offices in London, UK. The Pro Bono Legal Services Officer will assist with the coordination of the brokering of international pro bono opportunities by A4ID, bringing together legal experts and those working towards the Sustainable Development Goals, ensuring all those who need legal advice can access it. They will also help development organisations to understand what their legal needs are and then put them in touch with the legal experts who can assist. The post holder will be responsible for maintaining the project system in an efficient manner and for maintaining and developing relationships with Legal and Development Partners in relation to the pro bono broker service. Candidates will have qualified as a lawyer and have experience working in legal practice. They should be self-motivated and flexible in their approach, with excellent communication skills and the ability to represent the organisation to an external audience. Importantly, candidates should be enthusiastic and committed to the objectives of international development and ethos of the international development sector.",FALSE,FALSE,FALSE
INDONESIA | Pro Bono Financial Consultant @ Ocean and Environmental Protection Non-Profit | 2-4 Months,Accounting for International Development (AfID),SOCIAL_ENTERPRISE,London,"Based on the beautiful Indonesian Island, Bali, famous for its iconic beaches and coral reefs, our partner works to keep the oceans free from waste, educate communities and protect the local environment. Their Community Environment and Skills Centre is already leading beach clean ups and providing educational programmes for schools, local government and businesses on waste management, recycling and composting. The organisation is now in need of professional accounting expertise to help them continue in this vital work. The finance staff have not always been qualified or stayed long with the organisation. Their accountant is a graduate from the organisation’s education programme and although she is doing her best, she has not studied accounting beyond high school level. Therefore a financial expert is needed to provide the training, coaching and guidance required to enable her to reach her full potential. Your role will begin with an internal review of our partner’s current financial systems, procedures and controls before implementing your recommendations for best practice. In particular, the organisation would like to develop their financial policy and introduce monitoring procedures. This voluntary assignment is a unique opportunity to apply your professional skills in an international development setting, significantly contribute to the support and development of local staff and have a lasting impact. If you are a qualified accountant, looking to make a difference and gain relevant international experience to help you transition into the sector, this could be the perfect opportunity for you. _________________________________________ Feeling inspired? Need a fresh challenge.. to do something worthwhile? Keen to volunteer &amp; share your skills &amp; experience? If that's a YES (x3) , please click here and find out how we can individually tailor a volunteer placement that's right for you. Click the 'apply now' button if you would like to find out more about volunteering overseas. We are confident you’ll encounter a variety of new and exciting challenges, share new experiences with inspiring people and learn skills that will give you confidence to face challenges in other areas of your life. You’ll be inspired and get back so much more than you give!",FALSE,FALSE,FALSE
"DEPUTY DIRECTOR FOR RESEARCH (EU, TURKEY AND BALKANS) - LONDON","Amnesty International, International Secretariat",NONPROFIT,London,"The Europe Regional Office is now seeking an experienced human rights expert to be based in London to manage our research work on EU, Turkey and Balkans and develop strong strategies to document human rights abuses and violations, as well as to advocate for justice and the protection and promotion of human rights. ABOUT THE ROLE Reporting to the Regional Director for Europe, the Deputy Director for Research (EU, Turkey and Balkans) will coordinate the development and implementation of the research and advocacy strategies for the sub-region, as well as supporting broader regional thematic issues where relevant. You will contribute to deliver powerful regional and country research reports and other publications that inspire people to act. You will manage a group of experienced researchers and human rights experts and develop and oversee innovative research strategies and methodologies. You will represent Amnesty International in the field and elsewhere, including with senior government officials, media, peer organizations and other audiences. At the same time, you will work closely with the Regional Director to manage the regional operation, manage budgets and motivate and inspire regional staff. Indeed, you will be integral to the corporate management of the International Secretariat, deputizing for the Regional Director whenever necessary. ABOUT YOU You will be an expert on the human rights context in the region, with a strong background in research and advocacy, possessing impressive political judgement and management skills. You are likely to come to us from a similar role with another human rights organization and will have first-hand knowledge of the European region. The proven ability to get the best out of people is vital too, whether that is through coaching, mentoring, capacity building or training. Having worked in a similar leadership role in a complex human rights organization, you have no problem managing cross-functional, multi-cultural teams; and you certainly know how to adjust priorities, hit deadlines and adapt to fast-changing political situations. You have excellent external representational skills. Above all, you have the collaborative and creative approach needed to generate human rights agendas that resonate and get results. You will have excellent written and oral English and French as an essential requirement with any other language skills an advantage. ABOUT US Amnesty International is a global movement of more than 7 million people who campaign for a world where human rights are enjoyed by all. We reach almost every country in the world and have: more than 2 million members and supporters who drive forward our fight for rights more than 5 million activists who strengthen our calls for justice Our aim is simple: an end to human rights abuses. Independent, international and influential, we campaign for justice, fairness, freedom and truth wherever they're denied. And whether we're applying pressure through powerful research or direct lobbying, mass demonstrations or online campaigning, we're all inspired by hope for a better world. One where human rights are respected and protected by everyone, everywhere. At Amnesty International, we are passionate about what we do and we are proud of our achievements as a movement. To compensate our employees for the wonerful work they do, we reward them through a combination of an attractive and sector competitive salary and benefits package, high levels of engagement and involvement, and a commitment to employee development. Benefits include 37 days annual leave (inclusive of public holidays and grace days), pension scheme, employee assistance programme, life assurance and many more benefits designed to suit your own personal lifestyle. All of this, in a professional, engaging environment. For further information on our benefits, please visit https://www.amnesty.org/en/careers/benefits/ WHAT WE HOPE YOU WILL DO NEXT If you are talented, passionate about human rights and want to use your skills, knowledge and experience to change the world then we would encourage you to click ‘ Apply for this Role ’ below. Freedom, Justice, Equality. Let's get to work.",TRUE,FALSE,FALSE
Program Director,The Syria Campaign,NONPROFIT,London,"ABOUT THE ROLE: The Program Director will be responsible for overseeing the work of a creative and talented team delivering campaigns, programmatic work and creative interventions to support Syria’s heroic civil society. They will support the Executive Director in ensuring the smooth running of the organisation and maintaining strong team culture. This role will play a key leadership role within the origanisation. ABOUT YOU: You are a leader. You are comfortable leading teams, processes and visions for work. You know how to get the best from those working alongside you and people want to work with you. You build relationships. You know that strong relationships and teamwork is the key to getting things done inside the team and with partners beyond. You are a maker. You are motivated by ideas and driven to make things happen. You spot opportunities for impact and are comfortable with both scrappy quick turnaround content and large-scale ambitious interventions. You take risks. You know that sometimes what is needed hasn’t been done before so you’re willing to take risks to make things happen. You are results-focused and won’t allow process, dogma or jargon to get in the way. You are open to new paths to progress. You are values driven. You are motivated by a love for humanity. You want to work to support some of humanity’s heroes to get their voices into the world. You love what you do. You take great pride in your work and express that by pushing to take on new skills and opportunities that make you better at what I do. You are excited to come to work. ABOUT US The Syria Campaign is a human rights organisation that combines the best elements of creative communication, digital mobilization, storytelling, and political analysis with the aim of supporting the demands of some of the most courageous frontline humanitarians and activists in the world. Click here if you want to see more about the work we’ve done to date. ROLE REQUIREMENTS: THE ESSENTIALS Track record of leading teams for impact in the advocacy, campaign or civil society space Experience of managing individuals Experience of managing budgets and project teams to deliver specific projects Experience of inputting into organisational vision and strategy (both process and content) Strong teamwork skills, comfortable in a highly collaborative team culture and a hierarchical team structure ROLE REQUIREMENTS: THE BIG PLUSES Experience working on Syria or other conflict or post-conflict contexts Experience securing and reporting back on grants Experience being part of or working alongside national level civil society organisations Spoken and written Arabic THE DEAL The Syria Campaign is committed to making sure everyone on the team is happy, productive and motivated. Here’s how we do that: Salary is competitive and inline with international organisations. The job is remote and can be done anywhere in European, Middle Eastern or East Coast US time zones. We have small offices in New York, Beirut and London and provide you with a space in a co-working office wherever you are based. We have full staff retreats twice a year to keep us connected. We provide budget, time and support for your professional development. We give 25 days of leave a year, discretionary break over Christmas and New Year and public holidays. We offer family friendly parental leave policies. We are an equal opportunity employer and encourage applicants of diverse backgrounds. To apply, please submit an application click here and include a brief cover letter explaining why you are interested in the job and how your background has prepared you for this role. This role will remain open until we find our all-star new member.",FALSE,TRUE,FALSE
ROLE UK Programme Officer,Advocates for International Development,NONPROFIT,London,"Days: 5 days / week FT Salary: £30,000 per annum Reports to: ROLE UK Programme Manager Applications Close: Monday 30th April at 09:00 Interviews: Wednesday 9th May 2018 Advocates for International Development and the Rule of Law Expertise UK (ROLE UK) Programme are currently recruiting for a full time Programme Officer to be based in our offices in London, UK. We to recruit an enthusiastic, independent and confident Programme Officer whose responsibilities will be wide, varied and fast moving. This exciting opportunity will include assessing applications for ROLE UK assistance and sourcing legal experts to deliver ROLE UK Assignments, which are short-term international Rule of Law development projects involving UK pro bono legal experts. The Programme Officer will also provide direct support to the ROLE UK Programme management team and play an active role in the monitoring, evaluation and learning aspects of the ROLE UK Programme. Candidates should have experience working in international development projects and in implementing monitoring and evaluation processes. They should be able to communicate well face-to-face and in writing and be able to produce accurate reports to deadlines. The role will involve working with a wide range of people from across the world and candidates should be comfortable in developing and managing these relationships. Candidates should also have excellent IT and coordination skills and be committed to international development and the efforts towards the Sustainable Development Goals. All applications are to be made by way of the Application form (link) Completed application forms should be returned to naomi.barnard@a4id.org no later than 09:00 (BST) on Monday 30th April 2018. Applications received after the closing date may be considered at the discretion of A4ID. Interviews will take place in London on Wednesday 9th May 2018. If you have any queries about the role, please email naomi.barnard@a4id.org.",FALSE,FALSE,FALSE
Managing Director,SumOfUs,NONPROFIT,London,"Deadline to apply: 11.59PM Eastern Standard Time, Monday, April 30, 2018 Summary SumOfUs is looking for an experienced non-profit leader to work side by side with our Executive Director. This is a full-time position, requiring a minimum of 32 hours per week. The position can be based anywhere that is compatible with working with colleagues in both Europe and North America, and can be filled remotely. The Managing Director will be a critical part of our leadership team, responsible for overseeing staffing and team performance, organisational culture and learning, and, in partnership with the Executive Director, organisational strategy. The ideal candidate has 8+ years experience supervising staff and working closely with leadership teams, ideally in a campaigning context. If you are passionate about working with people and in fast moving organisations, and are committed to our mission of corporate accountability, then this could be the perfect role for you. A bit about us SumOfUs is a community of people from around the world committed to curbing the growing power of corporations. We want to buy from, work for and invest in companies that respect the environment, treat their workers well and respect democracy. And we’re not afraid to stand up to them when they don’t. In an age of multinational companies that are bigger and richer than some countries, it can be easy to feel powerless. But there is a gap in their defenses. The biggest corporations in the world rely on ordinary people to keep them in business. We are their customers, their employees, and often their investors. When we act together, we can be more powerful than they are. Together, our community of millions act as a global consumer watchdog – running and winning campaigns to hold the biggest companies in the world accountable. Here are some things you might do Oversee staffing and team performance Work with senior management to develop staffing and resourcing strategies, including hiring plans and budgets, as well as team allocations Manage recruitment and onboarding processes across the organisation, and support new managers in learning how to hire and supervise staff Manage performance review and accountability systems across the organisation, with a special focus on ensuring equity and progressive values are reflected in the way we manage performance and hold staff accountable Organisational culture and learning Work with our Anti-Oppression Leadership Team, our HR team, and senior leadership to nurture and help grow SumOfUs culture Manage professional development and learning across the organisation, including identifying and filling training needs, and building learning cycles into our day to day work Organisational strategy Support the Executive Director in the development of organisational strategy, and in monitoring and evaluating progress against organisational vision Maintain open lines of communication throughout the organisation around strategy, direction and vision In close coordination with the Executive Director take on special or ad hoc organisation wide projects as needed (specific projects to be determined based on experience and skill-set of successful candidate) Management/other Supervise a range of senior SumOfUs staff (specific staff to be determined based on experience and skill-set of successful candidate) Serve on SumOfUs’s Organisational Leadership Team, which guides overall organisational strategy The Managing Director will report to the Executive Director. We need someone who We have no formal education requirements – if you can do and grow with the job, that’s all that matters. This role requires some who: Has experience supervising staff and managing large and diverse teams, preferably in a campaigning or non-profit context Has demonstrated organisational strategy, HR, facilitation, or people management skills Is fluent in written and spoken English (our language of operation) Big pluses include Formal training or demonstrated experience in HR, preferably in workplaces that are unionised or have a staff association Proficiency in major world languages other than English -- especially German, French or Spanish Has a deep understanding of the MoveOn/Avaaz/38 Degrees/GetUp/Campact model of rapid-response digital campaigning Experience working closely with communities affected by corporate accountability issues -- from indigenous communities to low-wage workers Extensive network of community organizations, non-profits and advocacy groups, and a political understanding of key world regions Member focused fundraising experience, or experience managing/running campaigns in a digital context SumOfUs is an equal opportunity employer. It is the policy of SumOfUs to provide equal employment opportunity to all applicants for employment and employees and not to discriminate because of race, color, sex, age, religion, national origin, disability, marital status, personal appearance, veteran status, disability, sexual orientation, gender identity or expression, family responsibilities, matriculation, genetic information, or political affiliation. Equal employment opportunities will be provided in employment, recruitment, selection, compensation, benefits, promotion, demotion, layoff, termination and all other terms and conditions of employment. People from communities that traditionally experience discrimination on the basis of race, ethnicity or immigration status; women; people with disabilities; and LGBTQ+ people are especially encouraged to apply.",TRUE,FALSE,FALSE
Internal Audit Manager,Malaria Consortium,NONPROFIT,London,"Malaria Consortium is recruiting for a Internal Audit Manager to join our team in London, UK. The role of Internal Audit Manager is regarded as integral to the organisation’s structure and is responsible for assessing the adequacy and effectiveness of the system of risk management and internal controls; reviewing and evaluating compliance with policies, plans, procedures, donor agreements, laws and regulations; assessing the reliability and integrity of information; and the safeguarding of assets including people. This encompasses all areas of its operation from programme management, technical, human resources, operations, finance and IT. The Internal Audit Manager will be expected to appraise and test these systems to provide assurance on their adequacy to effectively accomplish Malaria Consortium’s objectives. The role of Internal Audit Manager must also monitor and drive the implementation of recommendations to promptly and effectively correct internal control weaknesses. The Internal Audit Manager will conduct investigations to detect and quantify or prevent irregularities at the request of the Chief Executive, Chief Finance Officer and the Board of Trustees. The role needs to be aware of risks facing the organisation both internally and externally and support management to adopt solutions which address the root cause analysis of issues identified The successful candidate will have: Qualified CIPPF, MIIA, ACA, CPFA, CIMA, Accountant or other professional accounting/auditing qualification or equivalent. A minimum of six years of auditing experience at a senior level in a medium to large sized internationally recognised professional accounting firm or organisation. Experience of working internationally. Sound knowledge and experience of auditing not-for profit organisations. * All candidates must have the right to work in the UK",TRUE,TRUE,FALSE
IT Systems Coordinator,Malaria Consortium,NONPROFIT,London,"Malaria Consortium is recruiting for a Systems Project Coordinator to join our team in London, UK. The Systems Project Coordinator will support the development of several system projects within the organisation including e-learning, travel approval and expenses on-line, resource management upgrade, payroll implementation and PS Financials improvements and integration. The role will project manage the system projects providing specific support on the IT elements of the projects and coordinating meetings and inputs from relevant staff to implement the projects. The successful candidate will have: Experience working on IT implementation projects, including training Bachelor’s degree in Computer Science, Information technology, computer engineering or related field Good knowledge of Microsoft software and systems and experience of working with multiple applications for organisation processes Experience of writing documentation for system applications Good organisational, analytical, oral and written communications skills in English; demonstrated supervisory skills, and ability to work well on teams Evidence of strong attention to detail Evidence of problem solving ability Strong grasp of computer security Motivated and enthusiastic that drives a “can do” attitude Candidates must have the right to work in the UK be considered for this post. Due to the urgent nature of this role interviews will be held on an ongoing basis, therefore early application is encouraged.",FALSE,FALSE,FALSE
