job_title,employer,location,summary,contains_information,contains_analysis,contains_data
"Supervisor, Transit Field Operations",Washington Metropolitan Area Transit Authority,"Turner, WA","Department Marketing Statement: WMATA is searching for a seasoned enterprise database administrator who understands the intricacies of the SharePoint platform and its associated web development technologies, who has a firm grasp on the development, implementation, and management of databases, data marts, data warehouses, and can handle manipulating data from the source to its destination. The qualified candidate will have extensive experience working in a formal software development lifecycle and in a production support environment, and capable of interacting with the customer to determine, develop, and implement production- and project-level changes in accordance with appropriate processes, standard operating procedures, and applicable best practices. Additionally, this person will be responsible for capacity planning, management, and reporting, as well as COOP planning and execution. This position requires a self-motivated individual with initiative, strong analytical skill, excellent oral and written communication skills, the ability to parlay thoughts and ideas into a grammatically correct and professional medium, and a strong desire to make the organization a better place. This is a rotating on-call position. Working knowledge of DocAve Public Sector, Clarity Service Desk, and HP Quality Center is a plus. Minimum Qualifications: Graduation from an accredited college or university with a bachelor’s degree in Information Systems, Computer Science, Information Management, Computer Engineering or a related field. Seven (7) years of progressively responsible experience in the field of Oracle, MS SQL Server database management/ information systems management. Substantial specific technical expertise of at least five (5) years of hands-on work in Oracle and Microsoft technology implementation and administration. Equivalent combination of accredited post high school education and relevant experience will be considered if candidate can effectively demonstrate progressively responsible experience in the field of Oracle and MS SQL Server database management/information systems management and thirteen (13) years of progressively responsible experience in an information technology environment with a concentration of six (6) years in Oracle and MS SQL Server database management. Medical Group: Satisfactorily complete the medical examination for this position, if required. The incumbent must be able to perform the essential functions of this position either with or without reasonable accommodations. Job Summary/Duties: This is an expert senior level technical and professional position that involves establishing and maintaining accurate and stable Enterprise database management systems consisting primarily of Oracle and Microsoft (MS) SQL Server database platforms. Employee performs the work as a lead member of the database administration team. The incumbent has the core responsibility for all WMATA production, QA, development and test databases and application environments across the enterprise. This includes installing, configuring, upgrading and monitoring these environments as appropriate, as well as providing overall leadership and expertise to the organization on how to best leverage the Enterprise DBMS and related tools and utilities in a multi-tiered environment. The incumbent is also responsible for effectively leading and/or participating in cross-functional project efforts and for thoroughly documenting appropriate procedure for all internal customer groups and external auditors that actively use and/or audit WMATA’s Enterprise database environments such as Oracle, MS SQL Server etc. The incumbent has full responsibility for enterprise-wide backup, disaster recovery and continuity of operation (COOP) for all Enterprise databases within WMATA. This position also requires extensive technical experience and thorough knowledge of all technical components of the WMATA System. The incumbent implements and maintains complex Enterprise application databases (custom or COTS), performs database tuning, continuous operation and disaster recovery. The incumbent has extensive latitude for independent judgment and action within general guidelines provided by the Program Manger. Leads in the management and planning of the overall maintenance and upgrade schedules of Enterprise databases on AIX and Windows environment. Provides mentoring and training for other information technology team members regarding the department’s tools, applications, policies and procedures. Functions as a point of contact to answer questions and provide technical leadership. Leads problem resolution efforts related to database and/or application outages, response time, space issues and various other technical problems. Serves as knowledge expert for Enterprise application/system issues. Represents IT at meetings and conferences, as well as with customers, consultants, and other stakeholders. Must be able to manage relationships with technical and functional staff. Provides expert-level knowledge in Oracle/MS SQL Server instance cloning techniques (database refresh). Monitors system, conducts performance tests and ensures performance to support a large number of users and processes. Evaluates and provides recommendations on new Enterprise database technologies and architectures and leads the planning and implementation of such initiatives. Conducts database capacity planning, trend analysis, and system I/O utilization with close coordination of AIX, Windows Operating System and SAN storage administrators. Provides expert-level knowledge in installation, upgrades, and maintenance of MS SQL Server Cluster databases and SAN storage. Develops and administers IT data standards, policies, and procedures. Ensures rigorous application of information security policies, principles and practices in the delivery of data management services. Ensures quality and adherence to IT established policy and procedures (e.g., System Development Life Cycle, project management methodology, continuity of operations plans (COOP)). The above duties and responsibilities are not intended to limit specific duties and responsibilities of any particular position. It is not intended to limit in any way the right of supervisors to assign, direct and control the work of employees under their supervision. Evaluation Criteria: Consideration will be given to applicants whose resumes demonstrate the required education and experience. Applicants should include all relevant education and work experience. Evaluation criteria may include one or more of the following:Personal Interview Skills Assessments Verification of education and experience Criminal Background Check Credit history report for positions with fiduciary responsibilities Successful completion of a medical examination including a drug and alcohol screening Review of a current Motor Vehicle Report Closing: Washington Metropolitan Area Transit Authority, a Federal contractor, is an Equal Opportunity / Affirmative Action employer. All qualified applicants receive consideration for employment without regard to race, color, creed, religion, national origin, sex, gender, gender identity, age, sexual orientation, genetic information, physical or mental disability, or status as a protected veteran, or any other status protected by applicable federal law, except where a bona fide occupational qualification exists. Our hiring process is designed to be accessible and free from discrimination. This posting is an announcement of a vacant position under recruitment. It is not intended to replace the official job description. Job Descriptions are available upon confirmation of an interview.",TRUE,TRUE,TRUE
Patient Services Coordinator/Medical Assistant,1138,"Washington, DC 20003","Facility open daily including weekends and holidays  Serves as the initial contact person at the medical practice, principally responsible for all front desk and reception activies. As needed, cross-trained to assist the back office as a Medical Assistant/Clinical Care Specialist/MA either during normal front office shirt or as back up for unplanned or scheduled CSS absences. Greets patients in a service oriented and professional manner, answers phones, monitors the reception area for patient comfort and potential emergencies, registers and submits charges for patients. Assists in coordinating patient care from an administrative perspective.  Qualifications EDUCATION: High school graduation or equivalent; completion of an approved Medical Assistant program. EXPERIENCE: 1 year experience working in an ambulatory care medical office, preferably in a paperless environment; minimum of externship in a medical or ambulatory health setting. 2 years back office medical experience strongly preferred. LICENSE/CERT/REG: CMA (Certified Medical Assistant) by the American Association of Medical Assistants or RMA (Registered Medical Assistant) through the American Medical Technologists within 6 months from hire date; CPR Certification. SKILLS: Ability to type 40 words per minute; basic computer skills; excellent verbal /written communication and customer service skills. Clinical competency as verified during the initial 90 day orientation period and annually thereafter. Computer and Electronic Medical Record skills and ability to function in a variable clinical setting.",FALSE,FALSE,FALSE
Account Executive - Outside Sales,CHUTE MASTER ENVIRONMENTAL,"Washington, DC","Growing Indoor Environmental Company is seeking a disciplined, motivated candidate to join its Sales Team. The position is a true outside sales opportunity complete with commissions and bonus structure. Territory is for Washington DC/ Northern VA/ Maryland area. Some college course work is preferred - Serious Candidates only - Safe, Clean automobile and drivers license requiredJob Type: Full-timeSalary: $50,000.00 /yearExperience:Sales: 2 years (Preferred)",FALSE,FALSE,FALSE
Meetings and Program Coordinator,American Fisheries Society,"Bethesda, MD 20814","The American Fisheries Society seeks a Program Coordinator to assist in the planning and organization of all aspects of the meetings function in a growing portfolio of events. These events include the AFS annual meeting and, where requested through a partnership agreement, works with Divisions, Chapters and other AFS units and partners in providing general meeting support, administrative support and event service coordination. Works with suppliers, service providers and hotels on a variety of activities related to the event. Works with vendors on contracts, reviews contracts, and provides administrative support for contract management. Builds expertise in meeting management through training and certification as a meetings management professional. Provides support for the Meetings Advisory Committee. Additionally, the position assists department managers with marketing strategies and support promoting programs and services.Bachelor degreeRequired: 2+ years of experience, preferably in a nonprofitPreferred: Additional experience organizing events and working with meeting management and preferably marketing.Required: Excellent organization and time management, communication and customer service, MS Office, database and web editing skills.Preferred: Knowledge of WordPress sufficient to develop and edit simply web pages. Familiarity with iMIS or other membership database systems or ability to learn iMIS sufficient to do basic queries and editing. Background in meeting management with desire to complete coursework towards Certified Meeting Professional.Up to 10% travelJob Type: Full-timeRequired experience:Meeting Planning: 2 yearsRequired education:Bachelor's",FALSE,FALSE,TRUE
"Administrative Assistant, Public Policy",Facebook,"Washington, DC","(Washington, DC) Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started. Facebook is seeking an experienced Administrative Assistant to support a VP and an operations manager.  The person in this role will need to be a masterful problem-solver and an organizational force given complex calendaring and heavy travel planning. Additionally, the ideal candidate will have exceptional communication skills, and will be resourceful in building relationships across the larger Facebook ecosystem.  This position is full-time. Responsibilities Coordinate internal and external meetings for multiple executives Manage hectic and complex calendars Prepare expense reports and purchase requisitions Coordinate both domestic and international travel arrangements Organize space planning and large offsite events General office duties as needed Build cross-functional relationships between departments Minimum Qualifications 4+ years of experience providing administrative support to 1 or more executives 4+ years of experience coordinating travel logistics on behalf of 1 or more executives 4+ years of calendar management and expense report management experience for 1 or more executives Experience prioritizing multiple projects Experience with Microsoft Office Preferred Qualifications BA/BS Experience with concur and Keynote We're proud to be the #1 Best Place to Work on Glassdoor's Employees' Choice awards. Learn more: www.fb.careers/fb1",FALSE,FALSE,FALSE
Magazine Editor,American Fisheries Society,"Bethesda, MD 20814","American Fisheries Society (https://fisheries.org/) seeks experienced editor for monthly membership magazine Fisheries . Requires creativity, as well as strong editing, organizational, and decision-making skills. Responsible for soliciting magazine content, copy-editing and adherence to schedules. Works closely with authors, magazine science editors, and publisher. Knowledge of scientific editing and society publishing preferred; science background and design skills are a plus. BS/BA required, with 5 years of writing/editing experience. Located in Bethesda, MD near Grosvenor-Strathmore Metro (0.8 mile). Send cover letter and resumeJob Type: Full-timeSalary: $50,000.00 /yearRequired experience:writing/editing: 5 yearsRequired education:Bachelor's",FALSE,FALSE,FALSE
COUNTRY DESK OFFICER,U.S. Federal Government,"Washington, DC","Duties Summary This position is located at Peace Corps headquarters within the Office of Global Operations and directly supports one of three Regions: Europe, Mediterranean and Asia; Inter-America and the Pacific; and Africa. Each Region is responsible for coordination of all issues between Peace Corps/Washington and the overseas staff, and the analysis, evaluation and monitoring of Regional programs. The Country Desk Officer (CDO) is responsible for a number of host-countries as determined by the assigned region.  The CDO is Peace Corps' authority on the countries of assignment and as such is responsible for the discharge of a variety of activities which include: receiving, evaluating, and monitoring program and country documents; interpreting and advising on Peace Corps programming, country management, and administrative policies; monitoring overseas operational, logistical, and Volunteer and Trainee activities; and establishing and maintaining liaisons with appropriate embassies, government agencies, private institutions and individuals. The incumbent of this position must be sensitive to the political, economic and cultural conditions in the host countries and the impact of those conditions on Peace Corps programs and operations.  Responsibilities The Country Desk Officer performs the following major duties: Serves as a Peace Corps/Washington representative of overseas staff, Volunteers and Trainees. Functions as the technical authority for the resolution of an extensive range of program support issues and problems. Receives, monitors, and evaluates program and country documents. Prepares reports, statistical information, and other materials needed by staff members to support various functions and projects. Interprets and advises on Peace Corps programming, country management, and administrative policies and decisions. Monitors overseas operational, logistical, and Volunteer and Trainee activities. Assists in analyzing program, budgetary and fiscal data, and monitoring expenditures and forecasting changes that require reprogramming of funds. Establishes and maintains liaisons with appropriate embassies, government agencies, private institutions and individuals. Researches and prepares a variety of written materials related to administrative or program work, such as correspondence, memoranda, or press releases. Please note: these duties reflect those at the higher grade level. Travel Required Occasional travel - Selectee may be required to travel to countries of assignment within a specified region. Supervisory status No Promotion Potential 04 Who May Apply This job is open to… United States Citizens Current or former Federal employees. Internal agency employees; including agency temporary employees, eligible agency Experts, and eligible agency personal services contactors Questions? This job is open to 3 groups. Job family (Series) 0301 Miscellaneous Administration And Program Requirements  Requirements Conditions of Employment U.S. Citizenship. Ability to obtain and maintain a Secret clearance is required. Ability to travel overseas. Intelligence Background Information  Peace Corps Manual Section 611 is applicable to this position. This section prohibits the employment of certain persons previously engaged in intelligence activities or connected with intelligence agencies within the past 10 years. If you have ever worked for the Central Intelligence Agency (CIA), you are not eligible for employment at the Peace Corps in any capacity, and you should not apply for employment.  PC-1336 Form: Applicants who are found to be otherwise qualified will be required to submit upon request in the future a completed PC-1336 form , or narrative signed statement , indicating whether the applicant has been involved in or has had any connection with intelligence activities or related work and, if so, the nature and dates of his or her involvement. Failure to meet this requirement will result in the applicant being rated ineligible for further consideration. If you have any other type of possible intelligence connection, your application will not be further considered until you submit this form. Except when the CIA or the National Security Agency (NSA) is involved (see below) , if your connection with an Intelligence Agency involves an immediate family member who works or has worked in intelligence, the immediate family member should complete the form, not the applicant. Usually relying on memory is sufficient to answer most if not all of the questions. If you have an immediate family member who works or has worked for the CIA, you should not give them this form to complete. Please contact your relative in person —not by phone, email, social networking, or any other means that is not in person— and ask him or her to contact the Office of General Counsel at the CIA. If your intelligence connection involves the NSA , you (or, if the connection is with a family member, that person) must contact NSA’s Office of the General Counsel at 410-854-3910 before submitting this form to Peace Corps. Qualifications You must meet the specialized experience at the grade level(s) in which you choose to be considered by 11:59 p.m. Eastern Standard Time (EST) on the closing date of the announcement. You will receive credit for all qualifying experience, including volunteer experience. To ensure full credit for your experience, please indicate dates of employment by month, day, and year and the number of hours worked per week in your resume.  This vacancy is being announced at two (2) grade levels: FP-6  Qualifying experience for the FP-6 level includes one year of specialized experience at least equivalent to the FP-7 or GS-7 equivalent grade level which is in or directly related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge, skills, and abilities to successfully perform the duties of the position. Specialized experience includes : Reviewing regulations and policies and applying them to limited and routine administrative work assignments involving domestic and overseas matters; and assisting in analyzing and recommending solutions to work processes, problems or issues.  or  One full year of graduate level education; or superior academic achievement. FP-5  Qualifying experience for the FP-5 grade level includes one year of specialized experience at least equivalent to the FP-6 or GS-8 grade level which is in or directly related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge, skills, and abilities to successfully perform the duties of the position. Specialized experience includes : Researching and analyzing established administrative issues involving domestic and overseas matters; acting as liaison with international partners and stakeholders, US Embassy personnel, or other USG agencies regarding administrative and/or organizational matters; reviewing and evaluating program and country documents; and preparing a variety of written documents, such as staff papers, status reports, or policy recommendations.  or  Master's or equivalent graduate degree; or two full years of progressively higher level graduate education leading to such a degree; or LL.B. or J.D., if related.  Additional information on qualification requirements is outlined in the OPM Qualifications Standards Handbook of General Schedule Positions. It is available for your review on the OPM web site at https://www.opm.gov/policy-data-oversight/classification-qualifications/ . Education This position has no Individual Occupational Requirements. Additional information Peace Corps Information This is a Federal civilian job in the Excepted Service. PC employees are paid on the Foreign Service scale and employment is limited NTE 5 years. Qualified internal applicants will be given first consideration. Additional hiring needs may be filled through this vacancy. National Service (e.g., volunteer) refers to paid & unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, community, student). Peace Corps is an equal opportunity employer and does not discriminate on the basis of race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, retaliation, parental status, military service, or other non-merit factors. Peace Corps is a drug free workplace and promotes a drug free environment. Peace Corps is committed to maintaining a diverse and inclusive culture. Our goal is to attract and develop the best and brightest from all lifestyles and backgrounds. Peace Corps strives to create a culture of inclusion where individuals feel respected and are treated fairly in all aspects of differences. Our commitment is to make a difference in the lives of people around the world. Peace Corps provides reasonable accommodation to applicants with disabilities. If you need a reasonable accommodation for any part of the hiring process, please notify the Office of Human Resources by calling 202-692-1200 or the Office of Civil Rights and Diversity on 202-692-2139. Decisions on granting reasonable accommodation are made on a case-by-case basis. Conditions of Employment Applicants must be U.S. citizens. You must successfully complete a background security investigation with favorable adjudication. Failure to successfully meet this requirement will be grounds for employment termination. All male applicants born after December 31, 1959, must have registered for the selective service. If selected for this position, you must sign a statement certifying your registration, or you must demonstrate exempt status under the Selective Service Law. Prior Intelligence Activity or Related Work: Individuals who have been engaged in certain intelligence activity or related work or who have been employed by or connected with an intelligence agency are ineligible for employment with Peace Corps. Acceptance of employment with Peace Corps precludes employment by certain intelligence organizations for a specific period of time, determined by the employing agency, after Peace Corps employment ceases. All Federal employees are required to have federal salary payments made by direct deposit to a financial institution of their choosing. A one (1) year trial period is required. This job has been identified as a testing designated position under our Drug-Free Workplace Program. Therefore, you must satisfactorily complete a drug test prior to being hired. As an employee, you will be subject to random drug testing. This is a bargaining unit position. If you have questions regarding this vacancy, you may contact peacecorpsjobs@peacecorps.gov . In the subject line, include the vacancy #, position title and closing date.  How You Will Be Evaluated You will be evaluated for this job based on how well you meet the qualifications above. Your application will be evaluated based on your resume, attached supporting documentation and your responses to the self-assessment questionnaire. Your materials will be evaluated to validate your possession of any required knowledge, skills, abilities (KSA) and/or competencies. The following competencies will be evaluated in the self-assessment questionnaire: Organizational Awareness Reasoning Customer Service Written Communication Oral Communication Please note that a complete application is required for consideration; including any documentation that is being used for qualifications. Your resume and supporting documentation will be reviewed by a Human Resources Specialist, which must support the answers you provided. Falsifying your background, education, and/or experience is cause for disqualification. To preview questions please click here .  Background checks and security clearance Security clearance Secret Required Documents  Required Documents In order to verify the information you submit electronically, a complete application package is required. This includes: a detailed resume, a completed electronic self-assessment questionnaire and the submission of any required documents. Resume: Include relevant work experience including job title, duties and accomplishments, employer name and address, supervisor name and phone number, start and end dates, hours per week & salary. If you are a current Federal employee or previous Federal employee, provide your pay plan, series and grade level (e.g. GS-0201-09). Veterans Documents: If you are claiming veterans’ preference, you must attach all required documentation; including a DD-214 reflecting the type of discharge, the SF-15 and a VA Letter if applicable. For more information regarding veterans’ preference, please review the OPM Vet Guide . Federal Employees: If you are a current or former Federal employee, please provide a copy of your most recent SF-50. Qualifications Based on Education or a Combination of Education and Experience: If you are qualifying based on education or a combination of education and experience, you must submit a copy of your transcript(s) or an appropriate course listing with a diploma. Education must be accredited by an institution recognized by the U.S. Department of Education in order for it to be used towards qualifications. Therefore, applicants must report only attendance and/or degrees from schools accredited by recognized institutions. Applicants can verify accreditation at the following website . If you are relying on your education to meet qualification requirements: Education must be accredited by an accrediting institution recognized by the U.S. Department of Education in order for it to be credited towards qualifications. Therefore, provide only the attendance and/or degrees from schools accredited by accrediting institutions recognized by the U.S. Department of Education . Failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. Benefits  Benefits A career with the U.S. Government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Learn more about federal benefits . Review our benefits Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. Contact the hiring agency for more information on the specific benefits offered.",TRUE,TRUE,TRUE
Customer Care Associate,DC Water,"Washington, DC","The Authority is seeking a highly motivated Customer Care Associate. Responsible for performing a variety of functions within the Customer Care Branch. Handles customer inquiries received by telephone or from walk-ins. Provides information and assistance to customers who present a broad range of complex issues and concerns. Determines appropriate course of action for emergency situations.  ESSENTIAL FUNCTIONS:  Responds to inquiries received over the Water Bill Action Line and from walk-ins. Applies analytical and evaluative methods and techniques to provide sufficient information to resolve substantive issues and problems. Issues and problems may involve compiling, reconciling and correlating data from a variety of sources. Exhibits positive action in representing the Authority in making final determinations on the customer’s inquiry or problem.  Acts as Authority representative at court proceedings (and/or administrative hearings) with DC Water‘s legal representative both with external and internal attorneys providing required documentation to support to water and sewer charges. Receives customers in the Business Office and satellite location and provides advisory services in relation to payment issues. Reviews the customer’s total situation in establishing payment plans, accepting request for investigations, and accepting payment for service restoration. Provides information to customers regarding resources for assisting them with payment of their bills, as well as participating in the annual Joint Utility Discount Day (JUDD). Prepares adjustments on accounts and submits for approval. Processes requests for final bills while ensuring that the Authority is in compliance with the District of Columbia Municipal Regulations (DCMR). Composes clear and concise correspondence that reflects the Authority’s position on complex issues and problems. Prepares various reports. Performs other related duties and projects as assigned at the discretion of the Supervisor, Call Center.MINIMUM QUALIFICATIONS: High School diploma or General Educational Development (GED) certificate and three (3) years of progressive experience in customer service. Ability to handle complex problems and issues independently. Excellent oral and written communication skills. Substantive knowledge of analytical and evaluative methods and techniques. Must be adaptable to working in a fast pace environment. Must possess strong computer skills. Skills in utilizing personal computer and maintaining sufficient knowledge of applicable software programs (i.e. word processing, spreadsheets, e-mail, etc.).  General Office conditions. We are proud to be an EEO/AA employer M/F/D/V. We maintain a drug-free workplace and perform pre-employment substance abuse testing.",TRUE,FALSE,TRUE
"Medical Receptionist - Front Desk, Evenings for PT Office",Sports Therapy And Rehabilitation,"Washington, DC 20036","Sports Therapy And Rehabilitation is seeking a Full-time, Evening, Front Desk Medical Receptionist for our physical therapy office.Like talking to people? Helping people get great Physical Therapy Care?We are one of the top private, practices in Washington, DC. with great Physical Therapy care and great Customer Service [That's where you come in the picture!]You arethe first person they talk towhen they are seeking pain relief! Interested?DETAILS: Monday - Friday 11am - 8 pm (Helping all the afterwork patients. They love the later time!)FULL BENEFITS: Medical/Dental Coverage, Holiday pay, Paid Leave, Smart Benefits, Retirement pay.EXTRA BONUSES: A fun work place! Great people! Bonus pay for Awesome work!You are the prime person to assist patients scheduling appointments, insurance questions, account balances and statement questions. You help them through the medical maze, so they can work on their recovery! Never a dull moment in this job!NEED: Excellent phone voice, medical receptionist experience, good math skills and ability to multi-task. Previous knowledge of insurance billing and terminology (coinsurance, deductibles, HMO, PPO, EOB) is REQUIRED.Visit us at www.sportstherapyandrehab.comINTERESTED? Send Resume to Attention: Natasha Harper : )Job Type: Full-timeSalary: $16.00 to $18.00 /hourExperience:Medical Receptionist: 1 year (Required)Education:High school or equivalent (Required)",FALSE,FALSE,FALSE
Administrative Assistant,"Aegis Quantum Solutions, LLC","Washington, DC 20018","Administrative assistant needed for CEO of small consulting firm. We are seeking someone who is task oriented, has a ""get it done"" attitude, and will be focused on the improvement of internal company operations.This is a part-time position 12-15 hours per week and telecommuting is required.Responsibilities:-Calendar Management-Setting appointments-Researching as needed-Coordinating with project managers and teams-Presenting weekly reports-Client relationsRequirements-Skills-Education:Flexible Schedule (is a must as some projects require various time commitments)Pass background checkReliable TransportationValid Drivers License with clean driving recordHave progressive knowledge of phone and desktop applicationsAssociates Degree or higher education completedReliable phone availabilityMicrosoft Suite and Google DocsSend resume and cover letterJob Type: Part-timeSalary: $16.00 to $18.00 /hourRequired experience:Administrative Assistant: 1 yearRequired license or certification:drivers license",FALSE,FALSE,FALSE
