columnType,budgetType,value,year,vote,sp_pj,page,programme
Wage,Recurrent Budget Estimates,"37,686,969",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Non Wage,Recurrent Budget Estimates,"24,529,528",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Total,Recurrent Budget Estimates,"62,216,497",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Wage,Recurrent Budget Estimates,"37,686,969",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Non Wage,Recurrent Budget Estimates,"23,127,113",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
GoU Dev't,Development Budget Estimates,"37,686,969",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
External Fin,Development Budget Estimates,"24,529,528",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Total,Development Budget Estimates,"62,216,497",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
GoU Dev't,Development Budget Estimates,"37,686,969",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
External Fin,Development Budget Estimates,"23,127,113",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Wage,Recurrent Budget Estimates,"41,195",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 03 Monitoring & Evaluation,108,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"582,000",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 03 Monitoring & Evaluation,108,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
