Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Programme
Recurrent Budget Estimates,ADJUMANI District,Central Government,"330,527",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:501,,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"179,981",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:501,,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"640,515",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:501,,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:501,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"338,635",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:501,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"141,449",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:501,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"94,080",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:501,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"30,000",o/w IFMIS District,2017/18 Draft Estimates,Vote:501,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"8,230",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:501,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"107,016",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:501,,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"107,016",o/w Adjumani Town Council,2017/18 Draft Estimates,Vote:501,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"142,802",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:501,,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"2,026,702",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:501,,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"238,325",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:501,,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"67,188",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:501,,Programme  01 Administration
Recurrent Budget Estimates,ADJUMANI District,Central Government,"324,575",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:501,,Programme  04 Production and Marketing
Recurrent Budget Estimates,ADJUMANI District,Central Government,"57,409",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:501,,Programme  04 Production and Marketing
Recurrent Budget Estimates,ADJUMANI District,Central Government,"4,517,656",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:501,,Programme  05 Health
Recurrent Budget Estimates,ADJUMANI District,Central Government,"4,517,656",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:501,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,ADJUMANI District,Central Government,"503,954",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:501,,Programme  05 Health
Recurrent Budget Estimates,ADJUMANI District,Central Government,"341,297",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:501,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,ADJUMANI District,Central Government,"162,658",o/w Primary Healthcare - Hospital Non Wage Recurrent,2017/18 Draft Estimates,Vote:501,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,ADJUMANI District,Central Government,"6,744,961",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:501,,Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"5,386,630",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:501,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"1,044,773",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:501,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"313,558",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:501,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"893,032",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:501,,Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"25,329",o/w Inspection,2017/18 Draft Estimates,Vote:501,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"392,897",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:501,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"411,862",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:501,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"62,945",o/w Skills Development - Non Wage Recurrent,2017/18 Draft Estimates,Vote:501,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,ADJUMANI District,Central Government,"46,819",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:501,,Programme  07 Works
Recurrent Budget Estimates,ADJUMANI District,Central Government,"6,607",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:501,,Programme  08 Natural Resources
Recurrent Budget Estimates,ADJUMANI District,Central Government,"59,448",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:501,,Programme  09 Community Based Services
Development Budget Estimates,ADJUMANI District,Central Government,"54,345",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:501,,Project  0100 PRODUCTION DEVELOPMENT
Development Budget Estimates,ADJUMANI District,Central Government,"154,706",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:501,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,ADJUMANI District,Central Government,"20,638",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:501,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,ADJUMANI District,Central Government,"277,132",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:501,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,ADJUMANI District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:501,,Project  1385 HEALTH DEVELOPMENT
Development Budget Estimates,ADJUMANI District,Central Government,"1,647,694",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:501,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,ADJUMANI District,Central Government,"79,201",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:501,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,ADJUMANI District,Central Government,"79,201",o/w Adjumani Town Council,2017/18 Draft Estimates,Vote:501,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,ADJUMANI District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:501,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,APAC District,Central Government,"3,014,666",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:502,,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"754,729",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:502,,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"839,997",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:502,,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:502,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"377,013",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:502,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"217,352",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:502,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"172,080",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:502,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"30,000",o/w IFMIS District,2017/18 Draft Estimates,Vote:502,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"15,431",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:502,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"38,014",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:502,,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"38,014",o/w Aduku Town Council,2017/18 Draft Estimates,Vote:502,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"224,897",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:502,,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"2,588,195",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:502,,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"382,150",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:502,,Programme  01 Administration
Recurrent Budget Estimates,APAC District,Central Government,"208,460",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:502,,Programme  04 Production and Marketing
Recurrent Budget Estimates,APAC District,Central Government,"69,208",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:502,,Programme  04 Production and Marketing
Recurrent Budget Estimates,APAC District,Central Government,"4,742,324",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:502,,Programme  05 Health
Recurrent Budget Estimates,APAC District,Central Government,"4,742,324",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:502,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,APAC District,Central Government,"395,196",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:502,,Programme  05 Health
Recurrent Budget Estimates,APAC District,Central Government,"232,539",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:502,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,APAC District,Central Government,"162,657",o/w Primary Healthcare - Hospital Non Wage Recurrent,2017/18 Draft Estimates,Vote:502,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,APAC District,Central Government,"13,138,759",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:502,,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"11,067,147",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:502,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"2,024,283",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:502,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"47,329",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:502,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"1,333,304",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:502,,Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"35,202",o/w Inspection,2017/18 Draft Estimates,Vote:502,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"913,757",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:502,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"384,345",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:502,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,APAC District,Central Government,"40,518",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:502,,Programme  07 Works
Recurrent Budget Estimates,APAC District,Central Government,"9,841",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:502,,Programme  08 Natural Resources
Recurrent Budget Estimates,APAC District,Central Government,"69,917",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:502,,Programme  09 Community Based Services
Development Budget Estimates,APAC District,Central Government,"68,705",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:502,,Project  0100 PRODUCTION DEVELOPMENT
Development Budget Estimates,APAC District,Central Government,"534,724",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:502,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,APAC District,Central Government,"303,070",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:502,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,APAC District,Central Government,"509,133",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:502,,Project  1384 WORKS AND TRANSPORT DEVELOPMENT
Development Budget Estimates,APAC District,Central Government,"1,003,051",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:502,,Project  1385 HEALTH DEVELOPMENT
Development Budget Estimates,APAC District,Central Government,"2,292,035",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:502,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,APAC District,Central Government,"19,786",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:502,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,APAC District,Central Government,"19,786",o/w Aduku Town Council,2017/18 Draft Estimates,Vote:502,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,APAC District,Central Government,"150,000",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:502,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,APAC District,Central Government,"150,000",o/w Support for Reconstruction of District Headquarters,2017/18 Draft Estimates,Vote:502,321472  Transitional Development Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,APAC District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:502,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,ARUA District,Central Government,"2,245,976",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:503,,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"1,473,541",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:503,,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"1,679,287",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:503,,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:503,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"668,186",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:503,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"514,732",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:503,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"404,640",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:503,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"30,000",o/w IFMIS District,2017/18 Draft Estimates,Vote:503,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"33,608",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:503,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"2,602,599",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:503,,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"623,518",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:503,,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"1,658,531",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:503,,Programme  01 Administration
Recurrent Budget Estimates,ARUA District,Central Government,"314,501",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:503,,Programme  04 Production and Marketing
Recurrent Budget Estimates,ARUA District,Central Government,"137,609",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:503,,Programme  04 Production and Marketing
Recurrent Budget Estimates,ARUA District,Central Government,"4,263,720",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:503,,Programme  05 Health
Recurrent Budget Estimates,ARUA District,Central Government,"4,263,720",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:503,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,ARUA District,Central Government,"984,717",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:503,,Programme  05 Health
Recurrent Budget Estimates,ARUA District,Central Government,"527,174",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:503,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,ARUA District,Central Government,"457,543",o/w Primary Healthcare - Hospital Non Wage Recurrent,2017/18 Draft Estimates,Vote:503,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,ARUA District,Central Government,"27,670,988",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:503,,Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"22,538,034",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:503,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"4,295,194",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:503,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"837,759",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:503,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,ARUA District,Central Government,"4,321,545",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:503,,Programme  06 Education
