@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_2014,value_2015,value_2016
W0_S1_G1,A,,,AN,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|PG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PG,S1311B,P1Y,XDC,6,GFSR,11875,11003.05336594,10485.550229
W0_S1_G1,A,A|GE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,GE,S1311B,P1Y,XDC,6,GFSR,7434.6,8170.5,8580
W0_S1_G1,A,A|AL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AL,S1311B,P1Y,XDC,6,GFSR,283133.94,296512.56,295499.89
W0_S1_G1,A,A|IR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,IR,S1311B,P1Y,XDC,12,GFSR,,,
W0_S1_G1,A,A|ZM|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,ZM,S1311B,P1Y,XDC,6,GFSR,31297.579,33577.104,39513.582
W0_S1_G1,A,A|SY|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SY,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|MW|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MW,S1311B,P1Y,XDC,9,GFSR,514.835037341403,609.5803955864,765.307840634231
W0_S1_G1,A,A|PS|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PS,S1311B,P1Y,XDC,6,GFSR,4032.77330163857,3744.13025084,
W0_S1_G1,A,A|GH|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,GH,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|YE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,YE,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|SR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SR,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|KH|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,KH,S1311B,P1Y,XDC,9,GFSR,12908.5839132879,13208.1572761072,16116.8124257651
W0_S1_G1,A,A|AZ|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AZ,S1311B,P1Y,XDC,6,GFSR,18395.7,17142.9,
W0_S1_G1,A,A|BD|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BD,S1311B,P1Y,XDC,9,GFSR,1518.8643,1516.37117,1790.88
W0_S1_G1,A,A|SN|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SN,S1311B,P1Y,XDC,9,GFSR,1935.46226970858,2093.436384858,2334.646054632
W0_S1_G1,A,A|CI|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CI,S1311B,P1Y,XDC,9,GFSR,2881.4402619847,3577.01716088656,3657.72280371387
W0_S1_G1,A,A|CV|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CV,S1311B,P1Y,XDC,6,GFSR,,,
