@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
W0_S1_G1,A,,,AN,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|PG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PG,S1311B,P1Y,XDC,6,GFSR,998.55,1212.5,1116.74,1310.15,1412.259,1598.471,1833.287,2094.796,2008.53,2484.591,2764.247,2835.436,2666.251,,,,,,,,,,,,11875,11003.05336594,10485.550229,
W0_S1_G1,A,A|GE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,GE,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,567.8,617.2,662.5,1240.5,2213,3293.3,4293.6,5517.7,4917,5421.5,6388.8,7058.2,6839.5,7434.6,8170.5,8580,
W0_S1_G1,A,A|AL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AL,S1311B,P1Y,XDC,6,GFSR,,,,,,48247,37879.898,45874.374,85752.469,,,,,,,,,,,,,260214.71,257257.47,248839.09,283133.94,296512.56,295499.89,
W0_S1_G1,A,A|IR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,IR,S1311B,P1Y,XDC,12,GFSR,5.6307,6.961,9.931,20.166,29.143,41.321,56.973,62.14,52.308,91.019635,114.7114050225,128.409846625,210.5682392,256.490851,342.992833,550.621278,625.110462,785.7316821,844.75738684,809.712,,,,,,,,
W0_S1_G1,A,A|ZM|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,ZM,S1311B,P1Y,XDC,6,GFSR,23.4462,44.1948,143.2882,301.9126,468.8548,606.278,770.5,950,1530.1,1844.4,,2590.310780746,2902.680924994,4814.067192797,6340.452569215,7973.880379717,8164.4,10094.643831292,11270.430595034,13522.622577451,15173.277284918,24028.639,24127.676,26807.516,31297.579,33577.104,39513.582,
W0_S1_G1,A,A|SY|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SY,S1311B,P1Y,XDC,6,GFSR,59402,80960,92038,95483,113156,131898,154017,,204553,216839,245611,305286,301658,320939,342465,356290,434865,458830,490904,600831,,,,,,,,
W0_S1_G1,A,A|MW|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MW,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,,,,207.874,256.372,272.176,257.48,471.390185967917,514.835037341403,609.5803955864,765.307840634231,
W0_S1_G1,A,A|PS|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PS,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,1925.292102,1886.78,2181,3596.04607642,3094.32296249,3277.49622857,3134.78874018,2951.2362725,3640.594771,4032.77330163857,3744.13025084,,
W0_S1_G1,A,A|GH|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,GH,S1311B,P1Y,XDC,6,GFSR,26.7322,39.062,36.6254,72.421,,,,,,,,952.0463,1032.4437,1640.546939,2494.827936,2933.323153,3270.354802,4576.581417,5634.583852,6802.680715,8858.852891,12934.791134,,,,,,
W0_S1_G1,A,A|YE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,YE,S1311B,P1Y,XDC,9,GFSR,25.303,38.049,32.381,37.453,41.985,90.887,215.407,288.738,304.903,282.268,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|SR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SR,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,594.527117,687.936392,920.829061,1106.35531181,1401.048238105,1739.9991553515,2367.9330634805,2354.69252427,2944.6426050046,2606.1518887818,3537.45911763,4217.379587,,,,,
W0_S1_G1,A,A|KH|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,KH,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,2369.50727,2122.38127837804,2497.445075449,3134.476858987,3398.544430458,4674.251,6199.759342172,6532.355136626,7770.49727996035,7873.9202203148,10409.9677,10971.3315,12908.5839132879,13208.1572761072,16116.8124257651,
W0_S1_G1,A,A|AZ|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AZ,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,10757.8,10320.7,11512.2,15831.7,17406.6,19664.1,18395.7,17142.9,,
W0_S1_G1,A,A|BD|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BD,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,268.10705,298.6718,336.68022,347.30267,399.993338,438.781612,500.199485,622.507141,697.384027,809.375413,982.6982,1211.9717,1406.8344,1518.8643,1516.37117,1790.88,
W0_S1_G1,A,A|SN|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SN,S1311B,P1Y,XDC,9,GFSR,,,,,,,496.1,497.8,535.5,568.4,612.2,663.8,,,,,,,,1304.2,1398.3431238,1525.6,1652.9,1658.98,1935.46226970858,2093.436384858,2334.646054632,
