@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
W0_S1_G13,A,A|GH|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,GH,S1311B,P1Y,XDC,6,GFSR,2.7821,3.6261,3.2696,6.6629,,,,,,,,262.7339,152.4583,332.819591,600.51415,629.363687,727.556816,949.003687,898.308365,1159.884406,1173.718501,1347.345009,,,,,,
W0_S1_G13,A,A|SE|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,SE,S1311B,P1Y,XDC,9,GFSR,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|PE|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,PE,S1311B,P1Y,XDC,6,GFSR,0.12,56.18,49.38,62.42,177.87,0,140.9,97.3,181.5,211.9,215.2,220.1,309,362,254.4,270.8,248.101057647,282.369266617105,301.7936451635,580.080622635532,555.68799669648,832.987896100614,602.870205591479,606.195679706379,523.953225687089,518.716562370959,248.39973312197,
W0_S1_G13,A,A|TL|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,TL,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,732,1278.5,1244.8,
W0_S1_G13,A,A|SI|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,SI,S1311B,P1Y,XDC,6,GFSR,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|GQ|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,GQ,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,
W0_S1_G13,A,A|WS|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,WS,S1311B,P1Y,XDC,3,GFSR,,,,,,,,,,,,,,,,,,,,,13914.4573,105123.5725,49316.8798,48126.33357,81833.62002,41166.9754,45426.2792,
W0_S1_G13,A,A|LT|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,LT,S1311B,P1Y,XDC,6,GFSR,,0.48,,5.5,2.2,,,,,,,,,,,,,,,,977.756,940.248232622799,885.628025949954,787.852447636701,733.288,702.61,430.6,
W0_S1_G13,A,A|SB|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,SB,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,434.17475725,432.07476091,1439.92972897,1254.5009,1175.4537,929.67752596,
W0_S1_G13,A,A|HR|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,HR,S1311B,P1Y,XDC,6,GFSR,,0,0,0,0,100,0,0,0,0,0,0,0,10.4,10.1,27.5,196,428,469,616.3,637.0872,868.9877,968.3779,1737.8248,2267.995,,,
W0_S1_G13,A,A|BY|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,BY,S1311B,P1Y,XDC,9,GFSR,,,4E-08,2E-08,0,0,0,3.63E-06,0,0,9E-06,0,0.000345,0.00277287,0.0023004,0,0,0,0,0,0.00137799788,1E-05,5E-05,7.761E-05,,0.83687639698,1.46261759,
W0_S1_G13,A,,,PA,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|CZ|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,CZ,S1311B,P1Y,XDC,9,GFSR,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|AM|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,AM,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,50.479637865,13.7174948,11.62996743,15.16626908,24.500776,14.97591058,21.69960249,30.5888194529,59.41603966,18.674636914,,17.25043034,29.891115331,31.42184304,
W0_S1_G13,A,A|MY|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,MY,S1311B,P1Y,XDC,6,GFSR,,,,,,,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
W0_S1_G13,A,,,EC,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|IL|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,IL,S1311B,P1Y,XDC,6,GFSR,6940.6,6458,9074,8229,7927,6340,12953,11437,12158,12327,16367.25972,17722.65531,19812.89136,18153.77199,14540.27384,14162.29976,18642.59217,14573.2411572628,14204.1027733311,12721.372848814,14850.87009,15451.66718,17298.1389633333,16907.5525899146,17914.5136236661,19582.5871780336,20956.298,
W0_S1_G13,A,A|LK|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,LK,S1311B,P1Y,XDC,9,GFSR,6.697,7.87,8.28,8.025,8.257,9.028,7.739,7.329,7.2,6.761,5.145,5.5,7.079,7.956,8.681,32.64,30.068,30.508,31.222,25.922,16.9085,15.141,16.071,15.859,9.4150272919,6.01385666863,7.49597331439,
W0_S1_G13,A,A|AR|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,AR,S1311B,P1Y,XDC,6,GFSR,0,0,0,0,0,0,0,0,0,0,0,0,1306,1258.14809295,2415.86779628,3307.6,4907.4,5667.1,8214.5,21494.3,15307,20751.1,28544.9,38175.5,50993.8,73559.91,100314.6,
W0_S1_G13,A,A|CN|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,CN,S1311B,P1Y,XDC,9,GFSR,48.22,49.03,55.86,60.03,57.01,61,60.39,60.38,59.71,59.81,59.91,59.1,63.79651,61.86,60.717,71.1958,78.73,86.279,165.783,0.656,0,0,,0,0,0,,
W0_S1_G13,A,,,CM,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|CV|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,CV,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,6610.770780499,6399.844733,5364.268117974,5864.919401,7537.2782773779,9440.295802,4343.278593,4202.536939,,,,,
W0_S1_G13,A,A|KW|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,KW,S1311B,P1Y,XDC,6,GFSR,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
W0_S1_G13,A,A|LC|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,LC,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,10.673,17.508,28.996,43.044,6.019382,4.2,3.267599,9.26773,20.683558,25.914074,64.028178,34.732613,23.089717,17.333812,59.479093,,,
W0_S1_G13,A,,,AN,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|LR|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,LR,S1311B,P1Y,XDC,3,GFSR,,,,,,,,,,,,,,,,3000,1000,1500,5687.774,,15813.585,40300,28250.34301,36372.81998,,,,
W0_S1_G13,A,A|JP|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,JP,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|GE|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,GE,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,48.1,22.6,48.4,144.7,104.5,194,208.6,617.1,387.7,471.4,263.1,323,238.9,278.7,315.6,296.8,
W0_S1_G13,A,A|CG|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,CG,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,3.7,3.7,9.9,99.6701451,46.968265076,80.4,62.9,225,57.828,1359.18,28.5,13.819524241,60.6,31.1,41.4,40.4,
W0_S1_G13,A,A|RU|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,RU,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,3.004,0.009,0.082,2.751,0.875,1.0636837,35.9230778,86.7511,35.3,246.2,11.8,97.9,10.9,50.4,78.1,112.5,75.44943129763,257.39395951281,117.085,
W0_S1_G13,A,A|LB|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,LB,S1311B,P1Y,XDC,9,GFSR,,,,,,,,72,0,12,0.3,0.2,0.1,0.1,0.2,0.015,1049.691,496,398,165.91392591,34.64,5.7946166,1.308,7.724,26.046,440.295,456.077,
W0_S1_G13,A,A|BI|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,BI,S1311B,P1Y,XDC,9,GFSR,,8.897,3.5,14.438,8.324,3.42,0.148,0,0,0,,,,,,,,,,,769.785,603.34,395.168,451.742,,,,
W0_S1_G13,A,A|BH|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,BH,S1311B,P1Y,XDC,6,GFSR,26.3,37.6,37.6,18.8,37.6,37.6,18.8,46.9,37.6,37.6,18.8,37.6,38.2,18.8,22,39.72,28.2,35.91,29.47,28.41,28.61,100,,0,,,,
W0_S1_G13,A,A|DZ|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,DZ,S1311B,P1Y,XDC,9,GFSR,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.12,0.01,0,0,0,,,,,,
W0_S1_G13,A,A|VC|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,VC,S1311B,P1Y,XDC,6,GFSR,32.4,32.3,14.5,0.9,2.1,1.5,1.4,12.8,32.6,12.6,9.668,18.716,6.776,4.491,18.709,11.983,5.50127,30.040831,45.155304,76.91,14.156315,36.211901,26.594886,26.01754,29.448916,,,
W0_S1_G13,A,A|BD|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,BD,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,18.86565,19.75891,33.09166,15.49457,17.805096,15.366354,15.784468,24.44864,17.478166,32.267314,24.4979,35.9225,68.7867,58.7087,24.142,21.7,
W0_S1_G13,A,,,VE,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,,,CS,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|HN|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,HN,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,1353.2,1352.05,2127.6,3059.65,3721.9,5472.639182,5020,4078.2,3594.652608,3470.99,2948.604522,3294.82599395,4110.62084547,,
W0_S1_G13,A,A|BW|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,BW,S1311B,P1Y,XDC,6,GFSR,117.77,70,90.1,226.5,72.2,37.9,85.2,,,,,,,,,,448.39,577.37,623.2,768.82,329.36,532.77,506.84,325.73,379.65,145.65,156.17,
W0_S1_G13,A,A|PK|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,PK,S1311B,P1Y,XDC,9,GFSR,7.159,10.544,7.511,0,5.665,5.513,4.804,0,0,0,37.991,46.779,91.136,57.45,34.483,18.562,25.92,25.92,33.045,19.625,127.768,35.104,45.636,112.021,38.786,,,
W0_S1_G13,A,,,GN,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|AE|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC|_T|_X,GRG_G14_XDC,AE,S1311B,P1Y,XDC,6,GFSR,12927,12997,12511,12273,12731,12708.3,12555,0,0,0,,,,,,,,,,,,13436.62381685,16058.92807462,16115.730829,16038.94296023,17319.98797723,14871.78832103,
