AIDTYPE,DATATYPE,DONOR,PART,POWERCODE,RECIPIENT,REFERENCEPERIOD,TIME_FORMAT,Time,UNIT,Value
201,A,20001,1,6,10100,,P1Y,2007,USD,615.68
201,A,20001,1,6,10100,,P1Y,2008,USD,444.45
201,A,20001,1,6,10100,,P1Y,2009,USD,636.78
201,A,20001,1,6,10100,,P1Y,2010,USD,510.87
201,A,20001,1,6,10100,,P1Y,2011,USD,839.06
201,A,20001,1,6,10100,,P1Y,2012,USD,536.79
201,A,20001,1,6,10100,,P1Y,2013,USD,963.8
201,A,20001,1,6,10100,,P1Y,2014,USD,283.82
201,A,20001,1,6,10100,,P1Y,2015,USD,318.22
201,A,20001,1,6,10100,,P1Y,2016,USD,211.67
201,A,20001,1,6,10010,,P1Y,2007,USD,11.95
201,A,20001,1,6,10010,,P1Y,2008,USD,8.87
201,A,20001,1,6,10010,,P1Y,2009,USD,12.3
201,A,20001,1,6,10010,,P1Y,2010,USD,12.7
201,A,20001,1,6,10010,,P1Y,2011,USD,7.39
201,A,20001,1,6,10010,,P1Y,2012,USD,9.57
201,A,20001,1,6,10010,,P1Y,2013,USD,9.91
201,A,20001,1,6,10010,,P1Y,2014,USD,2.28
201,A,20001,1,6,10010,,P1Y,2015,USD,1.17
201,A,20001,1,6,10010,,P1Y,2016,USD,2.28
201,A,20001,1,6,71,,P1Y,2015,USD,0.29
201,A,20001,1,6,71,,P1Y,2016,USD,0.01
201,A,20001,1,6,86,,P1Y,2007,USD,0.02
201,A,20001,1,6,86,,P1Y,2010,USD,0.05
201,A,20001,1,6,86,,P1Y,2011,USD,0.07
201,A,20001,1,6,64,,P1Y,2007,USD,0.01
201,A,20001,1,6,64,,P1Y,2008,USD,0.01
201,A,20001,1,6,64,,P1Y,2009,USD,0.01
201,A,20001,1,6,64,,P1Y,2010,USD,0.01
201,A,20001,1,6,64,,P1Y,2011,USD,0.01
201,A,20001,1,6,64,,P1Y,2013,USD,0.01
201,A,20001,1,6,64,,P1Y,2015,USD,0.05
